Subject,Catalog Nbr,Section,A+,A,A-,B+,B,B-,C+,C,C-,D+,D,D-,F,CR,I,NC,W,P,Instructor 1,Instructor 2,Instructor 3,Instructor 4,Instructor 5,Instructor 6,instructor_id,instructor_name_normalized
ACN,5313,001,,5,4,2,3,1,1,,,,,,,,,,2,,"Fearon, Danielle","Latteri, Christopher W",,,,,dxf220005,danielle fearon
ACN,6323,001,,17,2,,,,,,,,,,,,,,,,"Engineer, Crystal T",,,,,,rlr091000,robert rennaker
ACN,6330,001,,7,5,,2,1,,,,,,,,,,,,,"Seaman, Kendra L",,,,,,otoole,alice otoole
ACN,6331,001,,9,1,1,1,1,,,,,,,,,,,,,"Mills, Candice M",,,,,,njs092000,noah sasson
ACN,6332,001,,20,1,1,,,1,,,,,,,,,,,,"Raman, Rachna",,,,,,jdowling,walter j dowling
ACN,6338,002,,8,,,4,,,2,,,,,1,,,,,,"Sultana, Rukhsana",,,,,,rxs170431,rukhsana sultana
ACN,6340,001,,10,,1,,,,,,,,,,,,,,,"Gu, Zirong",,,,,,sxm127330,steven mcwilliams
ACN,6342,001,,10,2,,,,,,,,,,,,,,,,"Orrick, Erika D",,,,,,edo042000,erika orrick
ACN,6346,001,,5,,,7,,,2,,,,,,,,,2,,"Thorn, Catherine A",,,,,,tres,lucien thompson
ACN,6354,501,,22,,,,,,,,,,,,,,,,,"Estevez, Leonardo",,,,,,lwe071000,leonardo estevez
ACN,6374,0H1,,17,,,,,,,,,,,,,,,1,,"Jahangiri, Faisal R",,,,,,frj190000,faisal jahangiri
ACN,6375,0H1,,8,,1,,,,,,,,,,,,,1,,"Jahangiri, Faisal R",,,,,,frj190000,faisal jahangiri
ACN,6390,001,,17,1,2,,1,,1,,,,,,,,,,,"McWilliams, Steven P",,,,,,sxm127330,steven mcwilliams
ACN,6V71,013,,,,,,,,,,,,,,,,,,12,"Golden, Richard M",,,,,,golden,richard golden
ACN,6V72,013,,,,,,,,,,,,,,,,,1,10,"Golden, Richard M",,,,,,golden,richard golden
ACN,6V81,0W1,,16,1,,,,,,,,,,,,,,1,,"Maqbool, Mohsin",,,,,,sxm127330,steven mcwilliams
ACN,7383,001,,9,,,2,,,,,,,,,,1,,,,"Rodrigue, Karen M",,,,,,kmr082000,karen rodrigue
ACTS,4301,001,5,2,1,1,,2,1,4,1,1,,1,1,,,,,,"Makhijani, Neha","Thomas, Yaga S",,,,,nah103020,natalia humphreys
ACTS,4305,001,1,1,1,2,1,3,,2,2,1,1,1,1,,,,,,"Humphreys, Natalia","Liu, Jingzhou","Kim, Jimi",,,,nah103020,natalia humphreys
ACTS,4308,001,1,5,,,1,1,,,,2,,,4,,,,,,"Makhijani, Neha",,,,,,nah103020,natalia humphreys
ACTS,4310,001,8,2,,2,2,3,,,,,,,,,,,,,"Hong, Liang","Kaluduwage, Madhavi Dilshani Anuruddhika F",,,,,lxh019000,liang hong
ACTS,4311,001,2,1,3,1,,2,6,1,,1,,,1,,,,,,"Humphreys, Natalia","Liu, Jingzhou",,,,,nah103020,natalia humphreys
AHST,1303,001,27,25,20,12,2,6,2,5,4,2,1,,3,,,,2,,"McDonald, Jacquelyn D","Khoshniat, Ahmad","Morgan, George D",,,,dgoode,dianne goode
AHST,1303,002,18,12,16,5,4,4,5,,,,1,2,2,,,,2,,"McDonald, Jacquelyn D","Harper, Joseph E","Dolatyari, Mahdi",,,,dgoode,dianne goode
AHST,2331,001,31,19,13,5,3,3,1,1,,,,,2,,,,,,"Alibhai, AliAsgar H","Razzaque, Farzana A","Esmail, Fatima N",,,,djd011500,debra dewitte
AHST,2331,002,,1,1,,3,3,,2,,,,,2,,,,1,,"Terranova, Charissa N",,,,,,cxt074100,charissa terranova
AHST,3316,001,2,7,10,6,,,,1,,,,,,,,,1,,"Rosen, Mark S",,,,,,dgoode,dianne goode
AHTC,2120,001,1,2,1,1,4,1,,,,,,,1,,,,,,"Lynch, Jennifer W",,,,,,jwl230003,jennifer lynch
AMS,2300,001,18,6,3,1,,,,1,1,,,,1,,,,,,"Hammonds, Kyle",,,,,,nxp174730,neall pogue
AMS,2300,002,29,7,1,,,,,,,,,,1,,,,,,"Lusk, Marc L",,,,,,nxp174730,neall pogue
AMS,2341,001,1,15,25,15,9,1,1,,,,,,1,,,,,,"Naqvi, Syed K",,,,,,lxw163630,larissa werhnyak
AMS,2341,002,,7,2,4,1,1,,,,,,,,,,,,,"Naqvi, Syed K",,,,,,skn180000,syed naqvi
AMS,3302,001,,3,1,,3,1,,,,,,,2,,,,,,"Werhnyak, Larissa",,,,,,lxw163630,larissa werhnyak
AMS,3316,0W1,8,12,3,2,2,4,,2,,,,,,,,,2,,"Winstead, Elizabeth L",,,,,,lwm061000,elizabeth winstead
AMS,3350,0W1,12,6,6,1,2,1,,1,,,1,,4,,,,4,,"Winstead, Elizabeth L",,,,,,lwm061000,elizabeth winstead
AMS,4300,5H1,3,2,3,1,1,2,,,,,,,,,,,,,"Ross, Alyssa N",,,,,,anr161130,alyssa ross
AMS,4379,001,4,,4,2,1,,1,1,1,,,,2,,,,,,"Jones, June A",,,,,,skn180000,syed naqvi
ANGM,2303,001,25,18,14,5,4,3,,1,,,,,,,,,,,"Grieshaber, Amy","Ahr, Allanah G","Piantino, Raquel C",,,,axg230118,amy grieshaber
ANGM,2303,002,1,5,29,27,16,10,1,,2,1,,,,,,,,,"Cade, Joanna R","Quiroz Fernandez, Daniel Santiago","Kerr, Rachel T",,,,axg230118,amy grieshaber
ANGM,2305,0W2,26,17,9,6,5,4,7,2,3,2,1,1,6,,,,10,,"Lim, Fengjie","Cressman, Benjamin I","Lam, Vy",,,,fxl200000,fengjie lim
ANGM,2309,0W1,1,15,19,7,23,9,5,8,2,,,,7,,,,3,,"Fechter, Todd A","Prado, Jordan B",,,,,txg121730,troy griffin
ANGM,2309,0W2,6,7,8,10,26,7,8,8,6,1,2,,7,,,,4,,"Griffin, Troy","Khamsehnezhad, Mozhdeh",,,,,txg121730,troy griffin
ANGM,2310,0H1,51,18,19,10,8,5,3,2,4,1,1,,19,,2,,7,,"Lewis, Timothy M","Kusupati, Anish C","Cabrera, Michael A","Plueger, Michael F","Kim, Da Hyun","Abri, Zeinab",mxs176131,monika salter
ANGM,2325,001,16,17,20,15,10,6,4,3,,,3,2,4,,,,1,,"Caldwell, Bryon A","Subochev, Andrei","Gutierrez, Joseph W",,,,bac190003,bryon caldwell
ANGM,2345,001,7,3,7,,4,3,,1,2,,,2,1,,,,,,"Gupta-Fitzgerald, Harold E",,,,,,hxf170830,hal fitzgerald
ANGM,2345,002,3,4,7,4,3,2,,1,1,,,,2,,,,3,,"Gupta-Fitzgerald, Harold E",,,,,,dem160430,david marks
ANGM,2345,003,4,6,5,1,2,,,1,1,,1,1,4,,,,1,,"Marks, David",,,,,,hxf170830,hal fitzgerald
ANGM,2345,004,6,4,5,1,5,1,2,,,,,,3,,,,2,,"Marks, David",,,,,,dem160430,david marks
ANGM,2375,001,,90,2,,3,,1,2,,,,,3,,,,,,"Evans, Monica J","Shi, Lintai","Bess, Michael C",,,,mevans,monica evans
ANGM,3304,001,4,5,4,1,1,,,,,,,1,,,,,3,,"Gardner, Frederick",,,,,,fxg230003,frederick gardner
ANGM,3305,501,2,4,4,2,3,7,1,3,,1,1,,1,,,,1,,"Wheeler, Jonathan M",,,,,,rjm107020,
ANGM,3305,502,,5,10,2,2,3,1,,2,,,,4,,,,1,,"Krystallis, Constantine",,,,,,rjm107020,
ANGM,3306,001,2,3,8,5,2,,,2,1,1,2,,1,,,,1,,"Khamnouane, Singkham",,,,,,mxs176131,monika salter
ANGM,3306,002,1,5,10,4,3,,1,2,1,1,1,,1,,,,,,"Khamnouane, Singkham",,,,,,esp041000,elizabeth boyd
ANGM,3306,003,3,,5,5,3,3,2,1,,1,2,,1,,,,2,,"Salter, Monika M",,,,,,esp041000,elizabeth boyd
ANGM,3306,501,7,4,3,3,1,2,2,1,1,1,,1,4,,,,,,"Carey, Joshua S",,,,,,ssk013000,singkham khamnouane
ANGM,3307,001,,5,10,7,3,1,,1,,,,,1,,,,1,,"McCord, Peter A",,,,,,pam062000,peter mccord
ANGM,3307,002,,3,8,1,2,7,1,,1,,,2,3,,,,1,,"McCord, Peter A",,,,,,pam062000,peter mccord
ANGM,3308,001,,9,3,2,1,,1,1,1,1,,,6,,,,3,,"Carey, Joshua S",,,,,,caj150430,casey johnson
ANGM,3308,002,,11,3,4,3,2,,,,,,,3,,,,2,,"Carey, Joshua S",,,,,,caj150430,casey johnson
ANGM,3310,001,1,2,3,1,4,7,2,1,,,,1,6,,,,2,,"Lim, Fengjie",,,,,,fxl200000,fengjie lim
ANGM,3311,001,,2,3,1,5,2,2,1,1,,1,,1,,,,,,"Johnson, Casey A",,,,,,caj150430,casey johnson
ANGM,3311,002,,5,3,2,4,1,,1,,,1,,2,,,,,,"Johnson, Casey A",,,,,,fxl200000,casey johnson
ANGM,3313,001,1,3,2,1,3,1,1,1,,,1,3,,,,,,,"Gardner, Frederick",,,,,,sxm129130,sean mccomber
ANGM,3313,002,,3,7,2,3,3,1,,,,,,,,,,,,"McComber, Sean J",,,,,,fxg230003,frederick gardner
ANGM,3314,001,2,3,1,,1,2,3,,,,,1,,,,,1,,"Gardner, Frederick",,,,,,fxg230003,frederick gardner
ANGM,3315,001,4,4,6,6,1,6,1,1,,1,,,,,,,,,"Grieshaber, Amy",,,,,,axg230118,amy grieshaber
ANGM,3315,002,8,7,9,,1,1,1,1,,,,,1,,,,1,,"Veras de Souza, Christine",,,,,,axg230118,amy grieshaber
ANGM,3315,0S1,7,12,3,1,,,,,,,,,,,,,1,,"Veras de Souza, Christine",,,,,,cxv180000,christine veras de souza
ANGM,3320,001,3,5,3,1,1,,,1,1,,,1,2,,,,,,"Salter, Monika M",,,,,,mxs176131,monika salter
ANGM,3321,002,,18,,,,,,,,,,,,,,,,,"Polson, Tod",,,,,,dal315709,
ANGM,3330,001,15,,2,,,1,,,,,,,,,,,,,"McCord, Peter A",,,,,,pam062000,peter mccord
ANGM,3338,001,6,1,11,2,3,4,2,,,,,,1,,,,,,"Griffin, Troy","Clarke-Gaar, Alissa C",,,,,txg121730,troy griffin
ANGM,3338,501,12,2,4,,1,,,,3,,,1,3,,,,1,,"Chaudhary, Anisha",,,,,,axc145530,
ANGM,3365,001,16,7,3,1,,,,1,,,,1,,,,,,,"Christopher, Timothy V","Schoonover, Richard",,,,,khimbar,timothy christopher
ANGM,3365,501,5,12,,3,1,4,,2,,2,,,,,,,,,"Stewart, Michael C",,,,,,slb073000,steven billingslea
ANGM,3366,001,6,4,12,3,1,,1,,,1,,,,,,,,,"Murray, Jack A",,,,,,cli170000,
ANGM,3366,002,11,3,6,1,1,3,2,2,1,,,,1,,,,,,"Irby, Cameron L",,,,,,hxw173930,hong wu
ANGM,3367,001,,1,6,7,7,3,1,1,,,1,1,1,,,,,,"Villegas, Randall V",,,,,,jam130530,jack murray
ANGM,3367,002,,3,6,7,2,1,5,2,1,,,,2,,,,,,"Villegas, Randall V",,,,,,tml062000,timothy lewis
ANGM,3368,001,7,6,4,,5,1,,1,,1,2,,1,,,,1,,"Murray, Jack A",,,,,,tml062000,timothy lewis
ANGM,3368,0W1,2,4,3,2,3,4,4,,1,2,,1,1,,,,3,,"Chandler, Adam W",,,,,,awc051000,adam chandler
ANGM,3370,501,5,14,3,1,1,1,1,,,,1,1,1,,,,,,"Obuobi, Samra",,,,,,sxo170530,samra obuobi
ANGM,3372,001,9,4,1,3,2,4,2,,,,,,4,,,,,,"Gupta-Fitzgerald, Harold E",,,,,,hxf170830,hal fitzgerald
ANGM,3373,101,13,3,,,,,,,,,,,,,,,,,"Marks, David",,,,,,dem160430,david marks
ANGM,3381,001,14,6,1,2,1,1,,,,,,,2,,,,,,"Ayres, Cameron M",,,,,,cma092020,cameron ayres
ANGM,4305,001,,,5,3,3,2,1,3,1,,1,,,,,,,,"Caldwell, Bryon A",,,,,,bac190003,bryon caldwell
ANGM,4305,501,1,2,4,1,3,2,1,,1,,,,1,,,,1,,"Manriquez, Robert J",,,,,,rjm107020,
ANGM,4306,001,,4,4,,4,2,1,,1,,,1,,,,,,,"Khamnouane, Singkham",,,,,,esp041000,elizabeth boyd
ANGM,4307,001,,,8,8,5,,,,1,,,,,,,,2,,"McCord, Peter A",,,,,,pam062000,peter mccord
ANGM,4308,001,4,6,3,2,,,,,,,,1,,,,,,,"Carey, Joshua S",,,,,,etf091000,eric farrar
ANGM,4309,001,,5,4,8,2,,,,,,,,,,,,,,"Lumley, Stephen G",,,,,,sxm129130,sean mccomber
ANGM,4310,501,,14,4,11,,,,,,,,,,,,,,,"Buxkamper, Adam M",,,,,,amb047000,
ANGM,4312,001,1,6,2,2,2,2,,1,1,,,1,,,,,,,"Khamnouane, Singkham",,,,,,ssk013000,singkham khamnouane
ANGM,4313,001,1,1,1,,2,4,1,,1,1,,,1,,,,3,,"Lim, Fengjie",,,,,,fxl200000,fengjie lim
ANGM,4314,101,1,1,4,,3,2,2,,1,1,,,1,,,,1,,"Salter, Monika M",,,,,,mxs176131,monika salter
ANGM,4315,001,,,4,2,9,3,,,,,1,,,,,,,,"Caldwell, Bryon A",,,,,,bac190003,bryon caldwell
ANGM,4316,001,,21,,,,,,,,,,,,,,,,,"Salter, Monika M",,,,,,mxs176131,monika salter
ANGM,4316,002,,19,,,,,,,,,,,,,,,,,"Johnson, Casey A",,,,,,pam062000,peter mccord
ANGM,4319,002,1,5,1,,1,1,1,,2,1,,,2,,,,,,"Griffin, Troy",,,,,,mxs176131,monika salter
ANGM,4319,003,3,3,2,2,,1,,,2,1,,,2,,,,,,"Grieshaber, Amy","Akalkotkar, Uma G",,,,,caj150430,casey johnson
ANGM,4319,004,1,4,5,,,,2,3,,1,,,,,,,,,"Grieshaber, Amy",,,,,,axg230118,amy grieshaber
ANGM,4320,001,3,5,4,1,1,,,,,,,,,,,,,,"Fechter, Todd A",,,,,,taf051000,todd fechter
ANGM,4323,001,,1,2,2,4,2,2,3,1,,,,,,,,1,,"Johnson, Casey A",,,,,,caj150430,casey johnson
ANGM,4338,001,,13,2,3,2,4,,2,1,,1,,1,,,,,,"Farrar, Eric T",,,,,,etf091000,eric farrar
ANGM,4346,001,8,3,1,,1,,,,,,,1,1,,,,,,"Marks, David",,,,,,dem160430,david marks
