Subject,Catalog Nbr,Section,A+,A,A-,B+,B,B-,C+,C,C-,D+,D,D-,F,CR,P,Instructor 1,Instructor 2,Instructor 3,Instructor 4,Instructor 5,Instructor 6,instructor_id,instructor_name_normalized
AUD,7240,5U1,,11,,,,,,,,,,,,,,"Griffiths, Scott K",,,,,,skg180000,
AUD,7310,0U1,,12,,,,,,,,,,,,,,"Clark, Jackie L",,,,,,jclark,jackie clark
AUD,7326,0U1,,15,,,,,,,,,,,,,,"Thibodeau, Linda K","Harris, Audrey N","Warner-Czyz, Andrea D","Tangerino De Souza Jacob, Regina",,,thib,linda thibodeau
BA,1320,5U1,5,2,,3,1,,1,,3,,,,1,,,"Kiser, Stephen L",,,,,,slk012100,stephen kiser
BCOM,3200,0U1,17,9,5,1,3,3,2,2,1,,1,,,,,"Fry, Jennifer L",,,,,,seh150530,sarah henry
BCOM,3200,0U2,4,11,6,6,8,1,1,1,,1,,,2,,,"Newcomb, Rebecca G",,,,,,rgn100020,rebecca newcomb
BCOM,3200,5U1,16,18,5,1,,1,,,,,1,,,,,"Smallwood, James E",,,,,,rgn100020,rebecca newcomb
BCOM,3310,0U1,3,12,12,1,2,1,1,1,,,,,2,,,"McCrady, Victoria D","Tanabe, Takuma",,,,,mrw170730,
BCOM,3310,0U2,2,20,10,2,4,,,,,,,,,,,"Ahlberg, Mehrzad","Boncoeur, Olivier D",,,,,meg012400,margaret smallwood
BCOM,3310,0U3,2,10,7,2,6,,1,,,,,,1,,,"Ahlberg, Mehrzad","Boncoeur, Olivier D",,,,,meg012400,margaret smallwood
BCOM,3310,0U4,5,10,11,5,2,1,2,,,,,,2,,,"McCrady, Victoria D","Tanabe, Takuma",,,,,vdm130030,victoria mccrady
BCOM,3310,0U5,1,14,8,4,3,3,2,,,,1,,,,,"Fry, Jennifer L",,,,,,jlf130030,jennifer fry
BCOM,3310,5U1,2,28,7,2,,,,,,,,,,,,"Moore, Sarah E","Tanabe, Takuma",,,,,mrw170730,
BCOM,4350,0U1,24,4,3,3,1,,1,,1,1,,,,,,"de los Santos, Veronica",,,,,,vxd171930,veronica de los santos
BCOM,4350,0U2,7,18,6,1,2,2,,,2,1,,,1,,,"Smallwood, Margaret G","Liu, Yu",,,,,meg012400,margaret smallwood
BCOM,4350,0U3,3,29,3,4,,,1,,,,,,,,,"Smallwood, Margaret G","Liu, Yu",,,,,meg012400,margaret smallwood
BCOM,4350,0U4,17,4,11,,1,1,1,,1,1,,,1,,,"de los Santos, Veronica",,,,,,vxd171930,veronica de los santos
BCOM,4350,0U5,7,10,5,,2,2,1,,1,,,,3,,,"Watson, John M","Liu, Yu",,,,,jmw077000,john watson
BCOM,4350,5E1,4,19,7,2,1,1,1,1,,,,,,,,"Watson, John M","Liu, Yu",,,,,jmw077000,john watson
BCOM,4350,5U1,4,14,13,2,3,,1,,1,,,,,,,"Moore, Sarah E","Tanabe, Takuma",,,,,vxd171930,veronica de los santos
BIOL,2111,0U1,,22,,,5,,,7,,,1,,,,,"Maitra, Meenakshi","Salamat, Narges","Soladogun, Adedamola S",,,,candas,mehmet candas
BIOL,2111,0U2,,25,,,5,,,1,,,,,,,,"Maitra, Meenakshi","Salamat, Narges","Soladogun, Adedamola S",,,,candas,mehmet candas
BIOL,2112,0U1,4,7,4,6,2,1,1,1,1,,,,,,,"Wu, Zhuoru","Yetkin, Celal E",,,,,candas,mehmet candas
BIOL,2112,0U2,4,4,3,1,6,3,3,2,1,3,1,,1,,,"Wu, Zhuoru","Yetkin, Celal E",,,,,candas,mehmet candas
BIOL,2281,0U1,6,23,26,12,4,8,4,2,1,,,,,,,"Lin, Wen J","Shashikanth Raj Urs, Karthik Urs Bangalore","Do, Hung P","Xia, Jing","Buyukkahraman, Gozde","Ratevosyan, Richard",wenju,wen ju lin
BIOL,2311,0U1,,47,,,10,,,8,,,1,,,,,"Maitra, Meenakshi","Salamat, Narges","Soladogun, Adedamola S",,,,candas,mehmet candas
BIOL,2312,0U1,8,11,7,7,8,4,4,3,2,3,1,,1,,,"Wu, Zhuoru","Yetkin, Celal E",,,,,candas,mehmet candas
BIOL,3101,0U1,8,8,13,3,2,3,2,,1,,,,,,,"Srikanth, Uma","Tian, Jing",,,,,ixb053000,irina borovkov
BIOL,3101,0U2,4,9,8,5,4,6,1,,,,,,,,,"Srikanth, Uma",,,,,,ixb053000,irina borovkov
BIOL,3101,0U3,12,7,4,4,4,3,,,,,,,,,,"Srikanth, Uma","Cao, Lian",,,,,ukrish,uma srikanth
BIOL,3101,0U4,4,8,6,7,2,1,1,,1,,,,,,,"Srikanth, Uma","Tandon, Neha Ramesh",,,,,ukrish,uma srikanth
BIOL,3101,0U5,4,8,8,3,2,6,1,,,,,,,,,"Srikanth, Uma","Upreti, Chahat",,,,,ukrish,uma srikanth
BIOL,3102,0U1,2,2,2,5,3,1,1,2,1,,,,,,,"Srikanth, Uma",,,,,,ukrish,uma srikanth
BIOL,3102,0U2,4,1,2,2,1,1,1,1,,,,1,,,,"Srikanth, Uma","Alemi, Parinazsadat",,,,,ukrish,uma srikanth
BIOL,3102,0U3,2,3,2,6,4,7,4,1,1,,,,,,,"Srikanth, Uma","Bautista, Monica A",,,,,ukrish,uma srikanth
BIOL,3161,0U1,,9,8,7,10,9,6,4,1,1,,,,,,"Candas, Mehmet",,,,,,candas,mehmet candas
BIOL,3161,0U2,1,4,7,15,10,5,3,3,2,,,1,,,,"Candas, Mehmet",,,,,,candas,mehmet candas
BIOL,3161,0U3,2,9,4,13,7,8,5,2,1,,,,1,,,"Candas, Mehmet",,,,,,candas,mehmet candas
BIOL,3162,0U1,1,1,5,9,4,2,3,,,,,,,,,"Candas, Mehmet",,,,,,candas,mehmet candas
BIOL,3162,0U2,,2,3,,2,3,1,,,,,,,,,"Candas, Mehmet",,,,,,candas,mehmet candas
BIOL,3162,0U3,1,1,1,2,5,1,,2,1,,,,,,,"Candas, Mehmet",,,,,,candas,mehmet candas
BIOL,3301,0U1,31,38,39,25,14,19,5,,2,,,,,,,"Srikanth, Uma","Tandon, Neha Ramesh","Cao, Lian","Upreti, Chahat","Tian, Jing",,ixb053000,irina borovkov
BIOL,3302,0U1,8,6,6,13,8,9,6,4,2,,,1,,,,"Srikanth, Uma","Thomas-Jardin, Shayna E","Alemi, Parinazsadat","Bautista, Monica A",,,ukrish,uma srikanth
BIOL,3361,0U1,3,21,15,32,23,21,12,9,3,1,,,1,,,"Candas, Mehmet","Ashrafi, Adnin","Kunder, Nikesh Prakash","Chen, Hao",,,candas,mehmet candas
BIOL,3362,0U1,2,4,7,10,10,5,4,2,1,,,,,,,"Candas, Mehmet","Petter, Andrew T","Song, Ming","Ray, Ashvini",,,candas,mehmet candas
BIOL,3380,1U1,,1,3,4,3,2,1,2,1,,4,,3,,,"Rippel, Scott A","Zhi, Jiahe",,,,,rippel,scott rippel
