Subject,Catalog Nbr,Section,A+,A,A-,B+,B,B-,C+,C,C-,D+,D,D-,F,CR,P,Instructor 1,Instructor 2,Instructor 3,Instructor 4,Instructor 5,Instructor 6,instructor_id,instructor_name_normalized
MATH,2417,0U1,3,3,2,2,,4,1,2,3,,1,,2,,,"Martynova, Irina","Rawat, Richa",,,,,mka120030,mohammad ahsan
MATH,2418,0U1,6,5,11,4,6,3,2,1,2,1,2,,2,,,"Patel, Jigarkumar S",,,,,,rxd153030,rabin dahal
MATH,2418,0U2,3,8,8,1,3,1,3,4,,,1,,3,,,"Dahal, Rabin",,,,,,rxd153030,rabin dahal
MATH,2419,0U1,4,3,1,,4,1,2,,2,3,,,2,,,"Patel, Jigarkumar S","Brewer, Charlie P",,,,,axe031000,anatoly eydelzon
MATH,2420,0U1,5,6,5,9,3,5,8,4,6,,2,,1,,,"Paudel, Ajaya B","Hart, Russell A","K. C. Khatri, Rajendra",,,,vish,viswanath ramakrishna
MATH,2451,0U1,5,2,2,5,7,5,3,6,3,,,,1,,,"Eydelzon, Anatoly","Albelo-Cortes, Josean","Acharya, Subas",,,,axe031000,anatoly eydelzon
MATH,3310,0U1,3,3,2,1,3,1,,,,,,,,,,"Ramakrishna, Viswanath","Helal, Md Abu",,,,,mkd034000,mieczyslaw dabkowski
MATH,4301,0U1,1,2,4,2,2,3,,,1,,2,,1,,,"Dabkowski, Mieczyslaw K","Wu, Che-Yu","Rakotomalala, Diarisoa Mihaja Andriamanisa",,,,mkd034000,mieczyslaw dabkowski
MECH,2310,0U1,1,7,3,1,3,1,,,,,,,2,,,"Thamban, P.L.Stephan",,,,,,stephan,p l stephan thamban
MECH,2330,0U1,,5,1,2,1,2,3,1,1,,1,,,,,"Thamban, P.L.Stephan",,,,,,stephan,p l stephan thamban
MECH,3105,0U1,8,5,5,5,4,,1,1,1,,,,,,,"Rios, Oziel","Sadeh, Sepehr",,,,,oxr106020,oziel rios
MECH,3150,0U1,4,11,3,3,1,,,1,,,1,,,,,"Park, Wooram","Gleason, Glenn H",,,,,wxp103020,wooram park
MECH,3305,0W1,6,6,4,2,2,5,1,1,1,,,,,,,"Rios, Oziel","Sadeh, Sepehr",,,,,dzf091000,dani fadda
MECH,3310,0U1,2,2,1,1,1,,2,,1,,,,1,,,"Hassanipour, Fatemeh",,,,,,fxh091000,fatemeh hassanipour
MECH,3320,0U1,2,11,4,10,7,7,5,4,4,1,2,,1,,,"Fadda, Dani Z","Mueller, Matthew W",,,,,dzf091000,dani fadda
MECH,3350,0U1,,2,2,3,1,1,,,,,,,1,,,"Park, Wooram",,,,,,wxp103020,wooram park
MECH,3360,0U1,4,3,4,4,5,3,,,,,,,,,,"Ryu, III",,,,,,ixr161130,
MECH,4340,0U1,,7,8,7,12,4,5,2,2,,,,,,,"Park, Wooram","Gleason, Glenn H",,,,,wxp103020,wooram park
MECH,4381,0U1,,10,9,6,11,6,2,2,1,,,,,,,"Hart, Robert A","Subramanian, Divya",,,,,rxh124630,robert hart
MECH,4381,0U2,,6,11,9,9,5,1,2,,,,,,,,"Hart, Robert A","Subramanian, Divya",,,,,rxh124630,robert hart
MECO,6303,0W1,,10,2,9,8,,,,,,,,,,,"Lewin, Peter","Lee, Pil-Seng",,,,,plewin,peter lewin
MECO,6303,5U1,,6,5,4,,2,,,,,,,,,,"Kiser, Stephen L",,,,,,slk012100,stephen kiser
MECO,6303,AW1,,23,2,1,,1,,,,,,,1,,,"Kiser, Stephen L",,,,,,slk012100,stephen kiser
MIS,6204,CH1,,12,4,4,4,,,,,,,,,,,"Rhoades, Mike",,,,,,,mike rhoades
MIS,6308,0W1,,11,10,9,8,3,3,,,,,,,,,"Raghunathan, Srinivasan",,,,,,sraghu,srinivasan raghunathan
MIS,6309,5U1,,8,4,4,1,1,,,,,,,,,,"Islam, Naser",,,,,,nxi110630,naser islam
MIS,6313,5U1,,40,5,1,1,2,,,,,,,,,,"Fuller, Tony F","Liu, Yihong",,,,,tff170130,tony fuller
MIS,6313,GW1,,15,7,8,4,,,1,,,,,,,,"Wiant, Russell B",,,,,,,russell wiant
MIS,6320,0W1,,6,2,1,2,,1,,,,,,,,,"Cavusoglu, Huseyin","Liu, Yihong",,,,,huseyin,huseyin cavusoglu
MIS,6326,0W1,,10,9,6,5,1,,,,,,,,,,"Ryu, Young","Liu, Yihong",,,,,ryoung,young ryu
MIS,6330,5U1,,12,6,6,,,,,,,,,,,,"Lahiri, Atanu","Zhang, Hong",,,,,nxh141030,nate howe
MIS,6341,0W1,,11,4,5,4,,,,,,,,,,,"Sohaee, Nassim",,,,,,nxs045000,nassim sohaee
MIS,6344,0U1,,4,4,3,1,1,2,,,,,,,,,"Singh, Harpreet","Zhang, Chenglong",,,,,jpb016300,joe beauchamp
MIS,6346,5U1,,21,3,,,,,,,,,,,,,"Perez, Jerry","Kulkarni, Aniket S",,,,,jxp180019,jerry perez
MIS,6346,5U2,,12,,,,,,,,,,,,,,"Elkhodari, Gasan",,,,,,gxe051000,gasan elkhodari
MIS,6356,5U2,,5,7,3,1,,1,,,,,,,,,"Chatterjee, Sourav",,,,,,jap090020,jason parker
MIS,6360,0W1,,16,6,3,2,3,,,,,,,,,,"Thouin, Mark",,,,,,mxt083000,mark thouin
MIS,6380,0W1,,17,6,1,2,,1,2,,,,,,,,"Bradbury, Judd D",,,,,,jdb101000,judd bradbury
MIS,6382,5U1,,23,13,2,1,2,,,,,,,,,,"Neouchi, Rabih",,,,,,rxn200012,rabih neouchi
MKT,3300,0U1,4,8,5,7,3,3,2,1,,,,1,1,,,"Kasaian, Keyvan",,,,,,jmg171130,jerome gafford
MKT,3300,0U2,2,7,4,4,1,1,1,1,,1,,,1,,,"Amirpour, Semiramis",,,,,,sxa130731,semiramis amirpour
MKT,3300,0W1,4,19,6,6,13,,,,,,,,,,,"Pahwa, Parneet","Elmi, Omid",,,,,pxp030100,parneet pahwa
MKT,3300,5U1,3,14,4,2,1,,,,,,,,,,,"Bigham, Ernest P",,,,,,kxd084000,keith dickinson
MKT,3330,0U1,11,14,2,,2,1,1,,,,,,,,,"Gafford, Jerome M",,,,,,sxa130731,semiramis amirpour
MKT,3340,5U1,5,7,6,4,3,2,1,1,,,,,1,,,"Kamatham, Sriharsha",,,,,,lfh170000,loretta hudelot
MKT,4330,0W1,5,6,5,9,5,5,1,1,,,,,1,,,"Edsel, Alexander D",,,,,,ade012000,alexander edsel
MKT,4334,5U1,,16,7,2,9,4,,1,,,,,1,,,"Pacyna, Sandra",,,,,,sxp158130,sandra pacyna
MKT,4335,0U1,4,2,2,,1,,,1,,,,,,,,"Gafford, Jerome M",,,,,,jmg171130,jerome gafford
MKT,4380,0W1,,3,1,1,4,3,1,,,,,,1,,,"Wu, Fang","Herd, Harrison L",,,,,fxw052000,fang wu
MKT,6301,0W1,,17,5,6,15,4,,,,,,,,,,"Pahwa, Parneet","Elmi, Omid",,,,,axb019100,abhijit biswas
MKT,6301,0W2,,13,5,2,10,,,,,,,,,,,"Pahwa, Parneet","Elmi, Omid",,,,,axb019100,abhijit biswas
MKT,6301,MBP,,13,8,10,6,2,,,,,,,,,,"Rajaratnam, Daniel",,,,,,dxr143430,daniel rajaratnam
MKT,6301,XU1,,21,6,4,,2,,,,,,,,,,"Albrecht, Maria","Raines, Marie H",,,,,mxa180037,maria albrecht
MKT,6309,0W1,,10,5,5,5,,,,,,,,,,,"Rajaratnam, Daniel",,,,,,murthi,b p murthi
MKT,6332,0W1,,10,9,8,3,1,1,,,,,,,,,"Biswas, Abhijit","Shetty, Reema R",,,,,axb019100,abhijit biswas
MKT,6339,0W1,,3,8,6,7,1,,,,,,,,,,"Rajaratnam, Daniel",,,,,,dxr143430,daniel rajaratnam
MKT,6352,0W1,,8,2,8,8,2,1,2,,,,,2,,,"Tirone, Guido",,,,,,gxt170001,guido tirone
MTHE,5326,0W1,,9,2,,,,,,,,,,,,,"Sutton, Julie","Stuart, Georgia K",,,,,jxs158030,julie sutton
NSC,3361,0U1,9,20,24,7,7,6,3,1,2,,,1,,,,"McWilliams, Steven P","Szabo-Pardi, Thomas A",,,,,sxm127330,steven mcwilliams
NSC,3361,0U2,15,6,7,4,3,3,3,4,4,,4,,3,,,"Taylor, Anna M","Lenert, Melissa E","Hong, Veronica M",,,,amt180004,anna taylor
NSC,4350,0U1,1,2,3,1,2,2,1,1,1,,,,,,,"Miller, Van S",,,,,,vxm077000,van miller
NSC,4351,0U1,9,5,2,1,5,2,2,1,1,,,,1,,,"Shareef, Safiullah M",,,,,,sms170009,safiullah shareef
NSC,4352,0U1,2,8,8,4,2,4,2,2,,,,,,,,"Raboune, Siham","Calderon, Debora",,,,,rxs170431,rukhsana sultana
NSC,4353,1U1,1,6,1,1,,1,,1,,,,,1,,,"McWilliams, Steven P","Brougher, Jackson J",,,,,sxm127330,steven mcwilliams
NSC,4353,1U2,2,1,2,3,2,1,,,,,,,,,,"Taylor, Anna M","Mei, Hao-Ruei",,,,,rxs170431,rukhsana sultana
NSC,4353,1U3,1,4,3,1,,3,,,,1,1,,,,,"Raboune, Siham","dos Santos, Natalia Lucia",,,,,sxr180071,siham raboune
NSC,4354,0U1,2,9,8,4,2,4,2,2,2,2,,1,,,,"Sultana, Rukhsana","Tseng, Ching-Tzu",,,,,rxs170431,rukhsana sultana
NSC,4356,0U1,,7,,,10,,,3,,,2,,,,,"Sultana, Rukhsana","Garner, Katherine M",,,,,rxs170431,rukhsana sultana
NSC,4363,0U1,,20,,,9,,,,,,,,,,,"Raboune, Siham","Naik, Dhananjay K",,,,,sxr180071,siham raboune
NSC,4366,0U1,6,4,1,6,2,3,,2,1,,4,,2,,,"Taylor, Anna M","Lehtonen, Derek","Newel, Jacqueline P",,,,amt180004,anna taylor
OB,6249,CW1,,20,,,1,,,,,,,,,,,"Hicks, Robert",,,,,,,robert hicks
OB,6301,0W1,,46,,,1,,,,,,,,,,,"Hasenhuttl, Maria","Kathuria, Nishant",,,,,ziegler,laurie ziegler
OB,6301,5U1,1,19,10,4,3,4,1,1,,,,,,,,"Olsztynska, Agnieszka","Welbourne Eleazar, Miranda J",,,,,vxk133330,virginie kidwell
OB,6301,CH1,,27,3,,,,,,,,,,,,,"Ferrante, Anne M",,,,,,,anne ferrante
OB,6307,0W1,,35,1,,4,,,,,,,,,,,"Richard, Orlando","Boncoeur, Olivier D",,,,,pretty,orlando richard
OB,6331,CW1,,23,,1,,,,,,,,,,,,"Hasenhuttl, Maria",,,,,,h1562,maria hasenhuttl
OB,6344,CW1,,30,5,2,3,,,,,,,,,,,"Norton, Larry",,,,,,,larry norton
OB,6348,CW1,,26,1,,,,,,,,,,,,,"Plaisance Bryan, Suzette T",,,,,,,suzette plaisance bryan
OB,6351,CW1,,12,7,1,,1,,,,,,,,,,"Norton, Larry",,,,,,,larry norton
OB,6352,CW1,,15,7,,1,,,,,,,,,,,"Hicks, Robert",,,,,,,robert hicks
OB,6382,CW1,,28,,,,,,,,,,,,,,"Plaisance Bryan, Suzette T",,,,,,,suzette plaisance bryan
OBHR,3310,0U1,13,10,10,7,4,1,2,1,,,,,,,,"Ritchey, David B",,,,,,davidr,david ritchey
OBHR,3330,0U1,17,18,7,4,4,2,1,,5,,1,,1,,,"Ritchey, David B",,,,,,davidr,david ritchey
OBHR,4300,0U1,6,11,5,14,,,,,,,1,,,,,"Edgington, Kyle D",,,,,,kde081000,kyle edgington
OBHR,4352,5U1,1,9,4,3,8,5,2,1,,1,,1,,,,"Ritchey, Kemberly A",,,,,,kar014400,kemberly ritchey
OPRE,3310,0U1,,12,,13,20,,,4,,,1,,,,,"Subramoniam, Ramesh","Gokcinar, Abdullah H",,,,,xxs130630,xi shan
OPRE,3310,0U2,,17,,6,19,,2,1,,,,,1,,,"Subramoniam, Ramesh","Gokcinar, Abdullah H",,,,,dxp153830,david parks
OPRE,3310,5U1,,32,,8,10,2,,4,,,,,2,,,"Mobini Dehkordi, Zahra",,,,,,yxc121130,ying cao
OPRE,3320,5U1,,5,,5,4,,,,,,,,,,,"Mozik, Vince C",,,,,,vcm170130,vince mozik
OPRE,3330,5U1,,6,4,2,1,1,,2,,,2,,,,,"Janke, Scott M",,,,,,smj160830,scott janke
OPRE,3333,0U1,7,14,6,9,6,8,4,7,6,,,,1,,,"Enayaty Ahangar, Negin","Rasulov, Toghrul",,,,,meb049000,monica brussolo
OPRE,3333,5U1,8,5,8,2,4,,1,2,,,1,,1,,,"Woldu, Malgorzata",,,,,,mxn121930,mohammad naseri
OPRE,3360,0U1,14,7,6,10,9,2,2,,1,,,3,2,,,"Farajbakhsh Mamaghani, Fariba",,,,,,axa134231,athena alimirzaei
OPRE,3360,0W1,5,8,7,5,12,4,2,,2,,1,,2,,,"Brussolo, Monica E","Rasulov, Toghrul",,,,,flannery,carol flannery
OPRE,3360,5U1,3,3,2,3,2,2,2,2,,,1,,1,,,"Sul, Inki",,,,,,mxn121930,mohammad naseri
OPRE,4330,5U1,6,6,,,,,,,,,,,,,,"Widdifield, David S",,,,,,dsw180001,david widdifield
OPRE,6301,0W1,,5,8,10,9,7,1,2,,,,,4,,,"Leach, Sonia E","Celik, Beyza",,,,,flannery,carol flannery
OPRE,6301,5U1,,8,7,2,7,6,3,1,,,,,,,,"Ahadi, Khatereh","Vu, Duc D",,,,,meb049000,monica brussolo
OPRE,6301,5U3,,6,2,5,4,1,1,1,,,,,,,,"Ahadi, Khatereh","Vu, Duc D",,,,,kxa180010,khatereh ahadi
OPRE,6301,CH1,,6,4,1,,2,,1,,,,,,,,"Kim, Dohyeong",,,,,,dxk132530,dohyeong kim
OPRE,6302,0W1,,15,14,10,4,1,,,,,,,,,,"Dawande, Milind","Vu, Duc D",,,,,milind,milind dawande
OPRE,6302,5U1,,3,4,5,2,2,3,,,,,,,,,"Leach, Sonia E","Celik, Beyza",,,,,sel120030,sonia leach
OPRE,6302,MBP,,21,9,4,5,,,,,,,,,,,"Subramoniam, Ramesh","Gokcinar, Abdullah H",,,,,rxs179630,ramesh subramoniam
OPRE,6302,PU1,,24,,1,1,,,,,,,,,,,"Widdifield, David S",,,,,,dsw180001,david widdifield
OPRE,6332,5U1,,40,10,3,2,2,2,,,,,,,,,"Ramanathan, Kannan","Zhang, Minmin",,,,,kxr087000,kannan ramanathan
OPRE,6362,5U1,,11,7,1,1,1,1,,,,,,,,,"Janke, Scott M",,,,,,smj160830,scott janke
PA,4355,0U1,9,10,6,1,1,,,,,,,,,,,"Noor, Muhammad Zeeshan",,,,,,mzn170030,muhammad zeeshan noor
PA,6335,5U1,,32,,,5,,,,,,,,,,,"Miori, Holly H",,,,,,hhm130030,
PA,6344,0W1,,42,,,,,,,,,,,,,,"Benavides, Teodoro J",,,,,,tjb051000,teodoro benavides
PA,8330,HN1,,19,1,1,,,,1,,,,,,,,"Shute, William H","Chin, Michelle L",,,,,whs170030,
PHIL,1301,091,,2,3,1,6,6,3,6,3,2,,,5,,,"Hasler, Carl","Suller, Cristian Carlo L",,,,,cxh165030,carl hasler
PHIL,3328,091,,2,4,1,5,4,,1,,,,,1,,,"Dennis, Patrick W",,,,,,pdennis,patrick dennis
PHYS,1301,0U1,8,17,15,15,4,,1,,,,1,1,2,,,"Khan, Amena","Schussler, Joshua A","Ali, Saif",,,,jds107020,jason slinker
PHYS,1302,1U1,25,9,2,1,2,,1,,,,,,1,,,"Malko, Anton V","Marder, Andrew A","Mahmud, Mohammad M",,,,kxs147030,kuei sun
PHYS,2125,1U1,2,19,4,,,,,,,,,,2,,,"Sun, Kuei","Panthi, Hari P","Iqbal, Mazhar","Dhale, Nikhil Uday","Sharon Felix, .",,kxs147030,kuei sun
PHYS,2125,1U2,4,15,3,3,,1,,,,,,,,,,"Sun, Kuei","Panthi, Hari P","Iqbal, Mazhar","Dhale, Nikhil Uday","Sharon Felix, .",,kxs147030,kuei sun
PHYS,2125,1U3,6,13,,4,2,,,,,,,,1,,,"Sun, Kuei","Sharon Felix, .","Dhale, Nikhil Uday","Iqbal, Mazhar","Panthi, Hari P",,kxs147030,kuei sun
PHYS,2125,1U4,1,11,,,,,,,,,,,2,,,"Sun, Kuei","Iqbal, Mazhar","Dhale, Nikhil Uday","Sharon Felix, .","Panthi, Hari P",,kxs147030,kuei sun
PHYS,2126,1U1,22,7,,2,,,,,,,,,,,,"Macalevey, Paul J","Dey, Soumyajit",,,,,paulmac,paul macalevey
PHYS,2126,1U2,17,6,4,,,,,,,,,,2,,,"Macalevey, Paul J","Fluckey, Stephen P",,,,,paulmac,paul macalevey
PHYS,2126,1U3,18,6,1,1,,,1,,,,,,,,,"Macalevey, Paul J","Koirala, Pawan",,,,,paulmac,paul macalevey
PHYS,2126,1U4,12,9,7,1,,,,,,,,,,,,"Macalevey, Paul J","Larsen, Cody",,,,,paulmac,paul macalevey
PHYS,2325,0U1,17,30,7,1,2,,1,1,1,,1,,2,,,"Ishak-Boushaki, Mustapha","Chinthak Murali, .","Waczak, John",,,,avm074000,anton malko
PHYS,2326,0U1,1,32,27,21,5,2,2,,,,1,1,,,,"Gartstein, Yuri","Romero, Angel E","Du, Mengxin",,,,yxg037000,yuri gartstein
PPPE,7V26,0U1,,21,,,,,,,,,,,,,,"Elliott, Euel W","Yuan, Jing",,,,,eelliott,euel elliott
PSCI,3310,0U1,6,5,9,3,2,1,2,,,1,1,,,,,"Rabbi, Md. Fazle",,,,,,mxr163630,md fazle rabbi
PSCI,3323,0U1,9,9,14,4,2,1,,,2,,,,,,,"Parker, Misty D",,,,,,mxp045000,misty parker
PSY,2301,0H1,9,8,10,8,4,3,1,,1,1,,1,6,,,"Brody, Salena M","Redig, Samantha L",,,,,smb051000,salena brody
PSY,2317,0U1,,,10,4,3,2,1,2,,2,1,,2,,,"Schwark, Gayle","Malaiya, Ritesh K",,,,,pdaniel,daniel pacheco
PSY,3310,5U1,5,7,8,8,6,8,2,3,4,,,1,3,,,"Smith, Olivia","Hafiz, Mariam",,,,,dbonner,deborah bonner
PSY,3331,0U1,,50,8,3,6,1,1,5,2,1,3,,8,,,"Huxtable-Jester, Karen J","Zhu, Yiyi",,,,,jab140230,julie parsons
PSY,3342,0U1,15,12,2,2,,,,,1,,,,,,,"Barfoot, John W","Camacho, Natalia S",,,,,jwb043000,john barfoot
PSY,3360,0U1,1,6,10,19,9,8,5,3,1,2,,,3,,,"Assmann, Peter","Pattisapu, Candice N",,,,,assmann,peter assmann
PSY,3361,0U1,4,3,19,2,8,3,4,3,2,3,2,,3,,,"Cavazos, Jacqueline G","Lung, Tzu-Chen",,,,,mam089100,mitchell meltzer
PSY,3370,0U1,45,9,10,6,1,1,2,1,,,,,2,,,"Helfers, Samantha","Williams, Denise D",,,,,sxh161130,
PSY,3392,0U1,13,12,6,1,9,1,,1,,,,,4,,,"Schwark, Gayle","Gryder, Kieth",,,,,rxr076000,rachna raman
PSY,3393,0U1,,2,1,5,4,2,2,2,1,1,,,,,,"Ybarra, Regina K","Mizener, Brendon J",,,,,ach103020,amanda hahn
PSY,3393,5U1,4,2,1,4,1,,2,,,,,,2,,,"Raman, Rachna","Holmes, Melanie C",,,,,mrk092020,
PSY,4343,0U1,,43,13,11,11,1,1,4,3,1,,,2,,,"Ybarra, Regina K","Wu, Sining",,,,,rsk130430,regina ybarra
PSY,4346,0U1,24,31,2,4,5,,2,1,2,,1,1,2,,,"Gentsch, Joanna K","Wilder, Siri",,,,,jgentsch,joanna gentsch
PSY,4V90,0H1,,3,9,3,1,,1,,,,,,,,,"Brody, Salena M",,,,,,smb051000,salena brody
REAL,3305,5U1,,3,1,,6,3,,1,1,,,,1,,,"Guttery, Randall",,,,,,jxl180030,julie lynch
REAL,6321,5U1,,6,1,,8,2,,3,,,,,,,,"Guttery, Randall",,,,,,rxg112530,randall guttery
RHET,1302,051,,9,2,2,2,,,,,,,,1,,,"Ma, Ying",,,,,,axs084500,addison shierry
RHET,1302,052,2,5,2,1,,,1,2,,,,,,,,"Crawford, Rachel",,,,,,klb140030,kent boyer
RHET,1302,053,1,5,,1,2,1,,,,,,1,1,,,"Hasan, Syeda Nadia",,,,,,skm130030,suzanne mcintosh
RHET,1302,054,,12,,1,1,,,,,,,,1,,,"Mathur, Shivika",,,,,,sxm170012,shivika mathur
RHET,1302,055,1,4,4,1,2,,2,1,,1,,,2,,,"Ocasio-Russe, Lizbette",,,,,,lxo160130,lizbette ocasio russe
RHET,1302,091,4,7,2,3,,,1,,,,,,1,,,"Murphy, Trisha",,,,,,pjs140230,
RHET,1302,092,,9,,,,,,,,,,,1,,,"Howard Cuadros, Esther W",,,,,,exh022000,
SE,3306,0U1,,8,,1,6,,,2,,,,,,,,"Farage, Timothy P",,,,,,tfarage,timothy farage
SE,4381,0U1,1,1,1,1,5,1,,,,,,,,,,"Paulk, Mark C","Yu, Linlin",,,,,mcp130030,mark paulk
SE,6388,5U1,,8,1,1,,,,,,,,,,,,"Smith, Klyne","Yu, Linlin",,,,,kxs180052,klyne smith
SE,6388,MU1,,5,5,1,,,,,,,,,,,,"Smith, Klyne","Yu, Linlin",,,,,kxs180052,klyne smith
SOC,1301,0W1,12,15,1,1,5,2,,4,,,1,1,2,,,"Malek-Ahmadi, John H",,,,,,zrs160030,zachary simoni
SOC,3379,0U1,6,2,1,2,,,,,,,,,,,,"Upoma, Shahrin S",,,,,,vxz160130,shahrin upoma
SPAU,3342,0U1,4,10,1,,,1,1,,,,,,,,,"Barfoot, John W","Camacho, Natalia S",,,,,jwb043000,john barfoot
SPAU,4394,051,,26,,,8,,,1,,,,,,,,"Kaplan, Karen",,,,,,kkaplan,karen kaplan
STAT,2332,0U1,18,4,2,2,3,1,,3,,1,1,,1,,,"Whalen, Tristan G",,,,,,tgw100020,tristan whalen
STAT,2332,0U2,2,3,2,3,4,4,,1,,,,,,,,"Guo, Huizhen","Sajal, Ibrahim Hossain","Uddin, Mohammad Afser",,,,hxg190020,huizhen guo
STAT,4351,0U1,,5,,3,,,,3,1,,1,1,1,,,"Koshevnik, Yuly","Wickramasinghe, Wickramasinghe M",,,,,yxk055000,yuly koshevnik
SYSM,6327,SU1,,17,,,,,,,,,,,,,,"Reynolds, Samuel E",,,,,,ser180002,samuel reynolds
SYSM,6334,SU1,,5,3,2,,2,,,,,,,,,,"Shrivastava, Prakash C",,,,,,pcs130130,prakash shrivastava
THEA,1310,091,,14,4,2,2,,,,,,,,,,,"Hibbs, Shelby A",,,,,,sah140730,shelby hibbs
UNIV,2V96,0U1,,,,,,,,,,,,,,25,,"Maitra, Meenakshi","Turcatti, Andrea M","Edwards, Kimberly J","Ho, Karl","Bennett, Terrell R",,mxm172731,meenakshi maitra
