Instructor 1,Instructor 2,Instructor 3,Instructor 4,Instructor 5,Instructor 6,Subject,Catalog Nbr,Section,A+,A,A-,B+,B,B-,C+,C,C-,D+,D,D-,F,NF,CR,NC,P,I,W,instructor_id,instructor_name_normalized
"Xia, Han (Victor)",,,,,,FIN,3350,501,,7,5,4,5,3,2,,,,2,,,,,,,,0,axr150331,alejandro rivera mesias
"Pedigo, Madison F",,,,,,FIN,3360,001,4,7,4,8,11,4,6,2,1,,1,,,,,,,,0,mfp013000,madison pedigo
"Richardson, Debra L","Kuang, Shimaoling",,,,,FIN,3370,001,7,5,5,2,7,1,,2,1,1,1,1,,,,,,,0,dlr150330,debra richardson
"Gurun, Ayfer",,,,,,FIN,3380,001,1,3,5,9,4,10,9,3,,,,,1,,,,,,0,axg119030,ayfer gurun
"El-Ashmawi, Amal H","Jerez Carreno, Jaime Eduardo",,,,,FIN,3390,001,11,2,5,6,2,6,,1,5,2,,6,1,,,,,,2,ahe013000,amal el ashmawi
"Kaur, Dupinderjeet",,,,,,FIN,3390,002,7,4,3,1,2,3,3,2,2,1,4,6,1,,,,,,1,ahe013000,amal el ashmawi
"El-Ashmawi, Amal H","Jerez Carreno, Jaime Eduardo",,,,,FIN,3390,501,4,,1,1,4,5,6,1,3,,1,1,2,,,,,,2,ahe013000,amal el ashmawi
"Cordell, David M","Zhu, Yiding",,,,,FIN,4300,001,,6,3,1,8,1,,7,,,,,1,,,,,,2,jdf170030,jack furst
"Furst, Jack D",,,,,,FIN,4300,003,1,17,3,4,9,2,,1,,,,,,,,,,,0,kdw061000,kelsey wei
"Mjigal, Tahar",,,,,,FIN,4340,001,3,7,11,1,,,,,,,,,,,,,,,0,swx170030,
"Day, Theodore",,,,,,FIN,6301,0W1,,12,1,2,12,3,,2,,,,,5,,,,,,6,tday,theodore day
"Lewin, Peter","Zhu, Yiding",,,,,FIN,6308,0W1,,10,2,3,13,1,3,,,,,,,,,,,,1,plewin,peter lewin
"Khanapure, Revansiddha B","Hong, Yuan",,,,,FIN,6310,001,,3,7,17,7,,1,,,,,,,,,,,,0,yexiaoxu,yexiao xu
"DeCourcy, George A",,,,,,FIN,6322,501,,8,5,2,,4,,,,,,,,,,,,,1,gad075000,george decourcy
"Day, Theodore","Sharma, Varun",,,,,FIN,6352,501,,9,5,,10,4,,,,,,,,,,,,,1,jxn125330,jeff noland
"Tsang, Wing K","Bai, Xiaoou",,,,,IMS,3310,001,,3,8,15,9,9,2,1,1,,,,,,,,,,0,jes025000,jane salk
"Carraher, Shawn M",,,,,,IMS,3310,002,13,11,7,3,7,,2,2,,,1,,,,,,,2,1,txh093000,tom henderson
"Woldu, Habte G","Dakshinamoorthy, Sowmika",,,,,IMS,3310,003,2,6,5,8,12,6,7,2,,,,,,,,,,,1,cxw141430,
"Woldu, Habte G","Dakshinamoorthy, Sowmika",,,,,IMS,3310,004,2,7,8,7,11,5,4,1,1,,,,2,,,,,,0,wolduh,habte woldu
"Salk, Jane E","Kathuria, Nishant",,,,,IMS,3310,005,2,2,8,3,2,9,4,3,3,,1,2,3,,,,,,2,wolduh,habte woldu
"Salk, Jane E","Kathuria, Nishant",,,,,IMS,3310,006,2,2,4,3,4,9,8,4,7,1,1,,2,,,,,,0,hxz120930,hubert zydorek
"Carraher, Shawn M",,,,,,IMS,3310,501,14,10,7,2,2,2,1,4,,,,1,,,,,,2,0,xxl133730,
"Zydorek, Hubert",,,,,,IMS,4330,501,,10,9,8,11,3,1,,,,,,,,,,,,0,hxz120930,hubert zydorek
"Woldu, Habte G","Dakshinamoorthy, Sowmika","Chittoor, Dedeepya",,,,IMS,6204,551,,14,10,7,6,2,1,1,,,,,,,,,,,1,wolduh,habte woldu
"Woldu, Habte G","Dakshinamoorthy, Sowmika","Chittoor, Dedeepya",,,,IMS,6204,0W1,,11,13,17,3,2,,,,,,,,,,,,,0,wolduh,habte woldu
"Tsang, Wing K","Li, Xiujuan",,,,,IMS,6360,501,,3,5,7,2,,,,,,,,,,,,,,0,wkt071000,wing tsang
"Slaughter, Kelly T",,,,,,MIS,6204,0W1,,15,,,29,,,5,,,,,1,,,,,,0,kts130030,kelly slaughter
"Narasimhan, Prithi","Kopparapu, Hanuman Abhishek",,,,,MIS,6316,501,,8,7,6,2,3,1,1,,,,,,,,,,,0,pxn152330,prithi narasimhan
"Tang, Shaojie","Guha, Sumalya",,,,,MIS,6323,001,,14,5,10,1,,,,,,,,,,,,,,2,nxs045000,nassim sohaee
"Sohaee, Nassim","Thorat, Snehal H",,,,,MIS,6323,002,,13,11,10,9,8,,,,,,,,,,,,,0,nxs045000,nassim sohaee
"Chen, Jianqing","Velumani, Suganya",,,,,MIS,6324,001,,7,9,8,6,4,,,,,,,,,,,,,0,zxz145430,
"Cavusoglu, Huseyin","Ozdemir, Dicle Yagmur",,,,,MIS,6330,0W1,,14,6,4,1,1,,1,,,,,,,,,,,0,huseyin,huseyin cavusoglu
"Menon, Syam","Kanala, Lalitha Naga Venkata","Zhang, Haozhao",,,,MIS,6334,501,,6,9,5,4,1,,,,,,,,,,,,,0,sxm021300,syam menon
"Menon, Syam","Kanala, Lalitha Naga Venkata","Zhang, Haozhao",,,,MIS,6334,001,,8,7,7,3,2,,,,,,,,,,,,,0,xxg091000,xianjun geng
"Thouin, Mark","Dogaroglu, Seckin",,,,,MIS,6360,001,,42,12,8,2,2,1,1,,,,,,,,,,,0,mxt083000,mark thouin
"Jacob, Varghese",,,,,,MIS,7220,001,,7,,,,,,,,,,,,,,,,,0,vjacob,
"Kulkarni, Madhura",,,,,,MKT,3300,002,2,3,6,5,1,1,2,,,,,,2,,,,,,0,xxl157230,xiaolin li
"Pahwa, Parneet","Shyam, Nikhil","Sikdar, Sathi",,,,MKT,3300,003,3,17,9,14,2,2,,,,,,,,,,,,1,1,bxl131330,bo ram lim
