Instructor 1,Instructor 2,Instructor 3,Instructor 4,Instructor 5,Instructor 6,Subject,Catalog Nbr,Section,A+,A,A-,B+,B,B-,C+,C,C-,D+,D,D-,F,NF,CR,NC,P,I,W,instructor_id,instructor_name_normalized
"Polk, Elmer O","Shih, Meng Ru",,,,,CRIM,3310,001,34,16,7,1,1,6,2,,3,,,,2,,,,,,1,zap130030,zachary powell
"Maskaly, Jonathan","Hernandez, Richard",,,,,CRIM,6311,001,,1,3,1,4,,,,,,,,,,,,,,0,jxm166430,jonathan maskaly
"Kiel, Lowell D",,,,,,PA,4340,001,,7,3,5,2,4,,3,,,,,,,,,,,0,dkiel,
"Valcarcel, Victor J",,,,,,ECON,7302,501,,1,5,2,,3,,1,,,,,,,,,,,0,vjv150130,victor valcarcel
"Cummings, Anthony R","Liau, Yan-Ting",,,,,GEOG,2302,001,1,,3,1,5,5,1,1,2,1,,,1,,,,,,0,arc131030,anthony cummings
"Goodman, Doug",,,,,,PA,6399,501,,8,1,3,,,,,,,,,,,,,,,0,jrm094020,john mccaskill
"Hughes, Amy E","Hu, Lan",,,,,GISC,6381,501,,7,3,2,2,1,,2,,,,,,,,,,1,1,yxc070300,
"Benavides, Teodoro J",,,,,,PA,6342,0W1,,13,,,,,,,,,,,,,,,,,0,tjb051000,teodoro benavides
"Benavides, Teodoro J",,,,,,ECON,6372,0W1,,10,,,,,,,,,,,,,,,,,0,tjb051000,teodoro benavides
"Seagroves, Tony A",,,,,,PSCI,4V66,501,8,10,,,1,,,,,,,,,,,,,,0,tas064000,tony seagroves
"Dow, Douglas C",,,,,,GOVT,2306,HN1,2,9,7,3,2,,,,,,,,,,,,,,0,dougdow,douglas dow
"Polk, Elmer O","Kanvinde, Vrishali",,,,,CRIM,2317,001,9,9,4,1,4,2,,1,,,,,4,,,,,,0,peo091000,elmer polk
"Dell, Brent",,,,,,GISC,4325,001,,4,5,2,2,1,1,,,,,,,,,,,,0,bxd160430,brent dell
"Chastain, Bryan J","Yu, Xiaohe",,,,,GISC,4382,001,,2,3,2,,,,3,1,,,,1,,,,,,3,bjc062000,bryan chastain
"Lowe, Evan","Gutierrez Mannix, Carlos Daniel","Cando Naranjo, Jose J",,,,GOVT,2306,004,23,38,46,20,18,19,19,10,15,3,4,6,16,,,,,,1,exl171930,evan lowe
"Davis, Stephanie","Akarte, Prajakti V","Latiolais, Jasmine R","Kim, Youngsil",,,GOVT,2306,005,167,28,28,13,11,13,3,3,5,1,1,1,3,,,,,,2,eelliott,euel elliott
"Ratliff, Lauren A","Gathman, Adrienne E","Parker, Misty D","Rhyu, Kyunghee",,,GOVT,2306,001,34,52,32,23,38,19,11,30,11,8,3,2,13,,,,,,2,sxd168630,stephanie davis
"Larue, Patrick","Das, Soham","Sun, Zeyu",,,,GOVT,2305,001,,9,22,12,40,17,11,27,12,9,11,10,31,,,,,,5,pxl111020,patrick larue
"Cummings, Anthony R","Liau, Yan-Ting",,,,,ENVR,2302,001,3,1,2,1,2,2,1,2,,,,1,1,,,,,,0,arc131030,anthony cummings
"White, Lionel S","Savage, Tiffany L",,,,,GISC,5322,001,,7,1,,1,,,,,,,,,,,,,,0,mxp180004,mortaza pirouz
"Modjarrad, Shahin S",,,,,,PSCI,4364,001,40,,,1,,,,1,,,,1,1,,,,,1,0,ssm140230,shahin modjarrad
"White, Lionel S","Savage, Tiffany L",,,,,GISC,5324,501,,10,1,,,,,,,,,,,,,,,,0,aiken,carlos aiken
"Powell, Zachary A",,,,,,CRIM,3300,001,,9,6,7,5,4,5,1,,,,,3,,,,,,1,zap130030,zachary powell
"McKay, Brian",,,,,,CRIM,4337,501,3,3,4,1,1,1,2,2,5,1,,,,,,,,,3,bxm131530,brian mckay
"Leeper Piquero, Nicole","Piquero, Alexis M",,,,,CRIM,7315,001,,2,,2,2,,,,,,,,,,,,,,0,nxl112230,nicole piquero
"Leblebicioglu, Asli","Montenegro Arana, Sebastian",,,,,ECON,4382,001,3,3,4,8,4,7,2,3,1,1,,,,,,,,,2,axl128330,
"Li, Xin","Yang, Shuo",,,,,ECON,7301,001,,2,4,4,,2,,,,,,,,,,,,,0,xxl068000,xin li
"Yuan, May","Karale, Yogita Y",,,,,GISC,6385,001,,7,1,,3,1,,1,,,,,,,,,,1,0,mxy141230,
"Qiu, Fang","Shi, Fan",,,,,GISC,7365,001,,8,2,1,,,,,,,,,,,,,,,1,ffqiu,fang qiu
"Suh, Ji Won",,,,,,PSCI,3310,001,,3,6,4,2,,,,,,,1,,,,,,,0,jrm094020,john mccaskill
"Harrington, James",,,,,,PA,2325,001,,4,4,5,,,,,,,,,,,,,,,0,mxs095000,meghna sabharwal
"Suh, Ji Won",,,,,,PA,3310,001,4,4,6,,3,2,2,,,,,2,,,,,,,0,jrm094020,john mccaskill
"Cohen, Galia",,,,,,PA,4345,001,,1,4,2,3,4,3,4,1,,1,,,,,,,,4,gxc097120,galia cohen
"Benavides, Teodoro J",,,,,,PA,6344,501,,9,,,,,,,,,,,,,,,,,0,tjb051000,teodoro benavides
"McCaskill, John R",,,,,,PA,7314,001,,6,,,,,,,,,,,,,,,,,0,jrm094020,john mccaskill
"Battaglio, Randy P",,,,,,PA,7350,501,,8,,,,,,,,,,,,,,,,,0,rpb071000,jr r paul battaglio
"Lanham, Carol C","Love-Hal, Jewell N",,,,,SOC,3352,0W1,2,11,20,10,4,4,4,4,6,1,2,1,1,,,,,,1,ccl054000,carol lanham
"Simoni, Zachary","Love-Hal, Jewell N",,,,,SOC,4384,001,2,12,7,5,8,,,1,2,,,,,,,,,1,1,zrs160030,zachary simoni
"Kim, Dohyeong","Zaychik, Danielle",,,,,PPPE,6321,501,,8,8,8,1,1,,,,,,,,,,,,,1,dxk132530,dohyeong kim
"Hicks, Donald",,,,,,PPPE,6342,001,,2,1,1,1,2,,1,,,,,1,,,,,1,1,dahicks,donald hicks
"Sutton, Kara L",,,,,,EPPS,2301,001,12,29,18,18,5,2,,2,1,,,,3,,,,,,0,jjc150830,jacquelyn cheun
"Sutton, Kara L",,,,,,EPPS,2302,501,14,26,8,12,8,2,2,1,4,,,,6,,,,,1,2,xxc110430,xiang cai
"Grover, William C",,,,,,EPPS,6313,501,,6,4,4,5,2,,,,,,,2,,,,,1,2,exg131830,evgenia gorina
"Elliott, Euel W","Rejepov, Vepa",,,,,GOVT,2306,002,,21,25,14,15,18,15,11,6,6,,1,8,,,,,,2,exl171930,evan lowe
"Lee, Young-Joo",,,,,,PA,6382,501,,11,8,,1,1,,,,,,,1,,,,,,0,yxl093000,young joo lee
"Wheeler, Andrew",,,,,,CRIM,4323,0H1,,16,,,2,,,1,,,,,,,,,,,0,axw161530,
"Huskey, Michael",,,,,,CRIM,1301,0W1,,16,7,6,3,6,6,6,1,1,1,1,9,,,,,,4,gxc097120,galia cohen
"Kovandzic, Tomislav",,,,,,CRIM,1307,0W1,4,28,16,16,7,2,1,,,,1,,4,,,,,,0,tvk071000,tomislav kovandzic
"Valcarcel, Victor J",,,,,,ECON,3312,001,,6,,2,4,1,2,7,,,6,,3,,,,,,9,vjv150130,victor valcarcel
"Wunder, Timothy",,,,,,ECON,2302,0W1,,16,1,,32,3,3,36,5,,16,1,17,,,,,,4,txw132630,timothy wunder
"Siqueira, Kevin J",,,,,,ECON,4360,001,2,7,2,4,3,2,3,2,,,1,2,1,,,,,,0,kjs064000,kevin siqueira
"Elliott, Euel W","Rejepov, Vepa",,,,,PPPE,6347,001,,5,,2,,1,,,,,,,1,,,,,1,1,eelliott,euel elliott
"Davis, Stephanie","Kim, Youngsil","Latiolais, Jasmine R","Akarte, Prajakti V",,,GOVT,2305,003,64,38,36,29,21,24,15,13,8,5,3,1,3,,,,,,3,txg171430,thomas gray
"Qiu, Fang","Shi, Fan",,,,,GISC,6384,001,,16,1,1,,2,,,,,,,1,,,,,1,1,ffqiu,fang qiu
"Kim, Alisha A",,,,,,EPPS,2301,003,,12,6,2,7,1,,,1,,,,4,,,,,,0,axk124331,alisha kim
"Peinhardt, Clint W","Cavallo De Oliveira, Paulo Marcio",,,,,PSCI,4356,001,1,6,9,5,9,7,3,2,1,1,2,,2,,,,,,0,cwp052000,clint peinhardt
"Kiel, Lowell D",,,,,,PA,6326,501,,1,2,2,2,,,,,,,,,,,,,,0,dkiel,
"Chordiya, Rashmi V",,,,,,PA,3380,0W1,6,22,2,4,4,1,,2,,,,,1,,,,,,0,rvc140130,rashmi chordiya
"Sabharwal, Meghna",,,,,,PA,6311,501,,16,,,1,,,,,,,,,,,,,,1,jrm094020,john mccaskill
"Cummings, Anthony R","Liau, Yan-Ting",,,,,GISC,4386,001,2,2,3,5,1,3,1,,1,,,,2,,,,,,1,arc131030,anthony cummings
"Carlsen-Landy, Beverly L",,,,,,SOC,1301,0W1,5,10,7,5,1,3,1,2,2,2,3,,7,,,,,,1,zrs160030,zachary simoni
"Elliott, Euel W","Rejepov, Vepa",,,,,PSCI,6347,001,,8,7,1,,,,,,,,,,,,,,,0,eelliott,euel elliott
"Harrington, James",,,,,,PA,6315,501,,12,6,3,,,,,,,,,,,,,,1,1,jxh134630,james harrington
"Earle, Doric E",,,,,,ECON,3330,501,,14,5,5,4,,,,1,,,,,,,,,,0,dee011000,doric earle
"O'Brien, Daniel M","Choi, Soohyun",,,,,ECON,6306,502,,22,2,,,,,,,,,,,,,,,,0,obri,daniel obrien
"Malek-Ahmadi, John H",,,,,,SOC,2320,0W1,,24,6,4,13,,1,,,,,,,,,,,,2,jhm110020,john malek ahmadi
"Carlsen-Landy, Beverly L",,,,,,SOC,2305,0W1,,1,2,,3,3,2,1,1,1,,,5,,,,,,0,blc120130,beverly carlsen landy
"Kim, Kwang Soo",,,,,,ECON,2301,501,4,2,2,2,3,,,1,2,,1,,1,,,,,,1,kxk124930,
"Ramezani, Rasoul",,,,,,ECON,2302,501,2,6,3,1,,3,3,1,3,2,,2,2,,,,,,1,rxr145930,rasoul ramezani
"Giertz, Seth","Nguyen, Hien T",,,,,ECON,4320,001,1,7,3,12,1,9,2,2,1,,,,,,,,,,0,sxg154831,seth giertz
"Chen, Patricia M",,,,,,EPPS,2301,002,,7,5,5,4,5,6,4,5,,,1,3,,,,,,4,axk124331,alisha kim
"Malek-Ahmadi, John H",,,,,,SOC,3325,0W1,,40,2,7,8,1,,1,,,,,,,,,,,0,jhm110020,john malek ahmadi
"Lanham, Carol C","Love-Hal, Jewell N",,,,,SOC,4357,001,2,16,11,1,9,6,4,5,3,,,,2,,,,,,1,ccl054000,carol lanham
"Simoni, Zachary","Love-Hal, Jewell N",,,,,SOC,4306,001,2,3,1,1,2,2,,,,,,,,,,,,,0,zrs160030,zachary simoni
"Arguelles, Ariel",,,,,,PA,3379,001,9,4,4,,,,,2,,,,,,,,,,,0,axa152731,ariel arguelles
"Gorina, Evgenia","Zvobgo, Varaidzo",,,,,PA,6374,0W1,,3,3,2,,,,,,,,,1,,,,,,0,exg131830,evgenia gorina
"Alexander, Bobby",,,,,,EPPS,7V81,001,,6,1,,,,,,,,,,,,,,,1,0,bcalex,bobby alexander
"Lowe, Evan","Zengin, Abdullah Furkan","Endicott, Connor W",,,,GOVT,2306,003,27,27,31,12,15,10,6,1,5,3,1,1,5,,,,,,1,sxd168630,stephanie davis
"Bray, Timothy M","Han, Sungil",,,,,CRIM,2313,001,2,4,6,5,,2,,,2,2,1,,2,,,,,,0,tmb021000,timothy bray
"Alexander, Bobby","Love-Hal, Jewell N",,,,,SOC,3333,001,12,9,19,5,7,7,2,,,,,,2,,,,,,0,bcalex,bobby alexander
"Lowe, Evan",,,,,,PSCI,3301,001,6,13,11,8,5,7,2,1,1,,,2,5,,,,,,2,exl171930,evan lowe
"Gorina, Evgenia",,,,,,PA,3378,001,,2,4,1,1,,3,,,,,,1,,,,,,1,tth130030,
"Ketsler, Luba",,,,,,ECON,3330,002,2,22,6,12,20,2,,1,,,,,,,1,,,,5,lxk010300,luba ketsler
"Grover, William C",,,,,,ECON,6306,503,,25,2,,1,,,,,,,,,,,,,,0,wcg071000,william grover
"Wright, David A",,,,,,BIS,3320,501,7,9,3,2,8,3,3,6,,,,,1,,,,,,0,wright,david wright
"Hudson, Jennifer M",,,,,,BIS,3320,001,2,6,8,3,3,5,,2,1,1,,,3,,,,,,0,jxh100220,jennifer hudson
"Hudson, Jennifer M",,,,,,BIS,3320,002,3,8,6,4,3,1,1,,1,,,,1,,,,,,2,twissin,tonja wissinger
"Wissinger, Tonja",,,,,,BIS,3320,003,,7,,4,7,,2,2,,,3,,3,,,,,,3,nxp174730,neall pogue
"Fagg, Sharon",,,,,,ED,3314,001,11,9,1,,7,2,,1,,,,,1,,,,,,0,sxf044000,sharon fagg
"Leek, Patricia A",,,,,,ED,3315,501,,6,1,1,1,2,,,,,,,,,,,,,0,santine,patricia leek
"Nelson, Robert E",,,,,,ED,3339,001,11,17,5,8,3,1,1,,,,,,1,,,,,,1,ren011000,robert nelson
"Haun, Julia T",,,,,,ED,3340,501,1,3,5,,3,3,,5,,,1,,1,,,,,,0,jlb018300,julia haun
"McNulty, Angela B",,,,,,ED,3345,001,,5,8,1,3,,,,,,,,,,,,,,1,mcnulty,
"McNulty, Angela B",,,,,,ED,3345,501,,5,3,2,1,,,1,,,,,,,,,,,0,mcnulty,
"Schlosser, Polly",,,,,,ED,3382,501,3,10,5,3,1,1,,,,,,,,,,,,,1,pxs091000,polly schlosser
"Hennessy, Emily T",,,,,,ED,4343,001,10,2,1,,,1,,,,,,,,,,,,,0,eft031000,emily hennessy
"Huisman, Ingrid",,,,,,ED,4344,501,,3,5,3,10,1,,,,,,,,,,,,,0,ibh013000,ingrid huisman
"McNulty, Angela B",,,,,,ED,4352,001,,1,3,3,10,1,,,,,,,,,,,,,0,mcnulty,
"McNulty, Angela B",,,,,,ED,4352,002,,4,8,5,2,,,,,,,,,,,,,,0,mcnulty,
"Starke, Tamera",,,,,,ED,4353,001,12,5,1,,3,,,,,,,,,,,,,,0,ncv013000,nancy van ness
"Chandler, Candice",,,,,,ED,4357,001,,3,1,,,1,1,3,3,,,,,,,,,,0,cxc031000,candice chandler
"Chandler, Candice",,,,,,ED,4357,002,,3,2,3,3,2,1,2,1,,,,,,,,,,0,cxc031000,candice chandler
"Parker, Teresa L",,,,,,ED,4361,501,,11,3,,,,,,,,,,,,,,,,0,lly062000,laurie youngblood pollock
"Chandler, Candice",,,,,,ED,4363,001,1,5,4,,,2,,,,,,,,,,,,,0,cxc031000,candice chandler
"Parker, Teresa L",,,,,,ED,3342,501,,15,1,1,,,,,,,,,,,,,,,0,tparker,teresa parker
"Byrnes, Kathleen A",,,,,,HLTH,1100,001,2,32,204,7,2,,,,,,,,,,,,,,0,kab019000,kathleen byrnes
"Day, Lora N",,,,,,HLTH,1322,0W1,,9,10,6,13,5,1,4,1,,2,,3,,,,,,4,lnd092000,lora day
"Sandon, Lona",,,,,,HLTH,3101,0W1,,148,,,2,,,,,,,,,,,,,,0,lxs095000,lona sandon
"Simpson, Carrie M",,,,,,BIS,4306,0W1,2,1,5,7,2,2,,,1,1,,,6,,,,,,2,cms131030,carrie simpson
"Winstead, Elizabeth L",,,,,,AMS,3350,001,9,5,3,2,4,2,,1,,,,,2,,,,,,0,lwm061000,elizabeth winstead
"Wissinger, Tonja",,,,,,ISIS,3312,001,2,6,1,1,5,1,,3,3,,2,,,,,,,,0,twissin,tonja wissinger
"Weiner, Michelle L",,,,,,ED,4345,501,1,2,3,2,1,1,,,,,,,,,,,,,0,mxw051000,michelle weiner
"Rainey, Anthony D",,,,,,HLTH,4108,001,19,7,,,1,,,,,,,,2,,,,,,0,doyen,anthony rainey
"Byrnes, Kathleen A",,,,,,HLTH,3301,001,,3,6,3,8,17,7,8,5,2,4,4,2,,,,,,1,kab019000,kathleen byrnes
"Edwards, Christopher W","Henry, Loreen S",,,,,BIS,3190,0W2,14,7,1,4,3,1,,,,,,,1,,,,,,0,cwe011000,christopher edwards
"Starke, Tamera",,,,,,AMS,4300,001,7,5,,2,,,,,1,,,,1,,,,,,0,ncv013000,nancy van ness
"Byrnes, Kathleen A",,,,,,HLTH,3315,001,,3,22,17,28,30,10,6,6,2,3,2,2,,,,,,0,kab019000,kathleen byrnes
"Baetge, Claire",,,,,,HLTH,1301,0W1,3,18,5,1,4,1,1,1,1,,,,,,,,,,0,cxb170330,claire baetge
"Duquaine-Watson, Jill M",,,,,,HLTH,3310,001,15,15,12,10,7,2,2,,1,,,1,1,,,,,,1,jmw087000,jillian duquaine watson
"Gold, Terry",,,,,,PHIN,1120,001,,20,,,,,,,,,,,2,,,,,,0,yogagold,terry gold
"Leek, Patricia A",,,,,,ED,3315,002,,8,,,1,,,,,,,,1,,,,,,1,santine,patricia leek
"Edwards, Christopher W","Henry, Loreen S",,,,,BIS,3190,0H1,15,4,3,1,4,1,1,,1,,,,2,,,,,,0,jtm140230,
"Nix, Rebekah K",,,,,,ED,4372,0W1,11,5,,,1,,,,,,,,,,,,,,0,rnix,rebekah nix
"Nix, Rebekah K",,,,,,ED,4372,0W2,9,1,,,3,1,,,,,,,3,,,,,,0,rnix,rebekah nix
"Nix, Rebekah K",,,,,,ED,4372,0W3,3,5,,,1,,,,,,,,1,,,,,,0,rnix,rebekah nix
"Werhnyak, Larissa",,,,,,GST,2300,001,,6,4,5,5,5,1,1,,,,,2,,,,,,1,erins,erin smith
"Winstead, Elizabeth L",,,,,,AMS,3316,001,14,11,1,4,,,1,1,,,,,,,,,,,0,lwm061000,elizabeth winstead
"Byrnes, Kathleen A",,,,,,HLTH,3305,001,,5,7,2,3,6,4,1,1,3,3,1,,,,,,,4,kab019000,kathleen byrnes
"Isham, Stephanie",,,,,,HLTH,4380,0W1,3,5,6,7,4,5,3,2,1,1,2,,,,,,,,1,sisham,
"Smith, Erin",,,,,,AMS,2300,HN1,2,8,5,6,2,,,,,,,,,,,,,,1,erins,erin smith
"Edwards, Christopher W","Henry, Loreen S",,,,,BIS,3190,0W1,22,4,3,,2,,,,,,,,,,,,,,0,cwe011000,christopher edwards
"Davis, Renee",,,,,,ED,4351,501,3,7,6,,,,,,,,,,,,,,,,0,rrd160530,renee davis
"Day, Lora N",,,,,,HLTH,1322,0W2,,5,1,,3,1,3,2,,,1,,1,,1,,,,2,lnd092000,lora day
"Sandon, Lona",,,,,,HLTH,3101,0W2,,150,,,4,,,,,,,,1,,,,,,0,lxs095000,lona sandon
"Winstead, Elizabeth L",,,,,,AMS,4385,0W1,16,7,7,2,1,2,,1,1,,1,1,,,,,,,0,lwm061000,elizabeth winstead
"Stark, Azadeh T",,,,,,HLTH,3305,002,2,5,7,5,3,5,1,2,,,,,,,,,,,0,ats160030,azadeh stark
"Ross, Alyssa N",,,,,,ED,4363,501,8,8,1,,3,,,1,,,,,,,,,,,0,anr161130,alyssa ross
"Savard, Ryan R",,,,,,HLTH,4380,001,,8,8,6,8,8,5,5,,1,4,2,2,,,,,,0,rrs170330,ryan savard
"Stark, Azadeh T",,,,,,HLTH,4305,001,2,2,1,4,7,3,3,3,5,,3,3,2,,,,,,1,ats160030,azadeh stark
"Isham, Stephanie",,,,,,HLTH,4380,0W2,2,6,7,9,2,2,1,3,3,,2,,1,,,,,1,1,sisham,
"McBride, Rachael L",,,,,,HLTH,1322,0W3,,9,7,7,12,5,2,6,2,,2,,1,,,,,,3,rlp019100,rachael mcbride
"Sandon, Lona",,,,,,HLTH,3101,0W3,,72,,,1,,,,,,,,,,,,,,1,lxs095000,lona sandon
"Haun, Julia T",,,,,,ED,4345,001,7,6,3,,1,2,,,,,,,,,,,,,0,jlb018300,julia haun
"Huisman, Ingrid",,,,,,ED,4344,502,1,2,7,2,,,1,,,,,,,,,,,,0,ibh013000,ingrid huisman
"Friedman, Meredith K",,,,,,ED,4343,501,11,,,,,,,,,,,,,,,,,,0,mxk116530,meredith friedman
"Salter, Elizabeth",,,,,,ISIS,3309,001,6,6,,1,2,,6,1,,,,,,,,,,,2,emsalter,elizabeth salter
"Werhnyak, Larissa",,,,,,AMS,2341,001,,5,6,5,6,4,1,1,,,,,2,,,,,,1,lxw163630,larissa werhnyak
"Fagg, Sharon",,,,,,ED,3314,501,4,10,1,,3,,,,,,,,2,,,,,,1,sxf044000,sharon fagg
"Graves, Kyle W",,,,,,ISIS,4303,001,,11,7,3,,,,,1,,,,,,,,,,0,kwg041000,kyle graves
"Rosa, Jonathan",,,,,,ISIS,3335,501,5,7,6,4,3,5,2,2,,,,,,,,,,,0,jxr172530,jonathan rosa
"Aubrey, Lea E",,,,,,ISIS,4V89,002,7,7,8,4,4,2,2,6,,,,,,,,,,,0,lec110030,lea aubrey
"Choate, Michael J",,,,,,ISIS,4V89,001,,8,,,,,,,1,,1,,2,,,,,,0,lxw163630,larissa werhnyak
"Baetge, Claire",,,,,,HLTH,1301,0W2,,5,3,2,3,2,,,,,,,,,,,,,0,cxb170330,claire baetge
"Harpham, Edward",,,,,,HONS,3199,HN1,,10,1,,,,,,,,,,,,1,,,,0,harpham,edward harpham
"Dow, Douglas C",,,,,,HONS,3199,HN2,5,6,4,,,,,,,,,,,,,,,,0,dougdow,douglas dow
"Prakash, Ravi",,,,,,HONS,3199,HN3,,9,2,1,,1,,1,,,,,,,,,,,1,ravip,ravi prakash
"LaDow, Eva S",,,,,,HONS,3199,HN4,3,8,,,,,,1,,,,,,,1,,,,0,esl130130,eva ladow
"Thompson, Christina M","Rippel, Scott A",,,,,HONS,3199,HN5,4,10,,1,,,,,,,,,,,,,,,0,axp116030,
"Kildebeck, Eric J",,,,,,HONS,3199,H10,21,,,,,,,,,,,,,,,,,,0,jxm092000,jessica murphy
"Farmer, J Michael",,,,,,HONS,3199,H11,,11,1,,,,,,,,1,,1,,,,,,0,cmt120030,christina thompson
"Thompson, Christina M",,,,,,HONS,3199,HN6,2,12,1,,,,,,,,,,,,,,,,0,ivor,ivor page
"Towner, Theresa",,,,,,HONS,3199,HN8,,15,,,,,,,,,,,,,,,,,0,tlb056000,thomas brunell
"Martinez, Manuel L",,,,,,HONS,3199,HN9,1,13,,,,,,,,,,,,,,,,,0,ejk018000,
"Wilson, Michael",,,,,,HONS,3199,H12,,12,2,1,1,1,,,,,,,,,,,,,0,cmt120030,christina thompson
"Kaplan, Marilyn R",,,,,,HONS,3199,HN7,11,1,1,,1,,,,,,,,,,,,,,0,jmw087000,jillian duquaine watson
"Shi, Xiaoyan","Liu, Xiaoyuan","Kakani, Vivek M",,,,PHYS,1302,001,63,27,30,28,16,14,7,11,5,2,7,4,16,,,,,,6,mxl101000,mark lee
"Macalevey, Paul J","Solanki, Rahulkumar",,,,,PHYS,2126,101,8,17,2,,,,,,,1,,1,,,,,,,0,paulmac,paul macalevey
"Macalevey, Paul J","Adhya, Purbi",,,,,PHYS,2126,102,3,13,5,5,3,,,,,,,,,,,,,,1,paulmac,paul macalevey
"Macalevey, Paul J","Fernando, Bharana A",,,,,PHYS,2126,103,11,13,1,3,,1,,,,,,,1,,,,,,0,paulmac,paul macalevey
"Khan, Amena",,,,,,PHYS,2303,001,2,1,1,,2,2,2,1,1,,,,3,,,,,,1,axk140130,amena khan
"Chen, Lunjin",,,,,,PHYS,2325,001,23,25,18,26,10,10,36,13,10,22,12,,23,,,,,,5,mxi054000,mustapha ishak boushaki
"Lumata, Lloyd",,,,,,PHYS,2325,002,11,69,34,44,44,17,3,3,2,,,,6,,,,,,6,fxz140930,fan zhang
"Glosser, Robert","Fong, Matthew","Proctor, Matthew S",,,,PHYS,2326,001,14,25,,11,15,13,18,8,5,,10,,14,,,,,,12,glosser,robert glosser
"Da Silveira Rodrigues, Fabiano","Proctor, Matthew S","Fong, Matthew",,,,PHYS,2326,501,,58,18,19,26,17,22,15,17,15,16,6,19,,,,,,4,lxk111430,lindsay king
"Lv, Bing","Liu, Xiaoyuan",,,,,PHYS,4311,001,6,10,5,7,6,3,,1,2,,1,,3,,,,,1,0,bxl152230,bing lv
"Malko, Anton V","Cherepanov, Stanislav M",,,,,PHYS,4328,001,2,2,1,3,2,2,,4,,,3,,1,,,,,,0,avm074000,anton malko
"Sun, Kuei","Choi, Miyoung",,,,,PHYS,2125,101,5,22,1,1,,,,,,,,,1,,,,,,0,kxs147030,kuei sun
"Sun, Kuei","Zhang, Yichao",,,,,PHYS,2125,102,10,18,,,,,,,,,,,1,,,,,,1,kxs147030,kuei sun
"Sun, Kuei","Rahmanian Koshkaki, Saeed",,,,,PHYS,2125,103,7,21,,,,,,,,,,,,,,,,,2,kxs147030,kuei sun
"Macalevey, Paul J","Yao, Ji",,,,,PHYS,5302,501,,9,6,6,2,1,1,,,,,,,,,,,,0,paulmac,paul macalevey
"Zhang, Fan",,,,,,PHYS,5313,001,,6,5,4,,,,,,,,,,,,,,,0,fxz140930,fan zhang
"Macalevey, Paul J","Wijeratne, Lakitha O",,,,,PHYS,2126,601,1,9,9,2,3,,,1,,,,,1,,,,,,1,paulmac,paul macalevey
"Griffin, William R",,,,,,GEOS,1103,101,1,4,2,2,2,2,1,1,2,1,,,,,,,,,0,griffin,william griffin
"Griffin, William R",,,,,,GEOS,1103,102,1,6,3,1,2,1,,,1,,,,1,,,,,,1,griffin,william griffin
"Shilpakar, Prabin","Lieu, Warren K",,,,,GEOS,1303,001,1,3,3,7,4,4,,4,1,,1,1,6,,,,,,5,griffin,william griffin
"Pujana, Ignacio","Hetti Pathirannehelage, Diluni Ayeshika W","Lee, Jaewook",,,,GEOS,1304,001,,2,,3,2,2,1,,,,,,,,,,,,0,pujana,ignacio pujana
"Manton, William I",,,,,,GEOS,2409,001,,,,4,1,2,,2,,,,,,,,,,,1,manton,william manton
"Pujana, Ignacio","Lieu, Warren K","Landreneau, Lauren A",,,,GEOS,3434,001,2,2,6,5,4,1,3,,,,,,,,,,,1,0,pujana,ignacio pujana
"Gavva, Sandhya R","Long, Chao",,,,,CHEM,1111,101,3,9,7,,3,,1,1,,,,,4,,,,,,1,nxa124430,nimali abeykoon
"Gavva, Sandhya R","Long, Chao",,,,,CHEM,1111,102,1,13,4,3,,,1,1,,,1,,4,,,,,,1,dxd122030,dushanthi dissanayake
"Qin, Yanping","Sturgeon, Grant J","Estrada, Tania G",,,,CHEM,1111,103,5,9,3,1,3,2,,1,1,,,,3,,,,,,2,axk113330,
"Qin, Yanping","Reyes, Luis E",,,,,CHEM,1111,104,12,10,,1,,1,2,2,,,,,,,,,,,1,nxa124430,nimali abeykoon
"Karunathilake, Arosha A","Tajik Asl, Masoumeh",,,,,CHEM,1112,101,5,18,4,1,1,1,,,,,,,,,,,,,0,yxq083000,yanping qin
"Abeykoon, Nimali C","Long, Chao",,,,,CHEM,1112,102,4,18,3,3,,,,,,,,,1,,,,,,0,yxq083000,yanping qin
"Qin, Yanping","Sturgeon, Grant J",,,,,CHEM,1112,103,14,11,2,,,,,1,,,,,2,,,,,,0,sgavva,sandhya gavva
"Gavva, Sandhya R","Malekpour, Soheil","Tajik Asl, Masoumeh",,,,CHEM,1112,104,,18,4,3,,1,1,,1,,,,1,,,,,,0,sgavva,sandhya gavva
"Abeykoon, Nimali C","Estrada, Tania G",,,,,CHEM,1112,105,3,15,5,1,1,,,,,1,,1,2,,,,,,1,sgavva,sandhya gavva
"Qin, Yanping",,,,,,CHEM,1112,106,4,16,3,3,,1,,,,,,,2,,,,,,1,nxa124430,nimali abeykoon
"Gavva, Sandhya R","Malekpour, Soheil","Tajik Asl, Masoumeh",,,,CHEM,1112,107,5,18,3,1,2,,1,,,,,,,,,,,,0,nxa124430,nimali abeykoon
"Qin, Yanping",,,,,,CHEM,1112,108,12,12,2,1,,,,1,,,,,,,,,,,1,yxq083000,yanping qin
"Huang, Yu","Li, Siqing",,,,,CHEM,1112,116,,15,8,3,1,1,1,,,,,,1,,,,,,0,yxh091220,yu huang
