Subject,Catalog Number,Section,A+,A,A-,B+,B,B-,C+,C,C-,D+,D,D-,F,P,CR,NC,I,W,Instructor 1,Instructor 2,Instructor 3,Instructor 4,Instructor 5,Instructor 6,instructor_id,instructor_name_normalized
ARTS,4368,001,7,10,,,,,,,,,,,,,,,,0,"Pomara, John",,,,,,pomara,john pomara
ARTS,4372,001,2,7,4,3,,,,1,,,1,,,,,,,0,"Waligore, Marilyn A",,,,,,waligore,marilyn waligore
ATCM,1100,001,2,,1,1,2,2,,1,2,1,,,4,,,,,0,"Gutierrez, Alejandra",,,,,,axg173831,alejandra gutierrez
ATCM,2300,0W1,4,50,29,14,27,20,6,15,7,3,4,4,19,,,,,6,"Cooley, Heidi","Haborak, Fiona K","Welwood, Samantha F","Pietsch, Samuel R","Lee, Yueh-Jung",,hxc176430,heidi cooley
ATCM,2301,001,1,7,7,,4,,2,3,1,,,,5,,,,,0,"O'Neill, Cynthia M",,,,,,cmo180003,cynthia oneill
ATCM,2301,002,,4,3,2,5,2,2,1,,,,1,2,,,,,6,"Simsek, Cansu Nur",,,,,,cxs180044,cansu nur simsek
ATCM,2301,003,1,8,5,3,1,,2,1,1,,,1,6,,,,,1,"Monjoree, Uttamasha",,,,,,,uttamasha monjoree
ATCM,2301,004,12,13,,1,,2,,,,,,,1,,,,,1,"Trosper, Elizabeth M","Banditrat, Emily",,,,,emt130130,elizabeth trosper
ATCM,2301,005,1,6,11,1,2,2,,3,1,,,,2,,,,,1,"Hoggatt, Zane C",,,,,,,zane hoggatt
ATCM,2301,006,1,,8,1,2,3,5,1,2,1,,1,2,,,,,3,"Jones, Jazmine Q",,,,,,jqj130030,jazmine jones
ATCM,2301,007,,3,1,2,4,2,,2,,1,1,1,2,,,,,9,"Marder, Amanda K",,,,,,akm150430,amanda marder
ATCM,2302,001,3,9,5,,3,,,2,1,1,1,,,,,,,1,"Minnish, Roxanne W","Ashkaboosi, Maryam",,,,,rwm061000,roxanne minnish
ATCM,2302,002,4,6,4,1,4,,,3,,,,,3,,,,,0,"Minnish, Roxanne W","Ashkaboosi, Maryam",,,,,rwm061000,roxanne minnish
ATCM,2302,003,12,6,2,1,,1,1,2,1,,1,,1,,,,,1,"Beverly, Diamond E",,,,,,deb180004,diamond beverly
ATCM,2302,004,12,7,3,3,1,1,,1,1,,,,1,,,,,0,"Bagherzadeh, Elmira",,,,,,,elmira bagherzadeh
ATCM,2302,005,6,6,5,2,3,2,2,,,,,2,1,,,,,1,"Nguyen, Tuoc K",,,,,,tkn180000,tuoc nguyen
ATCM,2302,006,4,10,2,1,2,3,1,2,,,,,2,,,,,0,"Nguyen, Tuoc K",,,,,,tkn180000,tuoc nguyen
ATCM,2302,501,4,4,4,2,3,2,,1,2,,,1,6,,,,,0,"Gonzalez, Isi J",,,,,,ijg190000,isi gonzalez
ATCM,2303,001,23,37,41,22,21,12,7,5,4,,2,1,2,,,,,2,"Boyd, Elizabeth","Denner, Grace A","McClanahan, Sara N",,,,esp041000,elizabeth boyd
ATCM,2310,001,30,20,18,12,11,14,4,3,5,3,1,3,17,,,,,8,"Salter, Monika M","Chandler, Adam W","Caldwell, Bryon A",,,,mxs176131,monika salter
ATCM,2321,501,15,1,2,1,1,3,,2,,,,,3,,,,,2,"Rheams, David C",,,,,,dcr093020,david rheams
ATCM,2325,001,,19,,,2,,,,,1,,,2,,,,1,1,"Nguyen, Josef D",,,,,,jdn160330,josef nguyen
ATCM,2330,001,3,9,,5,4,3,,2,,,,1,2,,,,,1,"Nielsen, Christina R","Clement, Shonte M",,,,,crn022000,christina nielsen
ATCM,2330,002,2,4,3,3,7,3,,1,2,,1,1,3,,,,,0,"Nielsen, Christina R","Clement, Shonte M",,,,,crn022000,christina nielsen
ATCM,2335,501,4,4,2,2,2,1,,1,2,,,,5,,,,,0,"Starzer, Kenneth W",,,,,,kws042000,kenneth starzer
ATCM,2335,502,,4,5,,,2,,2,2,,,,5,,,,,1,"Starzer, Kenneth W",,,,,,kws042000,kenneth starzer
