Subject,Catalog Nbr,Section,A+,A,A-,B+,B,B-,C+,C,C-,D+,D,D-,F,CR,NC,P,W,Instructor 1,Instructor 2,Instructor 3,Instructor 4,Instructor 5,Instructor 6,instructor_id,instructor_name_normalized
BIOL,3302,0U1,9,10,6,7,8,2,8,4,1,1,,,,,,,0,"Srikanth, Uma","Ballew, Luke","Akter, Zakia","Shipman, Braden M",,,ukrish,uma srikanth
BIOL,3318,0U1,6,23,25,7,5,6,,,2,,,,,,,,1,"Henson, Uyen N",,,,,,unh130030,uyen henson
BIOL,3361,0W1,,18,15,12,9,17,10,5,4,2,2,1,2,,,,1,"Candas, Mehmet","Wickramasinghe, Piumi B","Song, Ming","Wang, Tianyuan",,,lxj200008,lin jia
BIOL,3362,0W1,,2,6,6,5,2,5,1,3,1,3,,2,,,,0,"Candas, Mehmet","Petter, Andrew T","Soladogun, Adedamola S",,,,candas,mehmet candas
BIOL,3380,3W1,,3,2,1,1,,3,2,4,,1,,3,,,,2,"Rippel, Scott A","Mazambani, Simbarashe",,,,,jxp134330,jing pan
BIOL,3380,3W2,2,1,5,,1,3,,,3,,1,1,2,,,,5,"Pickett, Elizabeth A","Zhi, Jiahe",,,,,rippel,scott rippel
BIOL,3380,3W3,,3,,2,,,,,3,2,,,3,,,,0,"Rippel, Scott A","Dhar, Roopal",,,,,rippel,scott rippel
BIOL,3380,3W4,,4,2,2,1,1,3,1,2,,1,2,1,,,,3,"Pickett, Elizabeth A","Zhang, Bo",,,,,jxp134330,jing pan
BIOL,3455,3W1,,3,6,5,3,1,1,,3,1,1,1,3,,,,4,"Ramirez, Ruben D",,,,,,rdr092000,ruben ramirez
BIOL,3455,3W2,,,6,,2,8,3,3,4,2,,1,2,,,,1,"Ramirez, Ruben D",,,,,,zxw190014,
BIOL,3455,3W4,1,5,,2,2,1,5,1,5,1,,,2,,,,2,"Ramirez, Ruben D",,,,,,rdr092000,ruben ramirez
BIOL,3456,3U1,1,1,4,5,,2,2,1,,,,,,,,,0,"Yu, Wen H","Li, Yibo","Venkitapathi, Sundharamani",,,,why061000,wen ho yu
BIOL,3456,3U2,,2,8,2,3,3,1,,,,,,,,,,1,"Yu, Wen H","Li, Yibo","Venkitapathi, Sundharamani",,,,why061000,wen ho yu
BIOL,3520,3W1,,4,13,8,1,1,1,,2,,,,,,,,0,"Mehta, Iti","Dahl, Haley C","Chacon Castro, Maria Del Carmen","Sawant, Namrata V",,,ixm121430,iti mehta
BIOL,3520,3W2,,4,12,3,3,7,,,,,,,,,,,1,"Mehta, Iti","Dahl, Haley C","Chacon Castro, Maria Del Carmen","Sawant, Namrata V",,,ixm121430,iti mehta
BIOL,3520,3W3,,3,14,1,2,7,1,,,,1,,,,,,0,"Lakoduk, Ashley","Dahl, Haley C","Chacon Castro, Maria Del Carmen","Sawant, Namrata V",,,axl200032,ashley lakoduk
BIOL,4353,5U1,5,14,6,1,6,2,2,3,1,,,,,,,,0,"Burr, John G","Lewis, Anthony J",,,,,burr,john burr
BIOL,4366,5U1,7,11,2,2,,,1,2,,,,,,,,,0,"Burr, John G","Bautista, Monica A",,,,,burr,john burr
BIOL,4380,3W1,3,5,2,2,3,1,1,2,,,,,3,,,,0,"Maynard, Caitlin S","Zhang, Bei","Shashikanth Raj Urs, Karthik Urs Bangalore","Wei, Hong",,,exs190014,eva sadat
BIOL,4380,3W2,2,7,2,2,3,1,2,2,,,,,1,,,,0,"Maynard, Caitlin S","Shashikanth Raj Urs, Karthik Urs Bangalore","Zhang, Bei","Wei, Hong",,,exs190014,eva sadat
BIOL,6341,5U1,,18,,,,,,,,,,,,,,,0,"Burr, John G","Bautista, Monica A",,,,,burr,john burr
BIOL,6345,5U1,,16,1,,,,,,,,,,,,,,0,"Burr, John G","Lewis, Anthony J",,,,,burr,john burr
BIS,2190,0W1,1,6,4,3,1,,,,,,,,1,,,,0,"Edwards, Christopher W","Robinson, Katie L","Slattery, Ryan P",,,,cwe011000,christopher edwards
