Instructor 1,Instructor 2,Instructor 3,Instructor 4,Instructor 5,Instructor 6,Subject,Catalog Nbr,Section,A+,A,A-,B+,B,B-,C+,C,C-,D+,D,D-,F,NF,CR,NC,P,I,W,instructor_id,instructor_name_normalized
"Candas, Mehmet",,,,,,BIOL,2111,0U2,2,5,1,5,8,2,1,3,3,,,1,1,,,,,,,candas,mehmet candas
"Candas, Mehmet",,,,,,BIOL,2112,0U1,2,3,9,1,6,6,2,,1,,3,,,,,,,,,candas,mehmet candas
"Candas, Mehmet",,,,,,BIOL,3161,0U3,2,6,3,3,7,3,2,4,1,1,2,,,,,,,,2,candas,mehmet candas
"Candas, Mehmet",,,,,,BIOL,2111,0U1,2,8,8,4,2,4,4,,1,,,,2,,,,,,,candas,mehmet candas
"Candas, Mehmet",,,,,,BIOL,3161,0U1,1,9,9,5,10,2,2,1,3,2,1,,,,,,,,,candas,mehmet candas
"Candas, Mehmet",,,,,,BIOL,3161,0U2,,5,11,6,7,3,2,4,3,2,2,,1,,,,,,,candas,mehmet candas
"Borovkov, Irina G","Wang, Tianyuan","Upreti, Chahat","Zhou, Qin",,,BIOL,3101,0U1,3,6,9,6,3,5,2,5,3,2,3,5,4,,,,,,,ixb053000,irina borovkov
"Borovkov, Irina G","Upreti, Chahat","Yetkin, Celal E","Zhou, Qin",,,BIOL,3101,0U2,4,8,8,5,5,7,4,6,1,,1,5,4,,,,,,1,ixb053000,irina borovkov
"Candas, Mehmet",,,,,,BIOL,2312,0U1,4,10,14,5,10,8,4,1,1,,4,,1,,,,,,,candas,mehmet candas
"Lin, Wen J",,,,,,BIOL,2281,0U1,,,,,,,,,,,,,,,,,,,,wenju,wen ju lin
"Pickett, Elizabeth A","Rippel, Scott A","Ebrahimzadeh Pirshahid, Tahmineh","Gadhvi, Jashkaran G","Song, Ming",,BIOL,3380,0U1,,,,,,,,,,,,,,,,,,,,eaw016100,elizabeth pickett
"Candas, Mehmet",,,,,,BIOL,2311,0U1,4,13,9,9,10,6,5,3,4,,,1,3,,,,,,,candas,mehmet candas
"Ramirez, Ruben D",,,,,,BIOL,3455,0U1,,,,,,,,,,,,,,,,,,,,rdr092000,ruben ramirez
"Candas, Mehmet","McDill, Parker M","Lasley, Alexandra E","Soladogun, Adedamola S",,,BIOL,3361,0U1,3,19,20,12,19,8,6,6,5,4,4,,,,,,,,1,candas,mehmet candas
