Subject,Catalog Nbr,Section,A+,A,A-,B+,B,B-,C+,C,C-,D+,D,D-,F,CR,NC,P,W,Instructor 1,Instructor 2,Instructor 3,Instructor 4,Instructor 5,Instructor 6,instructor_id,instructor_name_normalized
NATS,3341,001,3,1,,1,1,1,1,,1,,,,2,1,1,,3,"Cook, Linda A",,,,,,lpd015000,laurel dingrando
NATS,3343,001,5,7,1,,,,,,,,,,,,,,1,"Dorsey, Floyd Z",,,,,,jsm019600,james mcconnell
NATS,3343,002,4,2,3,,2,,,,,,,,,1,,,0,"York, Megan",,,,,,fzd110020,floyd dorsey
NATS,3343,003,2,7,2,,,,,,,,,,2,,,,1,"Gregory, Denise",,,,,,dxg200019,denise gregory
NATS,4141,501,,17,,1,,,,,,,,,,,,,0,"Dorsey, Floyd Z","McConnell, James S",,,,,bgg021000,
NATS,4341,001,,6,3,1,1,1,,,,,,,,,,,0,"York, Megan","Donaldson, Katherine E",,,,,ked013100,katie donaldson
NSC,3344,001,,2,2,1,3,1,,,,,,,,,1,,0,"Powers, Katharine A","Eppes, Anna A",,,,,kap130730,katharine powers
NSC,3361,001,1,21,37,33,45,21,29,,27,,3,,8,39,8,,12,"Miller, Van S","Garner, Katherine M","Adehunoluwa, Emmanuel A",,,,vxm077000,van miller
NSC,3361,002,30,25,23,7,5,4,2,,,,,,,,,,0,"Raboune, Siham","Lenert, Melissa E",,,,,rxs170431,rukhsana sultana
NSC,3361,003,16,17,23,5,8,8,3,2,2,,4,1,1,3,,,1,"McWilliams, Steven P","Szabo-Pardi, Thomas A",,,,,xxg150730,xiaosi gu
NSC,3361,004,8,18,17,6,11,8,3,1,,,,1,8,5,,,1,"McWilliams, Steven P","Elahi, Hajira",,,,,sxm127330,steven mcwilliams
NSC,3361,HN1,9,7,3,,,,,,,,,,,4,1,,0,"LaDow, Eva S",,,,,,esl130130,eva ladow
NSC,3361,HN2,4,14,5,1,,,,,,,,,,1,,,0,"LaDow, Eva S",,,,,,cmr067000,christa mcintyre rodriguez
NSC,4351,001,4,20,4,,4,,,,,,,,,,,,0,"Miller, Van S",,,,,,vxm077000,van miller
NSC,4352,001,66,19,23,18,4,7,3,4,,1,,,1,3,5,,4,"Kroener, Sven","Rodriguez, Sierra R",,,,,tjp140130,theodore price
NSC,4353,101,1,1,3,1,,5,,1,,,1,,,2,,,1,"McWilliams, Steven P",,,,,,rxs170431,rukhsana sultana
NSC,4353,102,,3,9,1,,2,,,,,,,,,,,1,"Sultana, Rukhsana","Tamaoki, Yuko",,,,,sxm127330,steven mcwilliams
NSC,4353,103,,1,1,1,3,1,1,,,,,,1,6,,,1,"McWilliams, Steven P","Malley, Kaitlyn M",,,,,sxm127330,steven mcwilliams
NSC,4353,104,,8,3,2,,,,,,,,,,2,,,0,"Sultana, Rukhsana","dos Santos, Natalia Lucia",,,,,rxs170431,rukhsana sultana
NSC,4353,105,2,4,2,2,,1,1,,2,,,,,,,,2,"Taylor, Anna M","Mei, Hao-Ruei",,,,,sxr180071,siham raboune
NSC,4353,106,,3,4,7,1,,,,,,,,1,,,,0,"Raboune, Siham","Lehtonen, Derek",,,,,amt180004,anna taylor
NSC,4353,107,,4,3,,4,,,1,,,,,,4,,,0,"Raboune, Siham","Calderon, Debora R",,,,,rxs170431,rukhsana sultana
NSC,4353,108,2,3,5,2,,1,,,,,,,1,1,,,0,"Taylor, Anna M","Newel, Jacqueline P",,,,,amt180004,anna taylor
NSC,4354,001,16,54,21,13,6,4,4,1,2,,,3,1,6,,,2,"Raboune, Siham","Morales Castelan, Karen",,,,,sxk101000,sven kroener
NSC,4356,001,,86,,,30,,,4,,,,,2,16,1,,4,"Sultana, Rukhsana","Morrison, Robert A",,,,,rxs170431,rukhsana sultana
NSC,4357,001,8,22,7,3,2,3,1,,,,,,,3,,,0,"Rodriguez, Christa M","Carroll, Alan M",,,,,cmr067000,christa mcintyre rodriguez
NSC,4358,001,26,68,67,23,11,5,6,4,2,,,1,2,9,,,1,"Price, Theodore J","David, Eric T","Wheeler, Allison M",,,,tjp140130,theodore price
NSC,4359,001,4,16,13,2,4,1,,1,,,,,,,,,0,"Rodrigue, Karen M","Moon, Da Yeoun",,,,,kmr082000,karen rodrigue
NSC,4360,501,,10,,,5,,,1,,,,,,,,,1,"Rennaker, Robert L",,,,,,rlr091000,robert rennaker
NSC,4363,001,58,22,1,3,11,,1,,1,,,,,1,,,1,"Thompson, Lucien","West, Reyanne M",,,,,gxd141130,gregory dussor
NSC,4363,HN1,6,11,1,1,,,,,,,,,,,,,1,"LaDow, Eva S",,,,,,esl130130,eva ladow
NSC,4364,001,8,10,1,,7,,,1,,,,,,9,,,0,"Miller, Van S",,,,,,vxm077000,van miller
NSC,4366,001,28,27,8,6,10,16,4,8,7,,7,,6,17,9,,10,"Taylor, Anna M","Hu, Ya-Yu","Adcock, Katherine S",,,,vxm077000,van miller
NSC,4367,001,3,2,3,1,1,1,,3,,,2,,2,2,1,,5,"Taylor, Anna M",,,,,,vxm077000,van miller
NSC,4371,001,5,9,4,2,1,1,,1,1,,,,1,,1,,5,"Kilgard, Michael",,,,,,kilgard,michael kilgard
NSC,4373,0W1,,172,15,5,3,1,1,,,,1,,,,,,1,"Moller, Aage R",,,,,,amoller,aage moller
NSC,4382,0W1,,159,5,7,5,1,5,,,1,6,,4,2,1,,3,"Moller, Aage R",,,,,,amoller,aage moller
NSC,4V90,001,1,3,4,1,1,1,3,,1,,1,,1,4,2,,1,"Miller, Van S",,,,,,vxm077000,van miller
