Subject,Catalog Nbr,Section,A+,A,A-,B+,B,B-,C+,C,C-,D+,D,D-,F,P,CR,NC,I,W,Instructor 1,Instructor 2,Instructor 3,Instructor 4,Instructor 5,Instructor 6,instructor_id,instructor_name_normalized
ACCT,3341,1,13,4,6,3,5,4,6,5,1,,1,,,,,,,0,"Sadka, Gil","Holstead, Cameron",,,,,gxs143630,gil sadka
ACCT,3341,501,4,4,6,5,4,6,2,8,3,,2,,1,,,,,0,"Sadka, Gil","Holstead, Cameron",,,,,srp065000,stephanie poindexter swaim
ACCT,3341,2,7,7,6,8,5,3,4,3,2,,1,,1,,,,,0,"Sadka, Gil","Holstead, Cameron",,,,,goodrich,mary beth goodrich
ACCT,3350,501,6,9,4,3,14,10,5,1,,,1,,1,,,,,1,"Solcher, Steven J","Estevan, Ellery B",,,,,jpg140630,john gamino
ACCT,3350,PPA,8,6,7,7,17,3,9,6,1,,1,1,,,,,,0,"Gamino, John P",,,,,,jpg140630,john gamino
ACCT,4301,501,3,2,3,3,6,8,3,2,2,,2,,,,,,,0,"Hagen, John","Sirsat, Disha",,,,,jch013200,john hagen
ACCT,4334,1,,5,,,7,,1,6,1,,,,1,,,,,0,"Linsteadt, Chris C","Gotham, Albert J",,,,,ccl019000,chris linsteadt
ACCT,4334,501,,5,,,11,,,7,1,,4,,,,,,,0,"Linsteadt, Chris C","Gotham, Albert J",,,,,ccl019000,chris linsteadt
ACCT,4337,501,1,1,2,,2,,1,2,1,3,,,2,,,,,0,"Ballew, Gregory","Gonzalez, Jacob E",,,,,jan170230,joseph nketia
ACCT,4340,1,13,11,6,1,4,1,2,,1,2,2,1,1,,,,,1,"Johnson, Jennifer G","Fisch, Jacob D",,,,,jxj091000,jennifer johnson
ACCT,4342,PP1,7,4,6,4,1,1,,1,,,,,,,,,,0,"Johnson, Jennifer G","Fisch, Jacob D",,,,,jxj091000,jennifer johnson
ACCT,4342,PP2,10,8,9,6,2,,,,,,,,,,,,,0,"Johnson, Jennifer G","Fisch, Jacob D",,,,,jxj091000,jennifer johnson
ACCT,4342,501,6,9,7,4,3,4,6,4,2,2,,,3,,,,,0,"Johnson, Jennifer G","Fisch, Jacob D",,,,,jxj091000,jennifer johnson
ACCT,6193,SS1,,32,,,45,,,1,,,,,1,,,,,0,"Betanzos, Christina L","Solcher, Steven J",,,,,clb120030,christina betanzos
ACCT,6202,GW1,,18,4,,2,,,,,,,,,,,,,0,"Sadka, Gil","Holstead, Cameron",,,,,gxs143630,gil sadka
ACCT,6202,XS1,,17,4,1,1,,,,,,,,,,,,,1,"Sadka, Gil","Holstead, Cameron",,,,,gxs143630,gil sadka
ACCT,6202,501,,13,4,9,8,1,,1,,,,,,,,,,2,"Goodrich, Mary Beth W","Quinto, Christine D",,,,,suryaj,surya janakiraman
ACCT,6202,MBC,,26,8,4,3,1,,,,,,,,,,,,0,"Goodrich, Mary Beth W","Quinto, Christine D","Zhang, Ye",,,,goodrich,mary beth goodrich
ACCT,6291,SS1,,29,,,44,,,5,,,,,,,,,,1,"Zolton, Kathy",,,,,,kxz121730,kathy zolton
ACCT,6292,SS1,,38,,,33,,,6,,,,,,,,,,0,"Linsteadt, Chris C",,,,,,ccl019000,chris linsteadt
ACCT,6301,5W1,,28,11,4,4,,,,,,,,,,,,1,0,"Solcher, Steven J","Estevan, Ellery B",,,,,sjs107020,steven solcher
ACCT,6301,CH1,,22,1,,,,,,,,,,,,,,,0,"Barden, John P",,,,,,jpb063000,john barden
ACCT,6301,501,,17,28,12,6,2,,,,,,,,,,,,0,"Frost, Sandra M","Gonzalez, Jacob E",,,,,lxg152230,lale guler
ACCT,6305,1,,6,5,4,21,4,,3,,,,,,,,,,0,"Loumioti, Maria","He, Jiapeng",,,,,mxl175830,maria loumioti
ACCT,6305,2,,10,8,12,21,1,,2,,,,,,,,,,1,"Loumioti, Maria","He, Jiapeng",,,,,nxl124130,ningzhong li
ACCT,6305,501,,6,10,13,23,,,1,,,,,4,,,,,0,"Loumioti, Maria","He, Jiapeng",,,,,nbo150030,naim ozel
ACCT,6313,0W1,,7,1,2,1,1,1,,,,,,,,,,,0,"Cavusoglu, Huseyin","Padhiar, Meet Vinod",,,,,huseyin,huseyin cavusoglu
ACCT,6320,0W1,,2,4,2,,1,1,,,,,,1,,,,,1,"Cavusoglu, Huseyin","Zhu, Yan",,,,,huseyin,huseyin cavusoglu
ACCT,6330,501,,8,,1,3,,,3,,,,,1,,,,,0,"Cready, William M","Zhou, Junfei",,,,,wxp042000,wenjin pang
ACCT,6331,501,,3,4,4,2,,,2,,,,,2,,,,,0,"Janakiraman, Surya N","Parupati, Sunil K",,,,,nataraj,ramachandra natarajan
ACCT,6332,501,,6,,,5,,,5,,,,,2,,,,,2,"Zolton, Kathy","Huang, Ziqi",,,,,dxk173030,daniel karnuta
ACCT,6333,501,,14,,,9,,,7,,,,,4,,,,,2,"Zolton, Kathy","Huang, Ziqi",,,,,kxz121730,kathy zolton
ACCT,6334,501,,10,,,3,1,,1,,,,,,,,,,0,"Linsteadt, Chris C","Gotham, Albert J",,,,,lxg152230,lale guler
ACCT,6335,0W1,,18,15,12,9,6,4,,,,,,1,,,,,0,"Bortz, Tiffany A","Sam, Brittany R",,,,,amybass,amy troutman
ACCT,6335,PP1,,12,5,3,3,,,1,,,,,,,,,,0,"Bortz, Tiffany A","Sam, Brittany R",,,,,amybass,amy troutman
ACCT,6335,PP2,,13,11,5,5,,,,,,,,,,,,,0,"Bortz, Tiffany A","Sam, Brittany R",,,,,tabortz,tiffany bortz
ACCT,6336,501,,8,8,2,5,2,,,,,,,,,,,,0,"Mauriello, Joseph A",,,,,,jam151430,joseph mauriello
ACCT,6338,0W1,,7,2,3,12,3,,3,,,,,,,,,,0,"Goodrich, Mary Beth W","Zhang, Ye","Quinto, Christine D",,,,goodrich,mary beth goodrich
ACCT,6344,0W1,,21,25,9,7,5,1,,,,,,,,,,,1,"Gurun, Umit G","Yayvak, Berk",,,,,ugg041000,umit gurun
ACCT,6345,PP1,,7,16,10,2,,,1,,,,,,,,,,0,"Janakiraman, Surya N","Parupati, Sunil K",,,,,suryaj,surya janakiraman
ACCT,6353,501,,9,6,2,3,2,2,3,,,,,1,,,,,0,"Gamino, John P",,,,,,jpg140630,john gamino
ACCT,6356,PP1,,7,4,6,5,2,,,,,,,,,,,,0,"Gamino, John P",,,,,,jpg140630,john gamino
ACCT,6374,1,,7,21,8,1,,,,,,,,,,,,,0,"Mauriello, Joseph A","Gotham, Albert J",,,,,jam151430,joseph mauriello
ACCT,6377,501,,5,4,5,3,1,3,,,,,,1,,,,,0,"Ballew, Gregory",,,,,,dxm094000,dennis mccuistion
ACCT,6380,501,,2,1,5,1,,1,,,,,,,,,,,0,"Mauriello, Joseph A","Gotham, Albert J",,,,,jam151430,joseph mauriello
ACCT,6384,S01,,13,2,1,,2,,,,,,,,,,,,0,"Kromer, Jeffrey R",,,,,,jrk013000,jeffrey kromer
ACCT,6384,501,,30,3,3,,1,,1,,,,,2,,,,,1,"Kromer, Jeffrey R","Gonzalez, Jacob E",,,,,jrk013000,jeffrey kromer
ACCT,6392,501,,8,4,4,3,2,,2,,,,,,,,,,0,"Mauriello, Joseph A",,,,,,jam151430,joseph mauriello
ACN,6313,1,,7,4,2,1,,,,,,,,,,,,,0,"Fearon, Danielle","Behboudi, Mohammad Hossein",,,,,dxf220005,danielle fearon
ACN,6313,501,,9,5,4,2,,2,,,,,,,,,,,2,"Abdi, Herve","Moraglia, Luke E",,,,,herve,herve abdi
ACN,6323,1,,12,1,,1,,,,,,,,,,,,,0,"Engineer, Crystal T",,,,,,novitski,crystal engineer
ACN,6330,1,,10,6,5,3,,1,,,,,,,,,,,0,"Seaman, Kendra L",,,,,,kls190004,kendra seaman
ACN,6332,501,,18,3,1,2,3,1,1,,,,,1,,,,,0,"Raman, Rachna",,,,,,rxr076000,rachna raman
ACN,6333,1,,10,6,1,2,2,,2,,,,,,,,,,2,"Basak, Chandramallika",,,,,,cxb116130,chandramallika basak
ACN,6338,1,,4,,,6,,,1,,,,,,,,,,1,"Kennedy, Kristen M","Glotfelty, Annette R",,,,,kmk082000,kristen kennedy
ACN,6338,2,,14,,,10,,,,,,,,,,,,,0,"Sultana, Rukhsana",,,,,,rxs170431,rukhsana sultana
ACN,6340,1,,8,4,1,1,,1,1,,,,,1,,,,,2,"Kim, Diana P",,,,,,dpk220003,diana kim
ACN,6342,0W1,,30,2,1,,1,,,,,,,,,,,,0,"Orrick, Erika D",,,,,,edo042000,erika orrick
ACN,6374,0H1,,9,1,1,1,,,,,,,,,,,,,0,"Jahangiri, Faisal R",,,,,,frj190000,faisal jahangiri
ACN,7343,1,,17,2,1,1,,,,,,,,,,,,,0,"Thompson, Lucien T",,,,,,tres,lucien thompson
ACTS,4301,1,7,4,3,2,,1,3,2,2,,2,1,4,,,,,0,"Makhijani, Neha","Goel, Jaidev",,,,,nxm165130,neha makhijani
ACTS,4302,1,,2,4,3,3,2,3,2,,3,2,,3,,,,,1,"Humphreys, Natalia","Goel, Jaidev",,,,,nah103020,natalia humphreys
ACTS,4305,1,1,,4,3,1,3,1,2,2,,,1,,,,,,0,"Humphreys, Natalia","Liu, Jingzhou",,,,,nah103020,natalia humphreys
ACTS,4310,1,4,5,2,1,,2,,,,,,,,,,,,0,"Hong, Liang",,,,,,lxh019000,liang hong
AHST,1303,1,17,23,20,9,8,14,5,5,4,1,3,2,1,,,,,3,"McDonald, Jacquelyn D","Jafarpour, Zahra","Song, Haoyi",,,,jmd074000,jacquelyn mcdonald
AHST,1303,2,26,14,22,11,10,11,6,3,1,2,,2,6,,,,,1,"McDonald, Jacquelyn D","Enyaosah, Damian P","Baigmoradi, Fatemeh",,,,jmd074000,jacquelyn mcdonald
AHST,2331,0S1,,14,5,1,,,,,,,,,,,,,,0,"Rosen, Mark S",,,,,,mxr088000,mark rosen
AHST,2331,1,25,31,29,33,21,12,6,2,7,,1,1,6,,,,,1,"Rosen, Mark S","Barnes, Claudia","Esmail, Fatima N",,,,mxr088000,mark rosen
AHST,3320,1,24,9,11,2,3,,1,,2,,,,1,,,,,0,"Alibhai, AliAsgar H","Sahin, Merve",,,,,,aliasgar alibhai
AHST,4342,1,,3,5,2,5,7,3,2,,,1,,1,,,,,0,"Thomas, Michael L",,,,,,mxt190021,michael thomas
AHST,6321,1,,9,,,,1,,,,,,,,,,,,0,"Alibhai, AliAsgar H",,,,,,,aliasgar alibhai
AMS,2300,2,,6,13,12,11,3,2,5,1,1,,,1,,,,,0,"Pogue, Neall W",,,,,,nxp174730,neall pogue
AMS,2300,1,,6,11,10,13,3,3,1,3,1,,1,3,,,,,1,"Pogue, Neall W",,,,,,nxp174730,neall pogue
AMS,2341,1,,23,19,13,8,,,,,,,,7,,,,,0,"Naqvi, Syed K",,,,,,skn180000,syed naqvi
AMS,2341,HN1,,7,2,2,1,,,,,,,,1,,,,,1,"Naqvi, Syed K",,,,,,erins,erin smith
AMS,3316,0W1,12,11,3,1,1,2,,2,2,1,1,,1,,,,,2,"Winstead, Elizabeth L",,,,,,lwm061000,elizabeth winstead
AMS,3350,0W1,15,7,5,1,3,1,,,,,,,1,,,,1,1,"Winstead, Elizabeth L",,,,,,lwm061000,elizabeth winstead
AMS,4300,5H1,4,5,2,2,4,3,1,1,,,,,,,,,,0,"Ross, Alyssa N",,,,,,anr161130,alyssa ross
AMS,4304,1,,3,4,2,4,4,1,2,,,,,2,,,,,0,"Jaramillo, Anthony","Wright, David A",,,,,,anthony jaramillo
AMS,4305,5H1,,5,1,1,1,1,,,,,,,3,,,,,0,"Cotton, Scott C",,,,,,sxc024200,scott cotton
AMS,4360,1,,3,,,2,,,1,,,,,3,,,,,1,"Wissinger, Tonja",,,,,,twissin,tonja wissinger
AMS,4379,1,6,2,,,,,,,,,,,2,,,,,0,"Cropps, Torrie",,,,,,txc210023,torrie cropps
ARAB,1311,2,5,3,4,2,,2,,,,,,,2,,,,,0,"Arrabai, Mustafa M",,,,,,mma200002,mustafa arrabai
ARAB,1312,1,1,5,,,2,,,1,,,,,2,,,,,0,"Anjum, Zafar",,,,,,zxa110730,zafar anjum
ARHM,2343,1,1,3,5,4,4,1,1,,,,1,,1,,,,,1,"Gossin, Pamela S",,,,,,psgossin,pamela gossin
ARHM,6310,1,,16,4,1,1,1,,,,,,,1,,,,,0,"Hill, Kimberly D","Greer, Erin E",,,,,kdh140430,kimberly hill
ARTS,1301,0W1,94,15,10,8,4,4,2,,1,,,,1,,,,,0,"Wilder, James E","Ghahari Kermani, Arash","Payne, Nicholas A",,,,kxg190019,kelly grandjean
ARTS,1316,1,5,10,1,1,1,1,,,,,,,,,,,,0,"Min, Inki A",,,,,,iam140230,inki min
ARTS,1316,3,,9,5,1,2,1,,,,,,,1,,,,,0,"Travis, Audrey",,,,,,axt190092,audrey travis
ARTS,1316,501,1,16,2,,,,,,,,,,,,,,,0,"Fridge, Brian D",,,,,,mel024000,mary lacy
ARTS,1316,2,15,1,2,,,,,,,,,,,,,,,0,"Miranda, Jeffrey R",,,,,,mel024000,mary lacy
ARTS,2315,1,,8,3,1,,,,,,,,1,,,,,,0,"Cochran, Kristen N",,,,,,knc103020,kristen cochran
ARTS,2316,1,,3,7,1,,2,,,,,,,2,,,,,2,"Ligon, Peter A",,,,,,pal140130,peter ligon
ARTS,2316,501,12,4,,,,1,,,,,,,,,,,,0,"Egan, Trey T",,,,,,tte150130,trey egan
ARTS,2348,1,5,5,7,,1,,,,,,,,1,,,,,0,"Reyes, Marcela",,,,,,mxr116430,marcela reyes
ARTS,2350,1,1,2,,3,3,1,2,,,,,,2,,,,,3,"Copeland, Colette",,,,,,cxc132230,colette copeland
ARTS,2350,2,8,,1,1,2,,,,2,,,,3,,,,,1,"Lyon, Tara L",,,,,,tll190000,tara lyon
ARTS,2380,1,8,3,,1,,,,,,,,,4,,,,,0,"Egan, Trey T",,,,,,tte150130,trey egan
ARTS,2380,501,,11,1,2,1,1,,,,,,,2,,,,,0,"Curry, Val",,,,,,emt130130,elizabeth trosper
ARTS,2381,1,,10,5,,,,,,,,,,,,,,,0,"Cochran, Kristen N",,,,,,knc103020,kristen cochran
ARTS,3315,1,1,6,,1,2,2,,,,,,,,,,,,0,"Curry, Val",,,,,,vxc110930,val curry
ARTS,3340,3,4,5,,2,,,,,,,,,,,,,,1,"Randall, Steven",,,,,,,steven randall
ARTS,3340,2,2,5,,,1,,2,1,2,,,,,,,,,0,"Copeland, Colette",,,,,,ixe200004,ian etter
ARTS,3341,1,,17,,,1,,,,,,,,,,,,,0,"Shi, Carle",,,,,,cxs174230,carle shi
ARTS,3363,1,3,11,3,,1,,,,,,,,,,,,1,0,"Tady, Lorraine T",,,,,,ltt042000,lorraine tady
ARTS,3364,501,5,10,,,,,,,,,,,,,,,,0,"Williams, Thomas E",,,,,,tew210002,
ARTS,3367,2,14,2,,,,,1,2,,,,,,,,,,0,"Miranda, Jeffrey R",,,,,,mel024000,mary lacy
ARTS,3367,1,3,13,1,,,,,,,,,,,,,,,0,"Fridge, Brian D",,,,,,bdf081000,brian fridge
ARTS,3368,1,8,6,4,,,,,,,,,,,,,,,0,"Reyes, Marcela",,,,,,mxr116430,marcela reyes
ARTS,3369,1,1,11,,,,1,,,,,,,,,,,,0,"Tady, Lorraine T",,,,,,ltt042000,lorraine tady
ARTS,3371,2,2,6,2,,,1,,,,,,,,,,,,0,"Durant, Stephanie D",,,,,,ddm043000,
ARTS,3371,1,,3,4,,3,1,,,,,,,1,,,,,1,"Miller, Cynthia M",,,,,,cmm016900,cynthia miller
ARTS,3372,1,2,11,3,,,,,,,,,,1,,,,,2,"Loving, Emily A",,,,,,exl097120,emily loving
ARTS,3373,1,2,10,,2,,1,,,,,,,,,,,,0,"Tady, Lorraine T",,,,,,ltt042000,lorraine tady
ARTS,3376,1,,6,6,2,1,,,,,,,,,,,,,0,"Kim, Laura H",,,,,,lxh210006,laura kim
ARTS,3377,1,,3,9,4,,,1,,,,,,1,,,,1,0,"Palmer, Marcy A",,,,,,mxp070100,marcy palmer
ARTS,3379,501,1,10,,,,,,,,,,,,,,,,1,"Loving, Emily A",,,,,,exl097120,emily loving
ARTS,3383,1,3,14,,1,,,,,,,,,,,,,,0,"Williams, Thomas E",,,,,,tew210002,thomas williams
ARTS,4310,501,4,4,2,1,1,1,,,,,,,1,,,,,0,"Avram, Danielle M",,,,,,glmetz,greg metz
ARTS,4366,1,,9,4,2,,2,,,,,,,,,,,,0,"Travis, Audrey",,,,,,axt190092,audrey travis
ARTS,4368,1,3,14,,,,,,,,,,,,,,,,0,"Pomara, John J",,,,,,pomara,john pomara
ARTS,4372,1,1,4,2,3,1,1,,,,1,,,,,,,,1,"Waligore, Marilyn",,,,,,waligore,marilyn waligore
ATCM,2300,1,5,22,42,37,28,25,17,13,7,4,6,2,10,,,,,9,"Cooley, Heidi R","Acton, Logan H","Winter, Sabine","Gowda, Anupama","Ayodabo, Sunday J","Rahman, Mohammad K",hxc176430,heidi cooley
ATCM,2301,2,10,10,5,1,,,1,1,1,,,,1,,,,,0,"Simsek, Cansu Nur",,,,,,cxs180044,cansu nur simsek
ATCM,2301,4,,22,,,5,,,1,,,,,,,,,,2,"Fladager, Evan J",,,,,,ejf140030,evan fladager
ATCM,2301,5,6,2,4,4,6,1,3,,1,,,1,1,,,,,1,"Doust-Haghighi, Elham",,,,,,pxl152030,paul lester
ATCM,2301,7,12,8,2,,3,1,,1,,,,2,1,,,,,0,"Ferreira de Souza, Leticia",,,,,,lxf161030,leticia ferreira de souza
ATCM,2301,1,,1,2,1,5,1,1,6,,1,1,1,6,,,,,1,"Marder, Amanda K",,,,,,akm150430,amanda marder
ATCM,2301,0W1,2,3,6,4,2,2,2,,2,,,,3,,,,,1,"Trosper, Elizabeth M","Zamaniderkani, Vajihe","De Leon, Jennifer M",,,,emt130130,elizabeth trosper
ATCM,2301,3,22,3,,,1,,,,,,,,3,,,,,0,"Banditrat, Emily",,,,,,exb200008,emily banditrat
ATCM,2301,6,8,7,6,3,1,2,1,1,,,,,,,,,,0,"Jaeggli, Erika",,,,,,exj220008,erika jaeggli
ATCM,2302,1,5,8,4,3,1,1,,1,1,,,,1,,,,,0,"Minnish, Roxanne W","Clement, Shonte M",,,,,rwm061000,roxanne minnish
ATCM,2302,2,4,13,4,1,1,1,,,,,,,,,,,,1,"Minnish, Roxanne W","Ashouri, Shaghayegh",,,,,rwm061000,roxanne minnish
ATCM,2302,0L3,5,11,2,1,3,,,1,,,,,1,,,,,1,"Minnish, Roxanne W","Gupta, Suvash",,,,,rwm061000,roxanne minnish
ATCM,2302,3,10,7,3,6,1,,,,2,,1,,,,,,,0,"Ashkaboosi, Maryam",,,,,,mxa190061,maryam ashkaboosi
ATCM,2302,0L1,3,4,1,5,1,1,3,2,2,2,1,2,3,,,,,0,"Beverly, Diamond E",,,,,,deb180004,diamond beverly
ATCM,2302,0L2,4,4,5,3,,2,2,1,3,,,2,1,,,,,1,"Jones, Jazmine Q",,,,,,jqj130030,jazmine jones
ATCM,2302,501,5,1,4,1,5,2,2,1,2,,1,1,4,,,,,0,"Gonzalez, Isi J",,,,,,sxh090220,sharon hewitt
ATCM,2303,1,19,27,8,1,2,2,,1,,,,,,,,,,0,"Boyd, Elizabeth S","Chaudhary, Anisha",,,,,esp041000,elizabeth boyd
ATCM,2303,501,34,18,,1,6,,,1,,,,,,,,,,0,"Stewart, Michael C","Denner, Grace A",,,,,kio160030,kara oropallo
ATCM,2303,2,32,20,4,,2,,,,,,,,,,,,,1,"Ayres, Cameron M","Piantino, Raquel C",,,,,cma092020,cameron ayres
ATCM,2310,1,68,21,28,17,8,12,5,4,7,1,3,2,22,,,,,8,"Salter, Monika M","Lewis, Timothy M","Christopher, Timothy V","Khamsehnezhad, Mozhdeh","Kusupati, Anish C","Subochev, Andrei",mxs176131,monika salter
ATCM,2321,2,1,9,10,4,,1,,,,1,1,,3,,,,,0,"Rashid, Mohammed Mizanur",,,,,,mxr170004,mohammed mizanur rashid
ATCM,2321,1,,1,6,5,6,7,2,,1,,1,,1,,,,,2,"Imaoka, Laura B","Whitlock, Kathryn",,,,,lxi170030,laura imaoka
ATCM,2322,1,,5,12,7,7,4,2,3,3,1,,,2,,,,,1,"Valkanova, Dora R","Rahman, Maruf",,,,,dxv220021,dora valkanova
ATCM,2325,1,,22,,,2,1,2,,,,,,2,,,,,0,"Nguyen, Josef D",,,,,,jdn160330,josef nguyen
ATCM,2330,0W1,1,3,3,5,2,2,1,2,2,1,,1,9,,,,,0,"Nielsen, Christina R","O'Neill, Cynthia M","Martinez Ochoa, Angelica Miriam M",,,,crn022000,christina nielsen
ATCM,2330,0W2,1,4,4,3,4,5,1,3,2,1,,,1,,,,,0,"Nielsen, Christina R","Martinez Ochoa, Angelica Miriam M","O'Neill, Cynthia M",,,,crn022000,christina nielsen
ATCM,2340,1,,45,,,33,,,14,,,2,,3,,,,,2,"Lester, Paul M","Haws, Tyler","Trotter, Caroline G",,,,pxl152030,paul lester
ATCM,2345,1,3,7,5,1,2,8,,,,,,1,3,,,,,0,"Gupta-Fitzgerald, Harold E",,,,,,,harold gupta fitzgerald
ATCM,2345,2,7,6,4,2,,1,1,1,2,,,1,4,,,,,1,"Gupta-Fitzgerald, Harold E",,,,,,,harold gupta fitzgerald
ATCM,2345,3,7,4,7,2,2,4,2,,1,,,,,,,,,0,"Marks, David",,,,,,dem160430,david marks
ATCM,2350,2,10,4,3,7,1,2,1,,2,,,,,,,,,0,"Trosper, Elizabeth M","Nair, Vinayak",,,,,emt130130,elizabeth trosper
ATCM,2350,3,7,21,2,,,,,,,,,,,,,,,0,"Hoggatt, Zoey X",,,,,,zch150030,zoey hoggatt
ATCM,2350,1,4,11,5,2,5,1,,,1,,,,,,,,,0,"Jones, Jazmine Q",,,,,,jqj130030,jazmine jones
ATCM,2360,0W1,42,4,1,1,2,1,4,2,2,,,,,,,,,1,"Cox, Norman L",,,,,,nlc200001,norm cox
ATCM,2375,1,2,82,3,2,3,,,1,1,,,,5,,,,,1,"Evans, Monica J","McClanahan, Sara N","Wu, Benjamin",,,,mevans,monica evans
ATCM,3301,1,,2,8,4,3,,,1,,,,,1,,,,,0,"Imaoka, Laura B","Hernandez, Luke A",,,,,lxi170030,laura imaoka
ATCM,3301,2,1,4,6,,1,2,2,1,1,,,1,,,,,,0,"Chowdhury, Nusrat Zahan",,,,,,nxc190022,nusrat zahan chowdhury
ATCM,3301,3,3,7,3,1,3,1,,1,,,,,,,,,,0,"Heaslip, Audra","Cole, Abby",,,,,axh027000,audra heaslip
ATCM,3301,4,3,8,3,,1,,1,1,,,1,,1,,,,,0,"Heaslip, Audra","Cole, Abby",,,,,axh027000,audra heaslip
ATCM,3301,5,1,4,1,5,1,1,,2,,,2,1,1,,,,,0,"Lee, Yueh-Jung",,,,,,sml160330,
ATCM,3301,7,6,4,3,,,1,1,,,1,,,1,,,,,2,"Heaslip, Audra","Welwood, Samantha F",,,,,axh027000,audra heaslip
ATCM,3301,8,4,4,5,1,,3,,,,,,,1,,,,,1,"Heaslip, Audra","Welwood, Samantha F",,,,,axh027000,audra heaslip
ATCM,3301,501,8,6,2,1,1,,,,,,,,1,,,,,0,"Rheams, David C",,,,,,sml160330,
ATCM,3305,1,1,1,7,7,3,3,1,1,1,2,1,1,1,,,,,0,"Caldwell, Bryon A",,,,,,bac190003,bryon caldwell
ATCM,3305,501,,2,4,2,6,5,3,,3,,,,3,,,,,1,"McComber, Sean J",,,,,,rjm107020,
ATCM,3306,1,1,5,7,3,5,3,1,2,1,,,,1,,,,,1,"Boyd, Elizabeth S",,,,,,esp041000,elizabeth boyd
