Subject,Catalog Number,Section,A+,A,A-,B+,B,B-,C+,C,C-,D+,D,D-,F,Total W,Instructor 1,Instructor 2,Instructor 3,Instructor 4,Instructor 5,Instructor 6,instructor_id,instructor_name_normalized
CHEM,2123,121,14,9,4,1,1,,,,,,,,1,0,"Jaggi, Neelam","Bhadran, Abhi",,,,,nxj190013,neelam jaggi
CHEM,2123,125,17,12,,,1,,,,,,,,,0,"Panapitiya, Nimanka P","Liyanaarachchi, Sureshee M",,,,,npp081000,nimanka panapitiya
CHEM,2123,602,11,15,3,,,,,,,,,,,1,"Shah, Shailesh N","Thanabalasingam, Kulatheepan",,,,,sns170230,shailesh shah
CHEM,2123,603,17,10,2,,,,,,,,,,,1,"Shah, Shailesh N","Abbas, Muhammad",,,,,sns170230,shailesh shah
CHEM,2123,604,11,12,5,,,,,,,,,,,2,"Cortes, Sergio J","Thanabalasingam, Kulatheepan",,,,,scortes,sergio cortes
CHEM,2123,605,12,14,2,1,,,,,,,,,,1,"Cortes, Sergio J","Thanabalasingam, Kulatheepan",,,,,scortes,sergio cortes
CHEM,2123,606,19,10,1,,,,,,,,,,,0,"Panapitiya, Nimanka P","Abbas, Muhammad",,,,,npp081000,nimanka panapitiya
CHEM,2125,101,9,8,7,5,,,,,,,,,1,0,"Tran, Daniel N","Parra, Aaron",,,,,dnt019000,daniel tran
CHEM,2125,102,10,18,,1,,,1,,,,,,,0,"Tran, Daniel N","Parra, Aaron",,,,,dnt019000,daniel tran
CHEM,2125,103,8,13,9,,,,,,,,,,,0,"Shah, Shailesh N","Shekarnoush, Mahsa","Shah, Tejas V",,,,sns170230,shailesh shah
CHEM,2125,104,11,12,5,,2,,,,,,,,,0,"Shah, Shailesh N","Shekarnoush, Mahsa",,,,,sns170230,shailesh shah
CHEM,2327,HN1,1,9,7,4,1,3,2,1,1,,,,,1,"Biewer, Michael C",,,,,,biewerm,michael biewer
MATH,1326,502,3,1,1,1,2,3,3,5,6,,1,1,3,0,"Miller, James W",,,,,,jwm170630,james miller
NATS,3341,001,3,8,7,4,1,2,,,2,,,,3,0,"Dingrando, Laurel P","Yue, Lok Yiu","Bakhtiary, Farnaz",,,,lpd015000,laurel dingrando
PHYS,2125,101,2,21,1,2,1,,,,,,,,1,2,"Sun, Kuei","Zhou, Xiaohe","Khan, Amena",,,,kxs147030,kuei sun
PHYS,2125,102,2,20,2,,1,,,,,1,1,,2,1,"Sun, Kuei","Zhou, Xiaohe","Khan, Amena",,,,kxs147030,kuei sun
PHYS,2125,103,4,20,2,,1,1,1,,,,,,1,0,"Sun, Kuei","Mishra, Aditya K",,,,,kxs147030,kuei sun
PHYS,2125,105,6,21,1,2,,,,,,,,,,0,"Sun, Kuei","Fernando, Bharana A",,,,,kxs147030,kuei sun
PHYS,2125,106,3,25,,1,,,1,,,,,,,0,"Sun, Kuei","Khan, Amena","Panthi, Hari P",,,,kxs147030,kuei sun
PHYS,2125,107,18,9,1,1,,,,,,,,1,,0,"Sun, Kuei","Sinha, Deeksha",,,,,kxs147030,kuei sun
PHYS,2125,108,1,22,4,,1,1,,,,,,,,1,"Sun, Kuei","Khan, Amena","Rostami Osanloo, Mehrdad",,,,kxs147030,kuei sun
PHYS,2125,109,12,15,2,1,,,,,,,,,,0,"Sun, Kuei","Fernando, Bharana A","Khan, Amena",,,,kxs147030,kuei sun
PHYS,2125,111,4,23,1,,,,1,1,,,,,,0,"Sun, Kuei","Ali, Saif","Khan, Amena",,,,kxs147030,kuei sun
PHYS,2125,112,3,25,2,,,,,,,,,,,0,"Sun, Kuei","Rostami Osanloo, Mehrdad",,,,,kxs147030,kuei sun
PHYS,2125,113,5,22,2,,,,,,,,,,1,0,"Sun, Kuei","Iqbal, Mazhar",,,,,kxs147030,kuei sun
PHYS,2125,114,8,18,1,,,,,,,,1,,1,1,"Sun, Kuei","Rahmanian Koshkaki, Saeed",,,,,kxs147030,kuei sun
PHYS,2125,115,1,24,2,1,,1,,,1,,,,,0,"Sun, Kuei","Dhawan, Ruchika",,,,,kxs147030,kuei sun
PHYS,2125,116,,24,2,2,,1,,,1,,,,,0,"Sun, Kuei","Khan, Amena","Panthi, Hari P",,,,kxs147030,kuei sun
PHYS,2125,117,9,15,1,,,3,1,,,,,,,1,"Sun, Kuei","Khan, Amena","Xu, Tianyi",,,,kxs147030,kuei sun
PHYS,2125,118,11,17,1,1,,,,,,,,,,0,"Sun, Kuei","Rahmanian Koshkaki, Saeed",,,,,kxs147030,kuei sun
PHYS,2125,119,,27,2,,,,,1,,,,,,0,"Sun, Kuei","Khan, Amena","Du, Mengxin",,,,kxs147030,kuei sun
PHYS,2125,120,,15,9,,4,1,,,,,,,,1,"Sun, Kuei","Zheng, Peng Peng","Khan, Amena",,,,kxs147030,kuei sun
PHYS,2125,121,3,20,,1,,,1,1,1,,,1,1,1,"Sun, Kuei","Khan, Amena",,,,,kxs147030,kuei sun
PHYS,2125,122,3,20,1,4,,,,,,,,,2,0,"Sun, Kuei","Ali, Saif",,,,,kxs147030,kuei sun
PHYS,2125,124,5,20,2,,,1,1,1,,,,,,0,"Sun, Kuei","Mishra, Aditya K","Khan, Amena",,,,kxs147030,kuei sun
PHYS,2125,602,,21,2,,2,1,1,,,,,,2,1,"Sun, Kuei","Du, Mengxin",,,,,kxs147030,kuei sun
PHYS,2125,603,3,24,1,1,,,,,,,,,1,0,"Sun, Kuei","Iqbal, Mazhar",,,,,kxs147030,kuei sun
PHYS,2126,101,6,16,6,1,1,,,,,,,,,0,"Macalevey, Paul J","Saleh, Lamya","Hussain, Shadhin",,,,paulmac,paul macalevey
PHYS,2126,104,17,9,3,,,,,,,,,,,1,"Macalevey, Paul J","Saleh, Lamya","Solanki, Rahulkumar",,,,paulmac,paul macalevey
PHYS,2126,107,10,17,,1,,,1,,,,,,1,0,"Macalevey, Paul J","Saleh, Lamya","Espinoza, Salvador",,,,paulmac,paul macalevey
PHYS,2126,108,9,17,2,,1,,1,,,,,,,0,"Macalevey, Paul J","Saleh, Lamya","Schussler, Joshua A",,,,paulmac,paul macalevey
PHYS,2126,109,4,16,7,1,1,,,1,,,,,,0,"Macalevey, Paul J","Saleh, Lamya","Hussain, Shadhin",,,,paulmac,paul macalevey
PHYS,2126,111,11,14,5,,,,,,,,,,,0,"Macalevey, Paul J","Saleh, Lamya","Espinoza, Salvador",,,,paulmac,paul macalevey
PHYS,2126,112,11,10,7,,,,,,,,,,1,1,"Macalevey, Paul J","Saleh, Lamya","McMullen, Reema",,,,paulmac,paul macalevey
PHYS,2126,113,11,15,2,,1,,,1,,,,,,0,"Macalevey, Paul J","Phillips, Madelyn F",,,,,paulmac,paul macalevey
PHYS,2126,114,7,13,6,2,,,,,,,,,,2,"Macalevey, Paul J","Saleh, Lamya","Maisberger, Matthew C",,,,paulmac,paul macalevey
PHYS,2126,115,8,13,4,1,,1,,,,,,,1,2,"Macalevey, Paul J","Zhang, Yichao",,,,,paulmac,paul macalevey
PHYS,2126,116,7,16,4,2,,,,,,,,,,1,"Macalevey, Paul J","Maisberger, Matthew C",,,,,paulmac,paul macalevey
PHYS,2126,118,24,6,,,,,,,,,,,,0,"Macalevey, Paul J","Saleh, Lamya","Modumudi, Sai Madhav",,,,paulmac,paul macalevey
PHYS,2126,122,11,13,4,,1,,,,,,,,,1,"Macalevey, Paul J","Saleh, Lamya","Schussler, Joshua A",,,,paulmac,paul macalevey
PHYS,2126,123,10,16,2,1,1,,,,,,,,,0,"Macalevey, Paul J","Saleh, Lamya",,,,,paulmac,paul macalevey
PHYS,2126,124,11,14,1,,3,,,,,,,,,1,"Macalevey, Paul J","Dey, Soumyajit",,,,,paulmac,paul macalevey
PHYS,2126,126,6,14,8,1,,,,,,,,,,1,"Macalevey, Paul J","Saleh, Lamya","Marder, Andrew A",,,,paulmac,paul macalevey
PHYS,2126,603,11,15,1,,,,,,,,,,1,2,"Macalevey, Paul J","Saleh, Lamya","Waczak, John",,,,paulmac,paul macalevey
COMD,6378,001,,30,,,,,,,,,,,,0,"Dean, Lucinda L","Sale, Felicity F",,,,,lxl018300,lucinda dean
CS,7301,002,,24,1,2,1,1,,,,,,,,0,"Gupta, Gopal","Basu, Kinjal",,,,,gupta,gopal gupta
ATCM,3311,001,,9,3,8,2,1,,2,,3,,,1,1,"Johnson, Casey A",,,,,,caj150430,casey johnson
LIT,3337,001,5,17,3,2,1,1,,,,,,,1,1,"Brewer, Kenneth L",,,,,,klb092000,kenneth brewer
ATCM,1100,006,15,1,5,,3,1,,2,,2,,,2,0,"Camacho, Christopher J","Beverly, Diamond E","Flores, Carlin E",,,,cjc043000,christopher camacho
ATCM,4338,001,,10,7,2,3,5,1,1,1,,,,1,0,"Farrar, Eric T",,,,,,etf091000,eric farrar
ATCM,4350,001,17,4,4,3,1,,1,,,,,,1,0,"Hewitt, Sharon",,,,,,sxh090220,sharon hewitt
SPAU,3341,002,,5,,,18,,,6,,,,,1,1,"Clark, Jackie L","Evans, Delaney L",,,,,jclark,jackie clark
CS,4314,501,3,7,7,1,5,1,4,1,,,,,1,1,"Golden, Richard","Ryland, James W",,,,,golden,richard golden
CS,4348,002,,4,,,7,,,13,,,5,,2,0,"Goodrum, Richard A","Eltigani Osman Abaker, Mohamedelfatih",,,,,rag150330,richard goodrum
CS,4397,001,1,1,4,5,3,3,3,4,3,2,2,,,0,"Bastani, Farokh","Li, Fang",,,,,bastani,farokh bastani
EE,3311,001,,2,4,3,1,8,4,,6,2,1,,,0,Kenneth,"Jalalibidgoli, Farzaneh",,,,,kxo091000,kenneth
ECON,4320,001,,8,9,3,7,1,,2,1,,,,,0,"McElroy, Susan","Zhang, Licheng","Luo, Siyuan",,,,skm028000,susan mcelroy
PSCI,4313,001,4,13,2,2,1,2,2,3,,,,,1,1,"Ho, Karl",,,,,,kxh022100,karl ho
PSCI,4357,001,3,7,10,1,4,5,,,1,,,,,0,"Cordell, Rebecca","Mutesi, Mireille",,,,,rxc190010,rebecca cordell
BIS,3320,001,2,8,,,4,,,8,1,,3,,2,3,"Wissinger, Tonja",,,,,,twissin,tonja wissinger
ED,3314,001,6,18,,,4,,,1,,,,,2,0,"Fagg, Sharon",,,,,,sxf044000,sharon fagg
ACCT,3200,004,12,3,10,2,1,1,1,1,,,,,,0,"Bruce, Elizabeth J",,,,,,,elizabeth bruce
ACCT,3350,501,2,3,7,5,7,4,2,,,,,,,1,"Frost, Sandra M",,,,,,,sandra frost
ACCT,6388,501,,28,2,,,1,,,,,,,,0,"Goodrich, Mary Beth W","Khasacha, Sidney O",,,,,goodrich,mary beth goodrich
BCOM,3310,003,1,6,4,5,5,,2,1,2,,3,,2,0,"Marchant, Joe T",,,,,,jtm014200,joe marchant
BUAN,6341,003,,11,6,6,3,2,2,1,,,,,,0,"Sabir, Muhammad F","Aarya, Aarya",,,,,mfs170430,muhammad sabir
BUAN,6357,501,,21,9,,,1,,,,,,,,0,"Johnston, Walter L",,,,,,wlj031000,walter johnston
FIN,4345,501,4,9,11,1,4,,1,,,,,,,1,"Ayres, Jeffrey A",,,,,,jaa014500,jeffrey ayres
HMGT,6323,501,,12,7,4,4,3,,,,,,,1,0,"Ayvaci, Mehmet U","Zhu, Wangsheng",,,,,mua120030,mehmet ayvaci
IMS,4330,501,1,22,4,3,,,,,,,,,,1,"Zydorek, Hubert","Campos de Castro Ferreira, Leticia",,,,,hxz120930,hubert zydorek
ITSS,4300,501,1,,9,8,3,3,,5,,,,,1,1,"Singla, Pardeep Kumar","Natarajan, Bharath Kumar",,,,,,pardeep kumar singla
ITSS,4390,002,,13,2,7,6,2,,,,1,,,,0,"Owens, Dawn M",,,,,,dmo130130,dawn owens
MIS,6326,001,,15,6,7,1,,2,,,,,,,0,"Smashnov, Uri","Rawat, Manavi",,,,,uxs051000,uri smashnov
MKT,3330,006,7,7,5,1,4,2,1,1,,,,,2,1,"Amirpour, Semiramis",,,,,,sxa130731,semiramis amirpour
OB,6248,CW1,,23,,,5,1,,,,,,,1,1,"Hicks, Robert",,,,,,,robert hicks
OB,6350,CW1,,23,2,,1,2,,,,,,,2,1,"Hicks, Robert",,,,,,,robert hicks
OPRE,4310,001,,3,5,6,5,5,2,1,,1,,1,1,1,"Ramanathan, Kannan","Ramakrishnan, Jaishree","Li, Changpei",,,,kxr087000,kannan ramanathan
OPRE,6301,001,,17,1,6,4,,,2,,,,,,1,"Ahadi, Khatereh","Egbedi, Jeffrey C",,,,,kxa180010,khatereh ahadi
BIOL,3101,004,,1,3,7,6,5,3,1,2,1,,,,2,"Dejong, Jeff L","Smith, Patrick R",,,,,dejong,jeff dejong
BIOL,3101,005,1,2,4,3,6,4,1,5,2,1,,,,2,"Dejong, Jeff L","Smith, Patrick R",,,,,dejong,jeff dejong
BIOL,3102,002,7,3,1,5,2,3,2,1,1,,2,3,,1,"Srikanth, Uma",,,,,,ukrish,uma srikanth
BIOL,4350,501,1,1,7,4,4,2,,1,1,,3,,4,3,"Ramirez, Ruben D",,,,,,rdr092000,ruben ramirez
MATH,3311,002,5,8,3,5,1,3,,1,2,,1,1,,1,"Dabkowska, Malgorzata A",,,,,,mxd066000,malgorzata dabkowska
ATCM,3321,001,,11,9,6,1,2,,2,,,,,,0,"Banner, Olivia P",,,,,,opb140030,olivia banner
MATH,1316,003,1,2,,,3,2,5,4,1,,,5,7,1,"Aman, Kelly","Xu, Xiufeng",,,,,kxa143530,kelly aman
ARHM,3342,502,2,10,2,5,4,5,,2,1,,,,1,0,"Starnaman, Sabrina",,,,,,sxs090100,sabrina starnaman
COMD,7221,001,,31,,,,,,1,,,,,,0,"Carter, Jessica A","Fazel, Vedad",,,,,jar032000,jessica carter
SPAU,4395,501,4,2,6,7,,6,3,2,,1,,,1,0,"Thibodeau, Linda K","Harris, Audrey N",,,,,thib,linda thibodeau
BMEN,3380,001,5,6,10,4,3,3,,,1,,,,,0,"Winter, Patrick M","Tai, Haowei",,,,,pxw151030,patrick winter
CE,4370,001,9,18,3,,,,,1,,,1,,,0,"Swartz, William P","Kalidas, Vignesh","Huang, Qiongdan","Akbarzadeh, Sara",,,wps100020,william swartz
CS,3162,091,,11,1,6,2,3,2,1,1,,2,,3,0,"Chin, Wei-Pang",,,,,,wxc180013,wei pang chin
CS,3345,005,4,5,5,1,11,2,1,3,,,,,,0,"Chappidi, Sruthi",,,,,,sxc105920,sruthi chappidi
EE,3201,002,6,10,9,1,4,,,1,1,,,,,0,"Nikoubin, Tooraj","Caicedo-Narvaez, Carlos A","Movahed Mohammadi, Seyed Ehsan","Khoshlessan, Mahshid","Steele, Alec M",,txn190011,tooraj nikoubin
EE,3301,002,13,,,1,1,,4,4,,,1,,6,2,"Fahimi, Babak","Liang, Jingchen",,,,,bxf102000,babak fahimi
EERF,6311,501,,14,3,8,7,,,,,,,,,0,"Henderson, Rashaunda M","Sears, Mark R",,,,,rmh072000,rashaunda henderson
MECH,4320,001,5,1,4,4,6,1,2,3,1,,,,2,3,"Leonardi, Stefano","Garimella, Martand Mayukh",,,,,sxl139330,stefano leonardi
MECH,6306,501,,27,3,1,1,,,,,,,,,0,"Lu, Hongbing","Chen, Huiluo",,,,,hxl101000,hongbing lu
PSCI,3310,001,7,5,8,7,3,2,,,,,,,,0,"Rabbi, Md. Fazle",,,,,,mxr163630,md fazle rabbi
ISIS,3310,001,,14,,1,5,4,,4,1,,,,3,0,"Wissinger, Tonja",,,,,,twissin,tonja wissinger
ACCT,3350,PP2,3,4,16,6,3,,,,,,,,,0,"Solcher, Steven J",,,,,,sjs107020,steven solcher
ACCT,4334,PP1,,11,,,19,,,1,,,,,1,0,"Linsteadt, Chris C","Sauer, Ashlyn M",,,,,ccl019000,chris linsteadt
ACCT,6332,501,,7,,1,10,,,9,,,,,4,1,"Karnuta, Daniel","Nunez, Belinda A",,,,,dxk173030,daniel karnuta
BCOM,3310,501,,2,7,,7,12,,2,1,,1,,,0,"Steadham, Kyle S",,,,,,kss012400,kyle steadham
FIN,3320,007,6,6,,6,10,,2,,,,1,,,1,"Zhu, Yifan",,,,,,yxz166130,yifan zhu
FIN,3350,001,,1,8,4,2,5,2,5,1,,,,2,2,"Anderson, Frank W",,,,,,fwa012000,frank anderson
FIN,4310,002,5,2,3,4,1,3,4,2,2,2,1,1,1,1,"Meier, Jean-Marie","Smith, Jake A",,,,,jmm172030,jean marie meier
FIN,6307,001,,12,4,9,5,1,1,,,,,,,0,"Ma, Liping","Zhang, Xiang",,,,,lxm133730,liping ma
IMS,6204,CW1,,22,5,4,1,,,,,,,,,0,"Woldu, Habte G","Pradeep, Poojitha",,,,,wolduh,habte woldu
MIS,6346,0W1,,22,5,3,2,,,,,,,,,0,"Perez, Jerry","Aarya, Aarya",,,,,jxp180019,jerry perez
MIS,6380,0W1,,7,7,4,5,3,5,1,,,,,,0,"Bradbury, Judd D","Singh, Ayush K","Shah, Bhavin A",,,,jdb101000,judd bradbury
MKT,3330,003,6,9,3,4,1,2,2,2,1,,,1,1,0,"Amirpour, Semiramis",,,,,,sxa130731,semiramis amirpour
MKT,3330,004,5,7,6,2,2,3,1,1,1,1,,,2,1,"Amirpour, Semiramis",,,,,,sxa130731,semiramis amirpour
MKT,3330,005,12,8,3,3,,,1,1,,,1,,2,1,"Gafford, Jerome M",,,,,,jmg171130,jerome gafford
OB,6332,CH1,,32,,,,,,,,,,,,0,"Behrendt, William",,,,,,,william behrendt
OPRE,4350,001,3,3,2,3,4,4,2,1,1,1,,1,3,4,"Wang, Shouqiang","Sul, Inki",,,,,sxw163830,shouqiang wang
OPRE,6301,004,,13,,3,8,6,1,1,,,,,,0,"Ahadi, Khatereh","Egbedi, Jeffrey C",,,,,kxa180010,khatereh ahadi
OPRE,6335,501,,7,4,6,7,5,,3,,,,,,0,"Bensoussan, Alain","Nguyen, Nam H",,,,,axb046100,alain bensoussan
OPRE,6362,501,,19,7,,5,1,,,,,,,,0,"Janke, Scott M",,,,,,smj160830,scott janke
BIOL,3102,001,7,5,7,6,1,1,,1,,,1,1,1,1,"Sarcar, Subha N",,,,,,sns064000,subha sarcar
MATH,2413,005,2,3,2,6,3,1,1,4,1,2,,1,6,0,"Whalen, Tristan G",,,,,,tgw100020,tristan whalen
MATH,2414,014,,3,5,4,,1,2,2,3,3,1,2,6,0,"Zhang, Yi",,,,,,,yi zhang
PHYS,3330,001,,7,3,,4,,2,3,6,,,,7,0,"Da Silveira Rodrigues, Fabiano","Talebi, Shawhin",,,,,fxd121030,fabiano da silveira rodrigues
MATH,3310,002,,7,7,5,,3,3,1,,,,2,2,0,"Dabkowska, Malgorzata A",,,,,,mxd066000,malgorzata dabkowska
MATH,3310,001,3,8,5,4,3,2,1,1,3,,,,2,0,"Dabkowska, Malgorzata A",,,,,,mxd066000,malgorzata dabkowska
FIN,6301,GW1,,11,2,4,6,1,,4,,,,,1,2,"Reichert, Carolyn A",,,,,,carolyn,carolyn reichert
PA,3380,0W1,3,6,7,5,4,1,,2,1,,,,3,0,"Cohen, Galia",,,,,,gxc097120,galia cohen
ACCT,6202,PS1,,20,5,,2,2,,3,,,,,,0,"Zolton, Kathy",,,,,,kxz121730,kathy zolton
DANC,1310,0H2,8,12,7,2,1,2,,1,,,,,,0,"Owens, Misty",,,,,,mxo122530,misty owens
ACN,6395,001,,14,,,14,,,5,,,,,,0,"Wig, Gagandeep S",,,,,,gsw130130,gagandeep wig
CLDP,3362,501,,16,,,12,,,4,,,1,,,0,"Grant, Meridith G","Zhao, Yuguang",,,,,mga061000,meridith grant
PSY,3339,002,3,11,,2,2,5,3,3,1,,3,,,0,"Santrock, John W",,,,,,santrock,john santrock
CS,3162,052,17,6,4,1,2,2,,,,1,,,,0,"Smith, Klyne",,,,,,kxs180052,klyne smith
CS,3354,501,,2,7,5,4,3,4,3,1,1,,,3,0,"Paulk, Mark C","Yu, Shimeng",,,,,mcp130030,mark paulk
CS,4349,HON,4,5,2,9,5,4,1,1,,,,,,2,"Willson, James K","Weinzierl, Maxwell A",,,,,jkw053000,james willson
ENGR,3341,004,1,5,6,2,4,7,5,2,,,,,,1,"Webb, Jennifer H","Hasan, Md Imrul",,,,,jhw170130,jennifer webb
MECH,6351,001,,25,5,3,,,,,,,,,,0,"Qian, Dong","Wang, Yang",,,,,dxq120430,dong qian
ECON,4333,001,8,7,2,2,6,,3,3,1,,1,,,0,"Siqueira, Kevin J","Nguyen, Hien T",,,,,kjs064000,kevin siqueira
PA,6321,501,,21,,,11,,,,,,,,,1,"Benavides, Teodoro J",,,,,,tjb051000,teodoro benavides
ED,4357,001,,27,4,,,,,,,,,,1,1,"Leek, Patricia A",,,,,,santine,patricia leek
GST,2300,001,,5,3,3,11,3,,1,,,,1,2,4,"Smith, Erin",,,,,,erins,erin smith
HLTH,1301,0W2,,3,7,2,2,5,4,4,2,,1,,2,1,"Baetge, Claire",,,,,,cxb170330,claire baetge
ACCT,6353,501,,15,4,6,1,4,1,2,,,,,,0,"Gamino, John P",,,,,,jpg140630,john gamino
BA,1100,502,12,11,3,1,,1,1,,1,,,1,2,0,"Lathen, Patricia A",,,,,,,patricia lathen
BCOM,3310,007,3,12,9,2,7,,,,,,,,,0,"Ahlberg, Mehrzad","Tanabe, Takuma",,,,,,mehrzad ahlberg
BLAW,2301,HON,,8,3,7,5,4,2,1,1,1,,1,,0,"Polze, Matthew M","Hoang, Quynh M",,,,,mmp062000,matthew polze
FIN,3365,001,4,6,5,4,2,2,3,4,2,1,,,,0,"DeCourcy, George A",,,,,,gad075000,george decourcy
MIS,6319,001,,19,,,14,,,,,,,,,0,"Thompson, Luell O","Dutta, Snehasis",,,,,lot013000,luell thompson
MKT,3330,007,16,3,2,6,1,2,,,2,,,,1,0,"Gafford, Jerome M",,,,,,jmg171130,jerome gafford
MATH,6312,001,,21,5,3,1,3,,,,,,,,0,"Dabkowski, Mieczyslaw K","Wu, Che-Yu",,,,,mkd034000,mieczyslaw dabkowski
STAT,3360,002,5,10,2,1,5,4,,1,,1,1,,2,0,"Chakraborty, Dipnil","Koshevnik, Yuly",,,,,,dipnil chakraborty
MIS,6204,PS1,,25,,,4,,,3,,,,,,0,"Hefley, William E",,,,,,weh150130,william hefley
BCOM,3310,502,,2,7,13,5,3,1,,1,,,,1,0,"Armstead, Erica",,,,,,exa190018,erica armstead
CS,2305,HN1,9,14,7,4,,,,,,,,,,0,"Bereg, Sergey",,,,,,sxb027100,sergey bereg
CS,3162,555,14,7,4,1,1,2,1,1,,,,1,1,1,"Debroy, Vidroha",,,,,,vxd024000,vidroha debroy
CS,4347,002,2,4,5,4,6,2,7,,1,1,2,,,0,"Davis, Chris I","Hu, Yibo","Shahbazi, Nima",,,,cid021000,chris davis
ENGR,3300,503,,9,,3,6,,6,1,,3,2,,2,2,"Nakhaei, Mofid","Liang, Jingchen",,,,,mxn162630,mofid nakhaei
MECH,2310,003,4,,1,1,1,2,8,,3,3,5,1,3,2,"Wilt, James C","Nguyen, Cuong P",,,,,jcw140130,james wilt
ECON,2301,004,7,5,3,2,3,3,2,3,,,,,6,0,"Kwak, Jihun",,,,,,,jihun kwak
BCOM,3310,002,2,18,4,1,4,2,,1,,1,,,1,0,"Walton, Michaella",,,,,,mrw170730,michaella walton
BCOM,3310,009,1,10,10,5,3,4,,,1,,,,,0,"McCrady, Victoria D",,,,,,vdm130030,victoria mccrady
BCOM,3310,011,,2,7,10,3,9,1,2,,,,,,0,"Miller, Alyssa",,,,,,,alyssa miller
HMGT,6330,501,,11,9,6,6,2,,,,,,,,0,"Drummond, Jeffery P",,,,,,jpd160230,jeffery drummond
ITSS,4360,002,,3,8,4,9,5,4,,,,,,1,0,"Thirumalai, Nambi","Jadhav, Sukruta",,,,,ndt180001,nambi thirumalai
OPRE,3310,007,4,5,2,4,12,3,,4,,,,,,0,"Parks, David","Takasi, Venkanna Dora Goutham",,,,,dxp153830,david parks
BIOL,3455,303,1,1,5,4,4,4,1,3,1,,2,,6,2,"Ramirez, Ruben D",,,,,,rdr092000,ruben ramirez
CHEM,5331,001,,7,6,9,8,2,,1,,,,,,1,"Gassensmith, Jeremiah J",,,,,,jjg130230,jeremiah gassensmith
GEOS,2310,001,5,5,3,3,5,2,3,2,2,1,1,,,2,"Brikowski, Tom","Nichols, Naomi Ty Asha P",,,,,brikowi,tom brikowski
MATH,1316,002,2,3,,2,3,2,3,2,6,,2,,7,2,"Sutton, Julie","Hewawaduge, Dhanushki B","Xu, Xiufeng",,,,jxs158030,julie sutton
MATH,2413,004,1,,3,4,2,4,6,4,1,4,,,3,2,"Lou, Yifei",,,,,,yxl145331,yifei lou
NATS,1101,008,,28,,4,1,,,,,,,,1,0,"Meedel, Jennifer",,,,,,jxm168030,jennifer meedel
NATS,1101,018,20,6,3,2,1,,1,,,,,,,1,"Treter, Donald R",,,,,,drt150530,donald treter
BPS,6310,0W1,,13,5,9,6,1,,,,,,,,0,"Chasteen, Larry H","Teschner, Ryan S",,,,,chasteen,larry chasteen
ENTP,3301,501,,,12,3,12,6,,,,,,,1,0,"Peck, Paul S",,,,,,psp012100,paul peck
BCOM,3310,001,,7,7,6,4,,,2,1,2,1,,4,0,"Walton, Michaella",,,,,,mrw170730,michaella walton
DANC,1310,0H1,1,21,4,2,3,2,1,,,,,,,0,"Saba, Monica",,,,,,msaba,monica saba
PSY,3362,001,,12,1,2,8,,,8,,,,,3,1,"Mills, Candice M","Wu, Sining",,,,,cxm056000,candice mills
BMEN,3315,501,1,13,2,1,9,2,2,4,,,,,1,0,"Cogan, Stuart","Wu, Yupeng",,,,,sxc149830,stuart cogan
CS,1337,501,1,5,2,5,11,,1,2,2,1,1,,2,2,"Oladimeji, Ebenezer A",,,,,,eao015100,ebenezer oladimeji
CS,1337,502,5,5,1,1,1,5,4,3,,,,,8,2,"Perkins, Stephen J",,,,,,sxp127930,stephen perkins
CS,3162,092,10,9,9,1,1,2,3,,,,,,,0,"Smith, Klyne",,,,,,kxs180052,klyne smith
CS,3377,002,3,10,8,5,,3,1,3,,,1,1,,0,"Peterson, Erik A",,,,,,eap190004,erik peterson
EE,4388,003,,16,4,10,5,,,,,,,,,0,"Skinner, Neal G","Nguyen, Van Thuan",,,,,skinner,neal skinner
MECH,3105,103,5,5,2,5,3,3,1,3,5,,,,2,1,"Rios, Oziel","Sadeh, Sepehr",,,,,oxr106020,oziel rios
MECH,3305,001,1,6,5,1,8,4,1,2,1,,3,,2,1,"Rios, Oziel","Almubarak, Yara",,,,,oxr106020,oziel rios
ECON,4351,001,14,10,1,3,5,1,,,1,,,,,0,"O'Brien, Daniel M","Li, Ji",,,,,obri,daniel obrien
ACCT,4334,PP2,,7,,,27,,,1,,,,,,0,"Linsteadt, Chris C","Sauer, Ashlyn M",,,,,ccl019000,chris linsteadt
ACCT,6386,001,,9,7,7,11,1,,,,,,,,0,"Mauriello, Joseph A","Truong, Timothy T",,,,,jam151430,joseph mauriello
BCOM,3310,004,,15,14,4,2,,,,,,,,,0,"Smallwood, Margaret G","Shirvin, Mahdi",,,,,meg012400,margaret smallwood
BCOM,3310,005,,13,14,2,4,,1,,,,,,1,0,"Smallwood, Margaret G","Shirvin, Mahdi",,,,,meg012400,margaret smallwood
BCOM,3310,006,,10,15,,7,,,1,,,2,,,0,"Smallwood, Margaret G","Shirvin, Mahdi",,,,,meg012400,margaret smallwood
BCOM,3310,008,2,13,15,4,1,,,,,,,,,0,"Moore, Sarah E","Tanabe, Takuma",,,,,sem054000,sarah moore
BCOM,3310,010,19,9,2,1,2,1,1,,,,,,,0,"de los Santos, Veronica",,,,,,vxd171930,veronica de los santos
BCOM,3310,012,3,6,9,4,5,4,,1,2,,,,1,0,"Fry, Jennifer L",,,,,,jlf130030,jennifer fry
BCOM,3310,013,,3,11,8,3,3,5,1,1,,,,,0,"Miller, Alyssa",,,,,,,alyssa miller
