Subject,Catalog Number,Section,A+,A,A-,B+,B,B-,C+,C,C-,D+,D,D-,F,Total W,Instructor 1,Instructor 2,Instructor 3,Instructor 4,Instructor 5,Instructor 6,instructor_id,instructor_name_normalized
ED,4353,501,,12,,,,,,,,,,,,0,"Brooks, Lori L",,,,,,lxb180004,lori brooks
HONS,3199,HN4,1,11,,,,,,,,,,,,0,"Davies, Katherine",,,,,,kxd180013,katherine davies
BA,4101,001,3,9,,,,,,,,,,,,0,"Knox, Alan R",,,,,,alan1,alan knox
ENTP,4340,001,5,6,,,,1,,,,,,,,0,"Goodrich, Mary Beth W","Khasacha, Sidney O",,,,,goodrich,mary beth goodrich
FIN,4334,001,4,,,2,,2,1,1,,,1,,1,0,"Kaplan, Larry S",,,,,,lsk140130,larry kaplan
MKT,6337,001,,2,2,4,4,,,,,,,,,0,"Murthi, B P","Roshangarzadeh, Reza",,,,,murthi,b murthi
OPRE,6302,PS1,,12,,,,,,,,,,,,0,"Widdifield, David S",,,,,,dsw180001,david widdifield
SYSM,6313,SS1,,3,1,5,1,1,,1,,,,,,0,"Ziegler, Laurie","Boncoeur, Olivier D",,,,,ziegler,laurie ziegler
SYSM,6318,SS1,,6,3,3,,,,,,,,,,0,"Biswas, Abhijit","Iyer, Smruti Viswanath","Shetty, Reema R","Kulkarni, Chinmayi S",,,axb019100,abhijit biswas
BIOL,3455,802,1,2,1,2,3,,,,,1,,1,1,0,"Ramirez, Ruben D",,,,,,rdr092000,ruben ramirez
BIOL,4380,301,2,4,2,,3,,1,,,,,,,0,"Sadat, Eva","Ghosh, Poorva G",,,,,exs190014,eva sadat
GEOS,2306,001,,2,,2,5,,1,1,,,,,1,0,"Mueller, Nicholas J","Akatakpo, Solomon O",,,,,njm043000,nicholas mueller
GEOS,5315,001,,7,1,3,1,,,,,,,,,0,"Manton, William I",,,,,,manton,william manton
STAT,6331,001,,1,1,1,4,2,1,,,,,,1,1,"Choudhary, Pankaj K",,,,,,pkc022000,pankaj choudhary
COMM,3342,002,1,3,1,,,2,,1,1,,,,2,0,"King, Carie S",,,,,,cxl085200,carie king
CRWT,3351,501,,5,4,1,1,1,,,,,,,,0,"Stone, Nomi",,,,,,nxs190033,nomi stone
PPPE,6359,001,,5,1,,5,,,,,,,,1,0,"Hicks, Donald",,,,,,dahicks,donald hicks
ARTS,3315,001,7,5,,,,,,1,,,,,,0,"Curry, Val",,,,,,vxc110930,val curry
CHIN,1312,001,6,1,2,,2,1,,,,,1,,,0,"Chen, Bei",,,,,,bxc152730,bei chen
COMM,3342,001,7,2,1,2,,,,1,,,,,,0,"Schlobohm, Maribeth L",,,,,,mls077000,maribeth schlobohm
COMM,4314,001,4,,2,,3,1,,1,,,,,,2,"King, Carie S",,,,,,cxl085200,carie king
CRWT,2301,001,1,7,2,,2,,,,,,,,,1,"Greene, Kendra",,,,,,kxg180038,kendra greene
CRWT,3307,HN1,9,2,2,,,,,,,,,,,0,"Watkins, Latoya S",,,,,,lws031000,latoya watkins
CRWT,4354,501,,5,3,4,1,,,,,,,,,0,"Goldberg, Paula",,,,,,pxg180023,paula goldberg
HIST,6360,501,,6,4,3,,,,,,,,,,0,"Rankin, Monica A",,,,,,mar046000,monica rankin
