Instructor 1,Instructor 2,Instructor 3,Instructor 4,Instructor 5,Instructor 6,Subject,Catalog Nbr,Section,A+,A,A-,B+,B,B-,C+,C,C-,D+,D,D-,F,NF,CR,I,NC,P,W,instructor_id,instructor_name_normalized
"Towner, Theresa",,,,,,LIT,3300,001,,11,9,6,2,2,,,,,,,2,,,,,,0,tmtowner,theresa towner
"Brewer, Kenneth L",,,,,,LIT,3318,001,1,14,6,9,8,2,4,2,1,1,,1,,,,,,,0,klb092000,kenneth brewer
"Hodan, Daniel M",,,,,,MUSI,2315,501,,11,,,2,,,,,,,,,,,,,,0,dmh017000,daniel hodan
"Mcvay, Michael",,,,,,MUSI,2328,002,4,3,2,1,1,2,,,,,,,3,,,,,,1,mjm031000,michael mcvay
"Salisbury, Linda J",,,,,,MUSI,1306,003,24,21,,1,,,,,,,,1,1,,,,,,0,ljs130230,linda salisbury
"Ingrao, Peter J","Zhang, Qiang",,,,,HUMA,1301,009,39,10,6,4,3,2,1,,,1,1,,,,,,,,0,jingrao,peter ingrao
"Min, Inki A",,,,,,ARTS,1316,001,4,13,2,,,,,,,,,,,,,,,,0,iam140230,inki min
"Cochran, Kristen N",,,,,,ARTS,1316,002,1,3,5,3,2,,2,,,,,,1,,,,,,2,knc103020,kristen cochran
"Booker, Paul D",,,,,,ARTS,1316,003,5,4,4,1,1,,1,1,1,,,,,,,,,,0,pdb041000,
"Lacy, Mary E",,,,,,ARTS,1316,501,,3,,,15,,,,,,,,,,,,,,0,mel024000,mary lacy
"Egan, Trey T",,,,,,ARTS,2316,501,3,9,1,,2,,,,,,,,1,,,,,,0,tte150130,trey egan
"Ligon, Peter A",,,,,,ARTS,2316,001,,1,8,2,1,,,1,1,,,,,,1,,,,2,pal140130,peter ligon
"Egan, Trey T",,,,,,ARTS,2380,002,5,3,1,2,1,1,,1,1,1,,,1,,,,,,1,tte150130,trey egan
"Lacy, Mary E",,,,,,ARTS,2380,003,,3,1,1,7,4,,,,,,,,,,,,,1,mel024000,mary lacy
"Carter, Rebecca S",,,,,,ARTS,2380,004,1,10,3,1,,,,1,,,,,2,,,,,,1,rsc150030,
"Lapthisophon, Stephen M",,,,,,ARTS,3368,001,,18,,,1,,,,,,,,,,,,,,0,sxl043100,stephen lapthisophon
"Loving, Emily",,,,,,ARTS,3372,001,,14,,1,3,,,1,,,,,,,,,,,0,exl097120,emily loving
"Goode, Dianne H","Delin, Jacquelyn M",,,,,AHST,1304,001,23,23,8,5,10,4,3,3,1,1,1,,2,,,,,,2,dgoode,dianne goode
"Copeland, Colette",,,,,,ARTS,3371,001,,3,,3,2,1,,,,,,,1,,1,,,,1,cxc132230,colette copeland
"Durant, Stephanie D",,,,,,ARTS,3371,002,,4,2,,1,2,1,,,,,,4,,,,,,0,ddm043000,
"Jakobsson, Pia K",,,,,,HIST,3302,001,1,2,1,2,3,,,1,1,,1,,2,,,,,,0,pkj010100,pia jakobsson
"Keeth, Sara L",,,,,,RHET,1302,032,,3,4,6,2,,2,,1,,,,1,,,,,,0,slk041000,sara keeth
"Kirk, Kristina E",,,,,,RHET,1302,033,,10,2,4,1,,,,,,,,,,,,,,1,kek160430,kristina kirk
"Tehan, Terin J",,,,,,RHET,1302,501,3,10,3,1,,2,,,,,,,,,,,,,0,txt125430,terin tehan
"Saeidfar, Ghazal",,,,,,RHET,1302,502,1,,8,6,1,,,,,,,,1,,,,,,1,gxs153630,ghazal saeidfar
"Wilder, James E",,,,,,MUSI,3316,001,5,,,,1,1,,,,,,1,1,,,,,,1,jew042000,james wilder
"Durbin, Kelly",,,,,,MUSI,3324,001,2,4,1,2,,1,,,,1,,,,,,,,,0,kpdurbin,kelly durbin
"Amato, Lawrence A","del Bosque, Isai",,,,,PHIL,1301,003,3,6,7,6,10,8,7,4,2,4,1,,7,,,,,,2,laa062000,lawrence amato
"Vincent, Shelby D",,,,,,SPAN,1311,002,,3,2,,4,,,,,,,,1,,,,,,1,sdv034000,shelby vincent
"Camacho-Guardado, Lorena",,,,,,SPAN,2312,001,8,2,6,,,1,,,,,,,,,,,,,1,lxc163230,amalia lorena camacho guardardo
"Burnett, Lora D","Mei, Kehan",,,,,HIST,1302,001,21,41,8,7,5,1,1,1,,,,,3,,,,,,0,ldb082000,lora burnett
"Palmer, Marcy A",,,,,,ARTS,3379,001,,2,10,6,1,,,,,,,,,,,,,,0,mxp070100,marcy palmer
"Tady, Lorraine T",,,,,,ARTS,3363,001,1,6,4,4,1,,,,,,,,1,,,,,,0,ltt042000,lorraine tady
"Cochran, Kristen N",,,,,,ARTS,2381,001,,5,5,1,2,,,,,,,,,,,,,,2,knc103020,kristen cochran
"Crawford, Rachel",,,,,,RHET,1302,034,6,2,2,,,3,1,2,,,,,3,,,,,,0,rxc161430,rachel crawford
"McIntosh, Suzanne K",,,,,,RHET,1302,503,8,7,,,2,,,,,,,,,,,,,,1,skm130030,suzanne mcintosh
"Durbin, Kelly",,,,,,MUSI,3386,001,2,4,5,1,,,,,,,,1,,,,,,,0,kpdurbin,kelly durbin
"Curry, Val",,,,,,ARTS,3375,001,8,8,1,,,,,,,,,,,,,,,,0,vxc110930,val curry
"Ozsvath, Zsuzsanna",,,,,,HUHI,6338,501,,7,1,,1,,,,,,,,,,,,,,0,zozsvath,zsuzsanna ozsvath
"Reynolds, Clay",,,,,,HUMA,6300,501,,5,4,2,1,,,,,,,,2,,,,,,1,clayr,clay reynolds
"Hasler, Carl",,,,,,PHIL,1301,002,,7,20,11,11,13,2,,,,,,5,,,,,,1,cxh165030,carl hasler
"Leek, Patricia A",,,,,,LIT,3315,003,,7,6,1,3,3,,,,,,,1,,,,,,0,santine,patricia leek
"Hughes, William K",,,,,,MUSI,2325,002,2,7,2,,4,1,,1,,,,,,,,,,,1,wkh150030,william hughes
"Burnett, Lora D","Landrum, Jeffrey T",,,,,HIST,1302,002,11,39,12,7,11,,3,1,3,1,,,,,,,,,0,ldb082000,lora burnett
"Conrad, Sharron W",,,,,,HIST,1301,007,,13,6,7,9,1,3,,5,,1,,4,,,,,,0,swc071000,sharron conrad
"Sengupta, Karl",,,,,,RHET,1302,035,5,12,1,1,,,,,,,,,,,,,,,0,kss140330,karl sengupta
