Instructor 1,Instructor 2,Instructor 3,Instructor 4,Instructor 5,Instructor 6,Subject,Catalog Nbr,Section,A+,A,A-,B+,B,B-,C+,C,C-,D+,D,D-,F,NF,CR,I,NC,P,W,instructor_id,instructor_name_normalized
"DeCourcy, George A","Ai, Siyu",,,,,FIN,3320,008,6,11,1,2,11,1,6,7,1,1,,,1,,,,,,1,gad075000,george decourcy
"Lawson, Kristen A","Bursa, Jennifer N",,,,,BCOM,4350,006,8,20,3,2,2,1,2,,,,,,1,,,,,,1,kal110030,kristen lawson
"McCrady, Victoria D",,,,,,BCOM,4350,007,3,11,13,6,2,2,1,1,1,,,,,,,,,,0,vdm130030,victoria mccrady
"Zihagh, Fereshteh",,,,,,MKT,3300,011,4,16,14,1,11,,,,1,,,,1,,,,,,0,fxz140530,fereshteh zihagh
"Chapman, Juliann G","Kolli, Naga Harsha Vard",,,,,FIN,3330,002,13,17,,2,11,,2,2,,2,,,,,,,,,0,jgc160130,juliann chapman
"Crook, Kevin R",,,,,,MIS,6309,501,,22,7,23,21,,,,,,,,,,,,,,0,krc150730,kevin crook
"Zolton, Kathy","Shavrina, Irina V",,,,,ACCT,6333,001,,29,,,19,,,16,,,,,3,,,,,,2,kxz121730,kathy zolton
"Wright, Robert G",,,,,,ENTP,4330,001,,7,9,7,8,2,,,,,,,,,,,,,1,rgw091000,robert wright
"Gafford, Jerome M",,,,,,MKT,3300,012,1,5,9,5,13,9,,6,,,,1,,,,,,,0,jmg171130,jerome gafford
"Prasad, Ashutosh",,,,,,MAS,6V05,002,,7,,,,,,,,,,,,,,,,,0,aprasad,ashutosh prasad
"Hagen, John C","Akhil Gopinath, FNU",,,,,ITSS,4301,501,2,,2,1,,2,2,,1,,,,1,,,,,,1,jch013200,john hagen
"Watson, John M","Smith, Charles F",,,,,BCOM,4350,008,,27,8,2,1,1,1,,,,,,,,,,,,0,jmw077000,john watson
"Watson, John M","Smith, Charles F",,,,,BCOM,4350,009,,9,15,8,2,3,1,1,,,,,,,,,,,1,jmw077000,john watson
"McCrady, Victoria D",,,,,,BCOM,4350,010,4,11,12,6,3,2,1,,1,,,,,,,,,,0,vdm130030,victoria mccrady
"Lookadoo, Kathryn","McDonald, Jared M",,,,,BCOM,4350,011,2,8,11,7,3,4,,,4,,,,1,,,,,,0,kxl164330,kathryn lookadoo
"de los Santos, Veronica",,,,,,BCOM,4350,002,20,14,3,,,2,,,,,,,,,,,,,0,vxd171930,veronica de los santos
"Polze, Matthew M","Payne, Colton A",,,,,BLAW,2301,HO2,,7,2,2,4,2,3,1,1,,1,,,,,,,,1,mmp062000,matthew polze
"Carraher, Shawn M",,,,,,BPS,4305,009,12,3,9,5,7,4,1,1,1,,,,,,,,,,0,smc130730,shawn carraher
"Pedigo, Madison F",,,,,,ENTP,3301,003,,15,,,23,,,5,,,,,1,,,,,,0,mfp013000,madison pedigo
"Qiu, Ye",,,,,,MKT,3300,013,3,13,16,10,3,3,,,,,,,1,,,,,,0,yxq110430,ye qiu
"Layton, Mark C",,,,,,OPRE,3310,007,2,8,20,10,4,,1,2,,,,,,,,,,,0,mcl170030,mark layton
"Cordell, David M","Mirjalili, Siavash",,,,,FIN,3320,502,,8,,3,10,2,1,10,1,4,3,,4,,,,,,3,dmc012300,david cordell
"Rivera Mesias, Alejandro","Rupp, Anin D",,,,,FIN,3350,001,4,10,2,9,4,4,8,,,,,,1,,,,,,3,axr150331,alejandro rivera mesias
"Richardson, Debra L",,,,,,FIN,3370,001,9,6,12,1,6,4,4,3,4,1,3,,1,,,,,,0,dlr150330,debra richardson
"Baranchuk, Nina",,,,,,FIN,6350,501,,4,2,1,2,,1,1,,,,,1,,,,,,0,nxb043000,nina baranchuk
"Ma, Liping","Kaur, Dupinderjeet",,,,,FIN,6382,501,,13,,,7,,,,,,,,,,,,,,3,lxm133730,liping ma
"Fleming, Forney F","Vasquez, Paula A",,,,,HMGT,3301,001,,13,14,10,5,5,4,2,,3,1,,5,,1,,,,0,fwf081000,forney fleming
"Walton, James W","Myneni, Nitish",,,,,HMGT,3301,002,8,13,12,5,14,3,2,,5,,,,1,,,,,,0,jww160330,james walton
"Berrett, Britt R","Myneni, Nitish","Vasquez, Paula A",,,,HMGT,3301,501,2,10,3,5,3,2,1,,,,,,,,,,,,1,brb051000,britt berret
"Fleming, Forney F",,,,,,HMGT,6320,0W1,,34,5,1,1,2,2,,,,,,1,,,,,,0,fwf081000,forney fleming
"Henderson, Tom",,,,,,IMS,3310,009,,15,3,2,13,,3,5,,,1,,3,,,,,,2,txh093000,tom henderson
"Woldu, Habte G","Zhou, Jun",,,,,IMS,6204,MBP,,11,18,8,,,,,,,,,,,,,,,0,wolduh,habte woldu
"Wiorkowski, John",,,,,,MECO,7312,001,,8,4,4,,,,,,,,,,,,,,,0,wiorkow,john wiorkowski
"Raghunathan, Srinivasan","Katira, Charmi Manoj",,,,,MIS,6308,002,,24,8,3,,,,,,,,,1,,,,,,1,sraghu,srinivasan raghunathan
"Islam, Naser","Pathania, Deepima",,,,,MIS,6308,504,,15,,9,3,,,,,,,,,,,,,,1,nxi110630,naser islam
"Bradbury, Judd D","Solanki, Rom Prakash","Khandelwal, Ashish",,,,MIS,6309,001,,21,16,10,8,9,2,1,,,,,,,,,,,1,jdb101000,judd bradbury
"Narasimhan, Prithi","Kopparapu, Hanuman Abhishek",,,,,MIS,6316,001,,4,7,11,2,,,,,,,,,,,,,,0,pxn152330,prithi narasimhan
"Narasimhan, Prithi","Kopparapu, Hanuman Abhishek",,,,,MIS,6316,002,,9,5,3,3,1,,,,,,,,,,,,,0,pxn152330,prithi narasimhan
"Sohaee, Nassim","Sainathan, Srinivas",,,,,MIS,6323,002,,31,14,10,3,1,,,,,,,,,,,,,0,nxs045000,nassim sohaee
"Ryu, Young","Godasi, Sai Ram Bharadwaj",,,,,MIS,6326,0W1,,18,8,5,18,,,,,,,,1,,,,,,4,ryoung,young ryu
"Troutman, Amy B","Albritton, Jason M",,,,,ACCT,2301,HON,3,18,9,15,3,2,,,,,,,,,,,,,0,amybass,amy troutman
"Barden, John P","Vinayagam, Chidambara P",,,,,ACCT,2302,005,,10,8,11,7,3,10,8,2,,3,,12,,,,,,0,jpb063000,john barden
"Hes, Christopher A","Vinayagam, Chidambara P",,,,,ACCT,2302,501,3,1,4,5,7,4,6,6,,,3,4,2,,,,,,6,cah041000,christopher hess
"Singh, Harpreet","Busetty, Vishnukanth",,,,,MIS,6344,501,,13,16,4,11,7,,,,,,,,,,,,,1,hxs104000,harpreet singh
"Bradbury, Judd D","Khandelwal, Ashish","Solanki, Rom Prakash",,,,MIS,6380,001,,14,14,10,7,5,3,1,,,,,1,,,,,,2,jdb101000,judd bradbury
"Savoie, Michael J","Kar, Madhurima",,,,,ITSS,3300,003,5,27,15,,1,1,,,,,,,,,,,,,0,msavoie,michael savoie
"Scott, James A","Gharge, Padmaja",,,,,ITSS,3300,005,1,1,8,15,8,7,2,2,3,,,,1,,,,,,2,jas076100,james scott
"Scott, James A","Gharge, Padmaja",,,,,ITSS,3300,006,,4,11,18,5,7,1,1,2,,,,,,,,,,0,jas076100,james scott
"Martinez, Carlos A","Kar, Madhurima",,,,,ITSS,3300,007,,3,7,13,9,4,3,5,2,,1,,1,,,,,,1,cxm173630,carlos martinez
"Bao, Chenzhang",,,,,,ITSS,3300,008,7,21,9,4,4,2,,1,,,,,,,,,,,0,cxb121930,
"Beachboard, John C","Dixit, Saksham",,,,,ITSS,3300,009,,10,2,3,11,4,10,4,1,1,1,,2,,,,,,0,jcb170430,john beachboard
"Bose, Ranavir","Saha, Moumita",,,,,ITSS,3300,010,4,16,8,6,5,6,1,1,,,,,2,,,,,,0,rxb132730,ranavir bose
"Bose, Ranavir","Saha, Moumita",,,,,ITSS,3300,011,4,23,2,3,2,5,2,2,2,1,,,1,,,,,,1,rxb132730,ranavir bose
"Beachboard, John C","Dixit, Saksham",,,,,ITSS,3300,012,1,9,1,7,14,4,4,1,2,1,2,,2,,,,,,0,jcb170430,john beachboard
"Reed, Richard","Kopparapu, Hanuman Abhishek",,,,,ITSS,3300,013,,7,6,2,14,7,6,3,,1,,,1,,,,,,1,rxr062000,richard reed
"Islam, Naser","Murugan, Aravind Vasu","Pathania, Deepima",,,,ITSS,3300,014,4,7,2,14,18,,2,1,,,,,1,,,,,,0,nxi110630,naser islam
"Owens, Sean M","Dixit, Saksham",,,,,ITSS,3300,0E1,1,25,5,2,1,1,1,1,,,,,3,,,,,,0,smo150330,sean owens
"Short, Kevin P","Shanmukh, Shravya",,,,,ITSS,3300,015,,8,3,8,10,3,6,4,4,,,,1,,,,,,1,kps170330,kevin short
"Martinez, Carlos A","Kar, Madhurima",,,,,ITSS,3300,501,1,4,9,8,6,13,2,2,2,1,,,1,,,,,,0,cxm173630,carlos martinez
"Short, Kevin P","Shanmukh, Shravya",,,,,ITSS,3300,502,,11,3,3,13,2,4,3,2,,,,3,,,,,,2,kps170330,kevin short
"Owens, Dawn M","Akhil Gopinath, FNU",,,,,ITSS,4300,001,,11,7,7,9,8,2,8,2,1,2,2,1,,,,,,0,dmo130130,dawn owens
"Arora, Vivek",,,,,,ITSS,4312,501,2,2,3,3,4,4,,3,,,,,1,,,,,,0,vxa081000,vivek arora
"Owens, Dawn M","Godasi, Sai Ram Bharadwaj",,,,,ITSS,4330,001,,14,8,11,10,3,1,,2,,,,,,,,,,0,dmo130130,dawn owens
"Thomas, Sunela","Godasi, Sai Ram Bharadwaj",,,,,ITSS,4330,501,,14,10,8,7,2,2,3,,,2,,,,,,,,1,sxt167730,sunela thomas
"Maheshwari, Anup","Viswanathan, Venkatesh",,,,,ITSS,4340,001,2,4,1,2,13,5,7,3,,2,,,3,,,,,,3,axm179731,anup maheshwari
"Shekhar, Gaurav","Akarte, Prajakti V",,,,,ITSS,4351,501,,3,5,3,6,3,3,2,,,,,,,,,,,1,gxs150130,gaurav shekhar
"Parker, Jason A","Akhil Gopinath, FNU",,,,,ITSS,4353,501,26,8,21,6,6,3,3,,,1,,,,,,,,,2,jap090020,jason parker
"Tang, Shaojie","Guha, Sumalya",,,,,ITSS,4360,501,11,11,17,14,12,,,,,,,,,,,,,,0,sxt146930,shaojie tang
"Slaughter, Kelly T","Akarte, Prajakti V",,,,,ITSS,4390,001,7,21,13,,9,3,,1,,,,,1,,,,,,0,kts130030,kelly slaughter
"Subramaniam, Palanivel","Sorathia, Vashisth",,,,,ITSS,4V95,501,1,3,3,2,8,5,,2,4,,,,,,,,,,1,pxs172431,palanivel subramaniam
"Ozel, Naim Bugra","Juarez Herrera, Pablo J",,,,,ACCT,6305,502,,6,8,9,4,2,,,,,,,,,,,,,0,nbo150030,naim ozel
"Ozel, Naim Bugra","Juarez Herrera, Pablo J",,,,,ACCT,6305,501,,12,15,22,3,3,,,,,,,,,,,,,0,nbo150030,naim ozel
"Blair, Ronald J","Nguyen, Ploysirin K",,,,,ACCT,6335,501,,11,7,5,5,4,,1,,,,,,,,,,,1,rblair,ronald blair
"Johnson, Jennifer","Garcia, Cesar D",,,,,ACCT,6343,001,,14,,,5,,,,,,,,,,,,,,0,jxj091000,jennifer johnson
"Roy Bardhan, Anindita","Albritton, Jason M",,,,,ACCT,6373,001,,7,,,17,,,4,,,,,,,,,,,0,axb149330,anindita bardhan
"Barden, John P","Vinayagam, Chidambara P",,,,,ACCT,6373,0W1,,20,,,40,,,,,,,,,,,,,,0,jpb063000,john barden
"Roy Bardhan, Anindita","Albritton, Jason M",,,,,ACCT,6373,501,,9,,,23,,,4,,,,,1,,,,,,0,axb149330,anindita bardhan
"Reid, David","Juarez Herrera, Pablo J",,,,,ACCT,6388,501,,34,1,,,,,,,,,,,,,,,,0,dxr143530,david reid
"Johnson, Jennifer","Garcia, Cesar D",,,,,ACCT,4340,001,12,15,4,8,4,,,3,1,,,,2,,,,,,0,jxj091000,jennifer johnson
"Hicks, Jeffrey N","Liu, Yu",,,,,OBHR,3310,501,1,11,18,7,4,4,2,,,,,,1,,,,,,0,jnh061000,jeffrey hicks
"Meda, Edward","Vora, Gunjan",,,,,OBHR,3310,502,4,10,8,5,7,12,1,,,,,,1,,,,,,0,exm150330,edward meda
"Qiu, Ye",,,,,,MKT,3300,014,5,16,14,7,3,,,,,,,,1,,,,,,0,yxq110430,ye qiu
"Pacyna, Sandra",,,,,,MKT,3300,015,3,17,8,7,8,2,1,1,,1,,,,,,,,,1,sxp158130,sandra pacyna
"Gafford, Jerome M",,,,,,MKT,3330,003,10,5,3,3,1,2,,1,,,,,2,,,,,,0,jmg171130,jerome gafford
"Amirpour, Semiramis",,,,,,MKT,3330,004,14,5,3,1,1,,1,,2,,1,1,,,,,,,1,sxa130731,semiramis amirpour
"Edsel, Alexander D",,,,,,MKT,4330,0W1,1,9,9,2,5,10,4,3,,1,1,,1,,,,,,1,ade012000,alexander edsel
"Dover, Howard F",,,,,,MKT,4332,002,2,6,1,3,2,2,1,1,,,1,,,,,,,,0,hfd021000,howard dover
"Corbin, Sonja C",,,,,,MKT,4380,501,3,6,8,3,5,1,1,1,,,,,,,,,,,0,scc130530,sonja corbin
"Ramanathan, Kannan","Wilson, Elizabeth A","Venkataraman, Sundar",,,,OPRE,6332,0W1,,16,4,3,5,11,1,1,,,,,2,,,,,,0,kxr087000,kannan ramanathan
"Parks, David",,,,,,OPRE,6367,001,,14,,,3,,,,,,,,,,,,,,1,dxp153830,david parks
"Deluke, Eugene","Patil, Lalit D",,,,,OPRE,6369,0W2,,30,,,17,,,1,,,,,,,,,,,0,gxd052000,eugene deluke
"Honhon, Dorothee B","Chang, Chia-Hao",,,,,OPRE,6341,0W1,,14,5,4,3,,,,,,,,1,,,,,,1,dbh130130,dorothee honhon
"harrop, Jonathan",,,,,,MKT,4334,001,6,11,8,4,6,,2,,,,,,,,,,,,2,jjh170530,jonathan harrop
"Meda, Edward","Vora, Gunjan",,,,,MKT,3300,016,2,8,12,8,3,8,1,2,,,,,2,,,,,,1,exm150330,edward meda
"Biswas, Abhijit","Narula, Rishab","Kasaraneni, Uma Sankar",,,,MKT,6301,MBC,,15,11,18,7,2,,,,,,,,,,,,,0,axb019100,abhijit biswas
"Reichert, Carolyn A",,,,,,FIN,6301,MBC,,13,15,6,14,2,,2,,,,,1,,,,,,0,carolyn,carolyn reichert
"Zentner, Alejandro","Nguyen, Hang M",,,,,MECO,6303,MBC,,27,8,7,11,,,,,,,,,,,,,,0,axz051000,alejandro zentner
"Dess, Gregory","Kim, Kyun",,,,,BPS,6310,MBC,,16,,,28,,,1,,,,,,,,,,,0,ggd021000,gregory dess
"Peng, Mike","Yeo, Yundong",,,,,IMS,6204,MBC,,23,,,22,,,,,,,,,,,,,,0,mxp059000,mike peng
"Richardson, Debra L",,,,,,RMIS,4331,001,,12,3,6,3,,4,1,,,,,,,,,,,0,dlr150330,debra richardson
"Richards, James R",,,,,,FIN,6311,001,,11,4,2,2,,,,,,,,,,,,,,0,jrr013500,james richards
"Kim, Yeongin",,,,,,ITSS,3312,001,,30,10,5,2,1,,,,,,,,,,,,,0,yxk130930,yeongin kim
"Narayan, Ravishankar L","Godasi, Sai Ram Bharadwaj",,,,,BUAN,6320,001,,43,5,8,1,,,,,,,,,,,,,,0,rln130030,ravishankar narayan
"Nketia, Joseph A",,,,,,ACCT,4337,501,,4,,5,4,4,3,,2,,,,2,,,,,,0,jan170230,joseph nketia
"Richards, James R",,,,,,ACCT,4337,001,2,10,7,5,3,3,1,2,1,,,,1,,,,,,1,jrr013500,james richards
"Kuo, Ching-Chung","Ye, Wenhe","Ouseph, Sunil T",,,,BUAN,6398,001,,21,4,4,15,1,2,15,,,,,,,,,,,0,cxk162830,
"Richardson, Debra L",,,,,,RMIS,3370,001,,3,2,,3,,1,1,,,,,,,,,,,0,dlr150330,debra richardson
"Bradbury, Judd D","Solanki, Rom Prakash","Khandelwal, Ashish",,,,MKT,6338,001,,2,5,5,2,2,,,,,,,,,,,,,0,jdb101000,judd bradbury
"Mauriello, Joseph A","Hale, Seth M",,,,,MIS,6337,001,,8,9,2,3,,,,,,,,,,,,,,0,jam151430,joseph mauriello
"Cavusoglu, Huseyin","Vadlamudi, Nikhil Vishnu",,,,,BUAN,6320,501,,32,2,,1,,,,,,,,,,,,,,1,huseyin,huseyin cavusoglu
"Grigsby, Mike",,,,,,MKT,6337,501,,2,,,9,,,,,,,,,,,,,,0,mxg153330,mike grigsby
"Grigsby, Mike",,,,,,BUAN,6337,501,,19,,,20,,,,,,,,,,,,,,0,mxg153330,mike grigsby
"Thouin, Mark","Gajjar, Sarthak V",,,,,MIS,6360,002,,25,20,16,1,1,,,,,,,,,,,,,0,mxt083000,mark thouin
"Walton, Michaella",,,,,,BCOM,3310,001,,1,5,6,7,2,3,2,2,1,1,,,,,,,,0,mrw170730,
"Moore, Sarah E","O'Dell, Daniel A",,,,,BCOM,3310,002,3,20,3,3,3,,1,1,,,,,,,,,,,0,sem054000,sarah moore
"Moore, Sarah E","O'Dell, Daniel A",,,,,BCOM,3310,003,3,18,3,3,2,2,1,1,2,,,,,,,,,,0,sem054000,sarah moore
"Smallwood, Margaret G","Rosillo, Andrea G",,,,,BCOM,3310,006,,10,21,2,1,,,,1,,,,,,,,,,0,meg012400,margaret smallwood
"Marchant, Joe T",,,,,,BCOM,3310,007,2,4,1,2,1,1,1,1,,,,,1,,,,,,0,jtm014200,joe marchant
"Sluder, Jeanne",,,,,,BCOM,3310,009,6,10,4,5,5,2,,,,,,,1,,,,,,0,jis081000,jeanne sluder
"Sluder, Jeanne",,,,,,BCOM,3310,010,4,25,3,2,,,,1,,,,,,,,,,,0,jis081000,jeanne sluder
"Thompson, Luell O",,,,,,MIS,6319,0W1,,9,,,7,,,,,,,,,,,,,,0,lot013000,luell thompson
"Kuo, Ching-Chung","Ye, Wenhe","Ouseph, Sunil T",,,,BUAN,6398,002,,20,4,3,18,1,1,6,,,,,1,,,,,,0,cxk162830,
"Sethi, Awanti","Gokcinar, Abdullah H",,,,,OPRE,6332,503,,32,1,10,8,2,,2,,,,,,,,,,,0,asethi,awanti sethi
"Sadka, Gil",,,,,,ACCT,7344,001,,7,,,,,,,,,,,,,,,,,0,gxs143630,gil sadka
"Connell, Michelle",,,,,,FIN,4380,501,2,7,2,8,6,1,1,1,,,,,,,,,,,0,mxc155830,michelle connell
"Smallwood, Margaret G","Rosillo, Andrea G",,,,,BCOM,3310,004,,17,15,2,1,,,,,,,,,,,,,,1,meg012400,margaret smallwood
"Smallwood, Margaret G","Rosillo, Andrea G",,,,,BCOM,3310,005,2,16,12,1,1,1,,1,1,,,,,,,,,,0,meg012400,margaret smallwood
"Fry, Jennifer L",,,,,,BCOM,3310,008,5,9,3,1,2,1,,1,,1,,,,,,,,,0,jlf130030,jennifer fry
"Sluder, Jeanne",,,,,,BCOM,3310,011,,26,4,3,,1,,,,,,,1,,,,,,0,jis081000,jeanne sluder
"Lookadoo, Kathryn","McDonald, Jared M",,,,,BCOM,3310,012,1,9,8,2,5,4,2,,,,1,1,1,,,,,,0,kxl164330,kathryn lookadoo
"Steadham, Kyle S",,,,,,BCOM,3310,501,,10,4,,,,,,,,,,,,,,,,0,kss012400,kyle steadham
"Lawson, Kristen A","Bursa, Jennifer N",,,,,BCOM,3310,HON,8,52,2,,,,,,,,,,,,,,,,0,kal110030,kristen lawson
"Betanzos, Christina L","Ayala, Nestor A",,,,,BLAW,2301,004,,10,15,13,12,14,6,5,4,,2,,9,,,,,,0,clb120030,christina betanzos
"Chasteen, Larry H","Jung, Young-Hoon",,,,,BPS,4305,001,1,10,,5,19,,4,4,,,,,,,,,,,1,chasteen,larry chasteen
"Zhang, Zhe","Ozdemir, Dicle Yagmur",,,,,BUAN,6324,001,,6,2,4,2,,,,,,,,,,,,,,0,zxz145430,
"Mookerjee, Radha","Bhaskerla, Swetcha P",,,,,BUAN,6324,002,,,2,5,2,,,,,,,,,,,,,,0,rvm019000,radha mookerjee
"Menon, Syam","Hosseini, Leila",,,,,BUAN,6324,0W1,,5,2,1,3,,1,,,,,,,,,,,,0,sxm021300,syam menon
"Zhang, Zhe","Ozdemir, Dicle Yagmur",,,,,BUAN,6324,501,,2,,3,2,,,,,,,,,,,,,,0,zxz145430,
"Narayan, Ravishankar L","Kashyap, Madhuri Ramamohan",,,,,BUAN,6335,501,,11,5,1,1,,,,,,,,,,,,,,0,rln130030,ravishankar narayan
"Blueshtein, Moran","Han, Munhee",,,,,BUAN,6312,501,,11,6,9,6,7,3,2,,,,,,,,,,,0,mxb135230,moran blueshtein
"Molina, Stephen",,,,,,ENGY,3300,001,1,3,3,3,5,,,1,,,,,,,,,,,0,sxm163630,stephen molina
"Molina, Stephen",,,,,,ENGY,6330,501,,12,5,2,,,,,,,,,,,,,,,0,sxm163630,stephen molina
"Guengerich, Steven","Aziz, Fasahat",,,,,ENTP,3301,502,,3,,,3,,,3,,,,,,,,,,,2,sxg172931,steven guengerich
"Ayres, Jeffrey A",,,,,,FIN,4345,501,4,6,7,6,2,,1,,,,,,,,,,,,0,jaa014500,
"Rahman, Nasir","Nie, Weikang",,,,,FIN,6368,001,,5,9,4,4,3,,,,,,,,,,,,,0,nxr160930,nasir rahman
"Mauriello, Joseph A","Paul, Sapna",,,,,ACCT,6386,001,,13,8,5,2,,,,,,,,,,,,,,1,jam151430,joseph mauriello
"Rivera Mesias, Alejandro","Rupp, Anin D",,,,,FIN,3350,501,1,7,1,5,4,1,2,2,1,,,,,,,,,,1,axr150331,alejandro rivera mesias
"Berrett, Britt R","Myneni, Nitish","Vasquez, Paula A",,,,HMGT,3301,003,4,31,8,2,5,1,1,1,1,,,,,,,,,,1,brb051000,britt berret
"Jenkins, Kristin M",,,,,,HMGT,3310,501,12,9,12,6,5,3,1,,,1,,,,,,,,,0,kmj063000,kristin tesmer
"Ramanathan, Kannan",,,,,,HMGT,6321,0W1,,6,3,4,3,4,1,,,,,,1,,,,,,0,kxr087000,kannan ramanathan
"Hazzard, Charles F",,,,,,IMS,3310,HON,5,16,3,,,,,,,,,,,,,,,,0,cxh056000,charles hazzard
"Reed, Richard","Kopparapu, Hanuman Abhishek",,,,,ITSS,3300,001,,4,3,8,9,5,8,3,2,2,,4,,,,,,,0,rxr062000,richard reed
"Molina, Stephen",,,,,,MECO,4342,001,2,3,6,6,1,,,,,,,,1,,,,,,0,sxm163630,stephen molina
"Zhang, Zhe","Ozdemir, Dicle Yagmur",,,,,MIS,6324,001,,12,8,6,8,,,,,,,,,,,,,,0,zxz145430,
"Mookerjee, Radha","Bhaskerla, Swetcha P",,,,,MIS,6324,002,,3,15,16,5,1,1,1,,,,,,,,,,,0,rvm019000,radha mookerjee
"Menon, Syam","Hosseini, Leila",,,,,MIS,6324,0W1,,6,5,2,1,1,2,,,,,,,,,,,,1,sxm021300,syam menon
"Zhang, Zhe","Ozdemir, Dicle Yagmur",,,,,MIS,6324,501,,14,6,16,5,1,,,,,,,,,,,,,0,zxz145430,
"Geng, Xianjun","Zhang, Haozhao",,,,,MIS,6334,001,,6,14,14,9,6,1,2,,,,,,,,,,,1,xxg091000,xianjun geng
"Geng, Xianjun","Zhang, Haozhao",,,,,MIS,6334,002,,15,16,13,9,5,,,,,,,,,,,,,0,xxg091000,xianjun geng
"Menon, Syam","Hosseini, Leila",,,,,MIS,6334,0W1,,9,7,8,3,1,2,,,,,,,,,,,,1,sxm021300,syam menon
"Ramanathan, Kannan","Wilson, Elizabeth A",,,,,OPRE,6364,0W1,,27,10,15,2,1,1,,,,,,1,,,,,,1,kxr087000,kannan ramanathan
"Slaughter, Kelly T","Akarte, Prajakti V",,,,,MIS,6380,002,,18,6,10,12,14,,,,,,,,,,,,,0,kts130030,kelly slaughter
"Dickinson, Keith",,,,,,MKT,4338,501,13,13,,,1,,,2,,,,,1,,,,,,0,kxd084000,keith dickinson
"Edsel, Alexander D",,,,,,MKT,6341,601,,8,3,2,3,,,,,,,,,,,,,,0,ade012000,alexander edsel
"Kavanaugh, Jeff L",,,,,,MKT,6342,501,,17,11,7,7,2,1,,,,,,,,,,,,0,jlk160030,jeff kavanaugh
"Harrison, Richard","Kemp, Ayenda",,,,,OB,6303,501,,9,,,10,,,,,,,,,,,,,,0,harrison,richard harrison
"Harrison, Richard","Kemp, Ayenda",,,,,OB,6331,001,,20,,,18,,,,,,,,,,,,,,0,harrison,richard harrison
"Ritchey, David B",,,,,,OBHR,3310,013,5,8,9,9,11,2,1,2,1,,,,1,,,,,,0,davidr,david ritchey
"Edgington, Kyle D",,,,,,OBHR,4300,501,29,20,8,2,,,,,,,,,,,,,,,0,kde081000,kyle edgington
"Weekley, Jeff A","Kemp, Ayenda",,,,,OBHR,4334,001,1,3,12,1,4,7,2,1,1,,,,1,,,,,,0,jaw160330,jeff weekley
"Kaplan, Larry S",,,,,,RMIS,4334,501,3,6,3,,2,,,,,2,,,,,,,,,0,lsk140130,larry kaplan
"Narayan, Ravishankar L","Pathania, Deepima",,,,,MIS,6364,501,,7,3,2,,,,,,,,,,,,,,,0,rln130030,ravishankar narayan
"Lookadoo, Kathryn","McDonald, Jared M",,,,,BCOM,3310,013,3,10,6,2,3,5,,1,3,,1,,1,,,,,,0,kxl164330,kathryn lookadoo
"Fry, Jennifer L",,,,,,BCOM,3310,502,6,12,9,4,1,,1,,1,,,,,,,,,,0,jlf130030,jennifer fry
"Wu, Fang","Qian, Kun",,,,,MKT,6301,005,,4,3,3,4,,,,,,,,,,,,,,0,fxw052000,fang wu
"Xie, Ying","Ameri, Mina",,,,,MKT,6301,006,,10,9,12,11,8,,,,,,,,,,,,,0,yxx124930,ying xie
"Zhang, Zhe","Ozdemir, Dicle Yagmur",,,,,OPRE,6399,001,,5,,4,5,,,,,,,,,,,,,,0,zxz145430,
"Zhang, Zhe","Ozdemir, Dicle Yagmur",,,,,OPRE,6399,501,,,1,7,3,,,,,,,,,,,,,,0,zxz145430,
"Wu, Fang","Qian, Kun",,,,,MKT,3300,017,1,6,2,7,12,3,10,2,2,2,1,,1,,,,,,0,fxw052000,fang wu
"Wu, Fang","Qian, Kun",,,,,MKT,3300,018,1,10,5,5,7,5,4,4,2,1,,1,2,,,,,,1,fxw052000,fang wu
"Lim, Bo Ram",,,,,,MKT,3300,019,4,5,10,6,5,6,4,6,,,1,,,,,,,,1,bxl131330,bo ram lim
"Zhang, Zhe","Ozdemir, Dicle Yagmur",,,,,MIS,6324,003,,8,4,18,4,2,,,,,,,,,,,,,0,zxz145430,
"Parker, Jason A","Chava, Soumya",,,,,MIS,6356,501,,17,2,2,1,,,,,,,,,,,,,,0,jap090020,jason parker
"Hefley, William E","Pathania, Deepima",,,,,ITSS,4370,001,1,7,4,9,18,3,5,3,2,,,,1,,,,,,2,weh150130,william hefley
"Singh, Harpreet","Busetty, Vishnukanth",,,,,MIS,6344,001,,5,12,3,6,5,,,,,,,,,,,,,0,hxs104000,harpreet singh
"Singh, Harpreet","Busetty, Vishnukanth",,,,,MIS,6344,002,,9,13,4,4,5,,,,,,,1,,,,,,0,hxs104000,harpreet singh
"Saeed, Kashif","Jain, Mohit",,,,,MIS,6345,001,,14,9,12,15,1,,,,,,,,,,,,,0,kxs147230,kashif saeed
"Slaughter, Kelly T","Gharge, Padmaja","Akarte, Prajakti V",,,,ITSS,4355,002,1,10,2,5,5,3,2,3,2,,,1,1,,,,,,0,kts130030,kelly slaughter
"Richardson, Debra L",,,,,,FIN,4331,001,,1,3,4,2,2,1,3,,,,,,,,,,,0,dlr150330,debra richardson
"Cavusoglu, Huseyin","Vadlamudi, Nikhil Vishnu",,,,,OPRE,6393,501,,6,6,1,,,,,,,,,,,,,,,0,huseyin,huseyin cavusoglu
"Parker, Jason A","Chava, Soumya",,,,,BUAN,6356,501,,27,6,,2,,,,,,,,,,,,,,1,jap090020,jason parker
