Subject,Catalog Nbr,Section,A+,A,A-,B+,B,B-,C+,C,C-,D+,D,D-,F,CR,NC,P,W,Instructor 1,Instructor 2,Instructor 3,Instructor 4,Instructor 5,Instructor 6,instructor_id,instructor_name_normalized
ACCT,3322,001,4,22,3,3,4,,1,3,1,1,1,,,1,1,,4,"Goodrich, Mary Beth W","Burnette, Naomi R","Pham, Michelle D",,,,goodrich,mary beth goodrich
ACCT,3331,001,,26,6,,11,3,,1,,,1,,,9,3,,2,"Zhang, Yuan","Le, My-Duyen T",,,,,rlf092000,rebecca files
ACCT,3331,002,,12,3,,13,,,4,,,1,,3,12,7,,8,"Zhang, Yuan","Le, My-Duyen T",,,,,rlf092000,rebecca files
ACCT,3331,003,4,9,3,1,2,4,1,3,,3,,,1,4,3,,25,"Zhou, Yibin","Chaturvedi, Sneha",,,,,yxz066000,yibin zhou
ACCT,3331,501,,8,4,,6,,,7,,,3,,6,17,6,,7,"Zhang, Yuan","Le, My-Duyen T",,,,,yxz122931,yuan zhang
ACCT,3332,001,1,9,2,3,7,1,,2,,1,7,,,6,3,,18,"Bortz, Tiffany A","Chaturvedi, Sneha",,,,,tabortz,tiffany bortz
ACCT,3332,501,1,8,,1,8,3,1,2,,5,6,1,3,5,1,,11,"Bortz, Tiffany A","Chaturvedi, Sneha",,,,,tabortz,tiffany bortz
ACCT,3341,001,2,5,4,7,2,2,1,5,2,,,,1,9,1,,12,"Goodrich, Mary Beth W","Pham, Michelle D",,,,,nataraj,ramachandra natarajan
ACCT,3341,002,1,2,4,1,2,2,1,,1,,,,,4,,,2,"Goodrich, Mary Beth W","Pham, Michelle D",,,,,dac101000,daniel cohen
ACCT,3341,501,,6,6,9,2,2,1,1,,,,,2,2,,,2,"Natarajan, Ramachandran","Pham, Michelle D",,,,,srp065000,stephanie poindexter swaim
ACCT,3350,001,2,2,3,7,8,,,2,,,,,,3,,,4,"Solcher, Steven J","Kim, Eun Sean",,,,,sjs107020,steven solcher
ACCT,3350,002,3,3,6,3,11,5,7,1,,,1,,,3,,,0,"Solcher, Steven J","Kim, Eun Sean",,,,,ncg160030,nathan goldman
ACCT,3350,501,3,6,7,5,3,2,1,,1,,,1,,1,,,0,"Gamino, John P",,,,,,jpg140630,john gamino
ACCT,4301,501,1,1,,1,3,1,2,,3,1,1,1,,,2,,0,"Hagen, John C","Shah, Dhruv Rakesh",,,,,jch013200,john hagen
ACCT,4302,PP1,11,3,11,1,1,,,,,,,,,,,,0,"Markov, Stanimir","Holstead, Cameron",,,,,sxm079200,stanimir markov
ACCT,4302,PP2,8,2,16,4,1,,,,,,,,,4,,,0,"Markov, Stanimir","Holstead, Cameron",,,,,sxm079200,stanimir markov
