Subject,Catalog Number,Section,A+,A,A-,B+,B,B-,C+,C,C-,D+,D,D-,F,P,CR,NC,I,W,Instructor 1,Instructor 2,Instructor 3,Instructor 4,Instructor 5,Instructor 6,instructor_id,instructor_name_normalized
ACCT,6320,0W1,,9,2,2,,3,2,,,,,,2,,,,,1,"Cavusoglu, Huseyin","Zhu, Yan",,,,,huseyin,huseyin cavusoglu
ACCT,6321,SS1,,5,9,5,5,5,1,,,,,,,,,,,1,"Scott, James A",,,,,,jas076100,james scott
ACCT,6330,501,,14,,2,9,1,,6,,,,,2,,,,,3,"Cready, William M","Chen, Hangu",,,,,wmc041000,william cready
ACCT,6330,SS1,,18,,,8,2,,4,,,,,,,,,,1,"Zhang, Yuan","Chen, Hangu",,,,,yxz122931,yuan zhang
ACCT,6331,501,,9,13,8,2,,,,,,,,,,,,,2,"Janakiraman, Surya","Liu, Ruichao",,,,,suryaj,surya janakiraman
ACCT,6331,SS1,,4,3,4,2,,,,,,,,,,,,,0,"Janakiraman, Surya","Liu, Ruichao",,,,,suryaj,surya janakiraman
ACCT,6332,501,,3,,1,8,,,5,,,,,2,,,,,6,"Karnuta, Daniel","Tosto, Juliet J",,,,,dxk173030,daniel karnuta
ACCT,6333,501,,12,,,13,,,8,,,,,1,,,,,5,"Zolton, Kathy","Ai, Lanru",,,,,kxz121730,kathy zolton
ACCT,6333,PPA,,26,,,18,,,15,,,,,,,,,,1,"Zolton, Kathy","Ai, Lanru",,,,,kxz121730,kathy zolton
ACCT,6333,SS1,,4,,,5,,,4,,,,,,,,,,0,"Zolton, Kathy","Ai, Lanru",,,,,kxz121730,kathy zolton
ACCT,6334,0W1,,9,,,16,,,5,,,,,,,,,,3,"Linsteadt, Chris C",,,,,,ccl019000,chris linsteadt
ACCT,6335,0W1,,13,14,13,6,2,5,4,,,,,2,,,,,0,"Bortz, Tiffany A","Tosto, Juliet J",,,,,tabortz,tiffany bortz
ACCT,6335,SS1,,6,,2,5,,1,,,,,,,,,,,2,"Bortz, Tiffany A",,,,,,tabortz,tiffany bortz
ACCT,6336,001,,15,13,1,2,1,1,2,,,,,,,,,,0,"Mauriello, Joseph A","Deokar, Shraddha V",,,,,jam151430,joseph mauriello
ACCT,6341,501,,19,,8,3,,,,,,,,,,,,,0,"Goodrich, Mary Beth W","Udolisa, Odera R",,,,,goodrich,mary beth goodrich
ACCT,6344,001,,5,4,8,4,2,,1,,,,,,,,,,1,"Bowen, Richard M","Udolisa, Odera R",,,,,rxb073100,richard bowen
ACCT,6344,0W1,,16,18,13,6,2,,,,,,,,,,,,0,"Gurun, Umit","Gu, Dongdi",,,,,ugg041000,umit gurun
ACCT,6345,501,,5,6,6,3,1,,,,,,,,,,,,0,"Janakiraman, Surya","Liu, Ruichao",,,,,suryaj,surya janakiraman
ACCT,6350,501,,10,9,,2,,,,,,,,,,,,,0,"Solcher, Steven J","Figueroa, Diego A",,,,,sjs107020,steven solcher
ACCT,6350,SS1,,2,,4,7,,2,,,,,,,,,,,2,"Gamino, John P",,,,,,jpg140630,john gamino
ACCT,6353,501,,11,25,6,2,,,,,,,,1,,,,,2,"Solcher, Steven J","Figueroa, Diego A",,,,,sjs107020,steven solcher
ACCT,6354,501,,3,4,3,3,2,2,1,,,,,,,,,,0,"Pang, Wenjin","Deininger, Sarah A",,,,,wxp042000,wenjin pang
ACCT,6356,501,,36,1,3,2,,,1,,,,,,,,,,0,"Gamino, John P",,,,,,jpg140630,john gamino
ACCT,6365,501,,14,9,13,11,3,3,1,,,,,,,,,,5,"Cheng, Samuel",,,,,,sxc109021,samuel cheng
ACCT,6365,SS1,,3,,1,4,4,,1,,,,,,,,,,0,"Cheng, Samuel",,,,,,sxc109021,samuel cheng
ACCT,6374,PPA,,34,17,4,3,2,,,,,,,,,,,,0,"Mauriello, Joseph A","Deokar, Shraddha V",,,,,jam151430,joseph mauriello
ACCT,6377,501,,8,9,8,4,1,,,,,,,,,,,,1,"Ballew, Gregory E",,,,,,geb011100,gregory ballew
ACCT,6380,501,,6,2,7,1,1,,,,,,,,,,,,0,"Mauriello, Joseph A","Adams, Veronica L","Deokar, Shraddha V",,,,jam151430,joseph mauriello
ACCT,6383,501,,21,,8,13,1,,3,,,,,1,,,,,1,"Bracy, Dana","Deininger, Sarah A",,,,,dxb016100,dana bracy
ACCT,6386,001,,15,9,6,3,3,2,,,,,,1,,,,,0,"Mauriello, Joseph A","Adams, Veronica L","Deokar, Shraddha V",,,,jam151430,joseph mauriello
ACCT,6392,501,,6,2,5,5,,,,,,,,,,,,,1,"Mauriello, Joseph A","Adams, Veronica L","Deokar, Shraddha V",,,,jam151430,joseph mauriello
ACN,6312,003,,8,,6,7,,,1,,,,,1,,,,,1,"Atchison, Kristin J","Batchalli Maruthy, Gayathri",,,,,kja042000,kristin atchison
ACN,6323,001,,9,,,4,,,,,,,,1,,,,,0,"Rennaker, Robert L",,,,,,rlr091000,robert rennaker
ACN,6340,001,,14,8,1,1,1,2,,,,,,,,,,,2,"Kroener, Sven",,,,,,sxk101000,sven kroener
ACN,6341,0W1,,22,1,,,1,,,,,,,1,,,,,0,"Orrick, Erika D",,,,,,edo042000,erika orrick
ACN,6345,001,,12,6,5,2,2,2,,,,,,,,,,,0,"Rodriguez, Christa M",,,,,,cmr067000,christa rodriguez
ACN,6346,001,,36,5,3,2,,1,,,,,,,,,,,4,"Thompson, Lucien",,,,,,tres,lucien thompson
ACN,6367,501,,3,7,2,,,,,,,,,,,,,,2,"Assmann, Peter",,,,,,assmann,peter assmann
ACN,6373,0W1,,28,,2,3,,,,,,,,,,,,,2,"Overzet, Kathryn M",,,,,,kmo053000,kathryn overzet
ACN,6388,001,,10,1,1,1,1,1,,,,,,1,,,,,7,"Kilgard, Michael",,,,,,kilgard,michael kilgard
ACN,6395,001,,16,,,5,,,5,,,,,1,,,,,0,"Wig, Gagandeep S",,,,,,gsw130130,gagandeep wig
ACN,6395,0W1,,22,6,1,1,,,,,,,,2,,,,,0,"Hooge, Kimberley O",,,,,,koh170030,kimberley hooge
ACN,7372,001,,11,,2,,,,,,,,,,,,,,1,"Rodrigue, Karen M",,,,,,kmr082000,karen rodrigue
ACTS,4303,001,5,3,4,3,1,4,1,3,1,,,,,,,,,0,"Makhijani, Neha","Degefu, Demisew G",,,,,nxm165130,neha makhijani
ACTS,4304,001,2,2,2,6,12,3,2,,2,,1,,1,,,,,0,"Humphreys, Natalia A","Bal, Sabindra Singh",,,,,nah103020,natalia humphreys
ACTS,4307,001,4,6,3,9,1,1,1,,,,,,1,,,,,0,"Hong, Liang",,,,,,lxh019000,liang hong
ACTS,4308,001,6,3,,2,,3,3,,,1,3,,4,,,,,0,"Makhijani, Neha","Yang, Haopeng",,,,,nxm165130,neha makhijani
ACTS,4309,001,2,,,7,5,7,2,1,,,,,1,,,,,0,"Humphreys, Natalia A","Nadhomi, Timothy",,,,,nah103020,natalia humphreys
AHST,1304,001,21,23,20,7,8,13,4,4,3,1,1,4,6,,,,,0,"Alibhai, Ali Asgar H","Anderson, Linda K","Dunbar, Amanda R",,,,aha180002,ali asgar alibhai
AHST,1304,002,20,29,20,8,8,7,3,6,3,,2,2,4,,,,,3,"Alibhai, Ali Asgar H","Dunbar, Amanda R",,,,,aha180002,ali asgar alibhai
AHST,2331,001,27,34,28,17,22,13,5,4,2,2,,,17,,,,,7,"Rosen, Mark S","Cai, Rebecca","Sahin, Merve","Prakash, Arya",,,mxr088000,mark rosen
AHST,2331,HN1,14,7,4,,,,,,,,,,,,,,,0,"Hofland, Amy",,,,,,axh190029,amy hofland
AHST,3318,001,,10,5,3,4,4,2,3,2,1,2,,3,,,,,2,"Terranova, Charissa",,,,,,cxt074100,charissa terranova
AHST,3320,001,22,11,8,,,,,,,,,1,2,,,,,0,"Alibhai, Ali Asgar H",,,,,,aha180002,ali asgar alibhai
AMS,2341,001,,14,9,15,17,5,3,2,,,,,3,,,,,1,"Naqvi, Syed K",,,,,,skn180000,syed naqvi
AMS,2341,HN1,,11,4,1,4,1,,,,1,,,1,,,,,1,"Smith, Erin",,,,,,erins,erin smith
AMS,3316,0W1,19,10,8,6,1,1,,1,1,,,,2,,,,,1,"Winstead, Elizabeth L",,,,,,lwm061000,elizabeth winstead
AMS,4300,5H1,7,2,,1,,1,,,,,,,1,,,,,0,"Ross, Alyssa N",,,,,,anr161130,alyssa ross
AMS,4305,5H1,,1,2,4,1,1,,,,,,,1,,,,,0,"Cotton, Scott C",,,,,,sxc024200,scott cotton
AMS,4327,0W1,23,12,4,,1,2,,,2,,,,4,,,,,2,"Winstead, Elizabeth L",,,,,,lwm061000,elizabeth winstead
AMS,4379,0W1,,4,1,1,1,5,3,,2,1,,,5,,,,,4,"Hudson, Jennifer M",,,,,,jxh100220,jennifer hudson
ARAB,1311,001,4,13,,3,1,,,2,,,,,1,,,,,0,"Anjum, Zafar",,,,,,zxa110730,zafar anjum
ARHM,1100,001,26,11,2,5,7,3,2,5,3,4,2,,5,,,,,2,"Gray, Megan L",,,,,,mlg105020,megan gray
ARHM,2340,001,8,4,,,3,2,,,,,,,2,,,,,0,"Avram, Danielle M",,,,,,avram,danielle avram
ARHM,3342,001,,7,2,,6,1,,3,,,,,,,,,,2,"Riccio, Thomas P",,,,,,txr033000,thomas riccio
ARHM,3342,002,3,9,2,,3,1,1,1,,,,,3,,,,,0,"Evans, Kathryn C",,,,,,kcevans,kathryn evans
ARHM,3342,501,3,6,2,1,,,,,,,,,3,,,,,1,"Pfister, Debra H",,,,,,dhpf,debra pfister
ARHM,6310,001,,4,6,6,3,,,2,,,,,,,,,,1,"Brown, Matthew","Hatfield, Charles D",,,,,mxb091000,matthew brown
ARTS,1301,001,44,23,10,8,2,5,2,2,2,,1,,4,,,,,2,"Wilder, James E","Alanis Perez, Alan Isaac",,,,,jew042000,james wilder
ARTS,1301,002,45,38,6,3,5,2,,2,,,1,1,,,,,,1,"Wilder, James E","Ivey, Tinamarie",,,,,jew042000,james wilder
ARTS,1316,001,5,7,3,3,,1,,,,,,,,,,,,0,"Min, Inki A",,,,,,iam140230,inki min
ARTS,1316,002,3,2,7,3,1,,,1,,,,,,,,,,2,"Booker, Rebecca M",,,,,,pdb041000,rebecca booker
ARTS,1316,003,2,9,8,,,,,,,,,,,,,,,0,"Fridge, Brian D",,,,,,bdf081000,brian fridge
ARTS,1316,005,5,7,2,2,,,,,,,,,,,,,,2,"Travis, Audrey",,,,,,axt190092,audrey travis
ARTS,2316,001,,3,7,3,3,,,,,,,,1,,,,,0,"Ligon, Peter A",,,,,,pal140130,peter ligon
ARTS,2316,501,,7,4,,1,,,1,,,,,1,,,,,2,"Egan, Trey T",,,,,,tte150130,trey egan
ARTS,2348,001,9,4,3,,1,,,1,1,,,,,,,,,0,"Williams, Thomas E",,,,,,tew210002,thomas williams
ARTS,2350,001,,5,,,3,1,1,1,,,,,1,,,,,4,"Copeland, Colette",,,,,,cxc132230,colette copeland
ARTS,2380,001,1,9,2,2,,2,,,,1,,,2,,,,,0,"Egan, Trey T",,,,,,tte150130,trey egan
ARTS,2380,501,7,5,,2,1,,1,,,,,,2,,,,,0,"Reyes, Marcela",,,,,,mxr116430,marcela reyes
ARTS,2381,001,3,8,1,,,,,,,,,,,,,,,0,"Hanson, Lily",,,,,,,lily hanson
ARTS,3311,001,5,3,,2,,2,,1,1,,,,3,,,,,1,"Copeland, Colette",,,,,,cxc132230,colette copeland
ARTS,3315,001,11,,,,,1,,,,,,,1,,,,,1,"Curry, Val",,,,,,vxc110930,val curry
ARTS,3341,001,,14,,,1,,,,,,,,,,,,,0,"Shi, Carle",,,,,,cxs174230,carle shi
ARTS,3363,001,1,12,1,,,2,1,1,,,1,,,,,,,0,"Tady, Lorraine T",,,,,,ltt042000,lorraine tady
ARTS,3364,001,4,9,,1,,,,1,,,,,,,,,,0,"Williams, Thomas E",,,,,,tew210002,thomas williams
ARTS,3366,501,1,7,6,3,,1,,,,,,,1,,,,,0,"Etter, Ian",,,,,,ixe200004,ian etter
ARTS,3367,001,4,5,9,,,,,,,,,,,,,,,0,"Fridge, Brian D",,,,,,bdf081000,brian fridge
ARTS,3367,002,,10,,4,3,,,,,,,,1,,,,,0,"Shi, Carle",,,,,,cxs174230,carle shi
ARTS,3368,001,9,2,,1,1,,,,,,,,,,,,,1,"Reyes, Marcela",,,,,,mxr116430,marcela reyes
ARTS,3369,001,2,5,,,1,,,2,,,,1,1,,,,,0,"Tady, Lorraine T",,,,,,ltt042000,lorraine tady
ARTS,3371,001,,9,5,2,,,,,,,,,,,,,,0,"Durant, Stephanie D",,,,,,ddm043000,stephanie durant
ARTS,3372,001,,10,6,,,,,,,,,,2,,,,,0,"Loving, Emily",,,,,,exl097120,emily loving
ARTS,3372,002,1,5,6,,3,,1,1,,,,,1,,,,,0,"Miller, Cynthia M",,,,,,cmm016900,cynthia miller
ARTS,3375,001,3,6,2,3,,,,,,,,,,,,,,1,"Randall, Steven V",,,,,,,steven randall
ARTS,3377,001,2,6,3,2,2,,2,,,,,,,,,,,0,"Waligore, Marilyn A",,,,,,waligore,marilyn waligore
ARTS,3379,001,,5,8,1,2,1,,,,,,,1,,,,,0,"Palmer, Marcy A",,,,,,mxp070100,marcy palmer
ARTS,3379,501,,8,1,1,,,,,,,,,1,,,,,1,"Loving, Emily",,,,,,exl097120,emily loving
ARTS,3382,001,1,8,1,,1,,,,1,,,,,,,,,1,"Tady, Lorraine T",,,,,,ltt042000,lorraine tady
ARTS,3383,001,,5,8,1,1,1,,,2,,,,1,,,,,0,"Etter, Ian",,,,,,ixe200004,ian etter
ARTS,4308,001,5,8,,1,1,,,,,,,,1,,,,,0,"Durant, Stephanie D",,,,,,ddm043000,stephanie durant
ARTS,4368,001,6,10,,,,,,,,,,,,,,,,0,"Pomara, John",,,,,,pomara,john pomara
ATCM,1100,001,11,1,,5,1,5,1,,1,1,3,1,9,,,,,1,"Scoggins, Angela T",,,,,,,angela scoggins
ATCM,1100,002,13,,,6,1,,,2,2,3,1,2,6,,,,,0,"Scoggins, Angela T",,,,,,,angela scoggins
ATCM,1100,003,20,6,5,,,2,3,,1,,,,,,,,,2,"Gutierrez, Alejandra",,,,,,axg173831,alejandra gutierrez
ATCM,1100,004,16,9,3,2,2,2,1,,2,,,,3,,,,,0,"Gutierrez, Alejandra",,,,,,axg173831,alejandra gutierrez
ATCM,1100,501,23,3,2,,2,2,,,1,,,1,5,,,,,0,"Henderson, Kelley A",,,,,,kah111020,kelley henderson
ATCM,2300,001,,251,12,19,30,,,13,,,3,1,7,,,,,7,"Balsamo, Anne","Pietsch, Samuel R","Lee, Yueh-Jung","Chowdhury, Nusrat Zahan","Martinez Ochoa, Angelica Miriam M","Haborak, Fiona K",axb161831,anne balsamo
ATCM,2301,001,3,4,7,6,3,3,2,,1,,,,3,,,,,0,"Jones, Jazmine Q",,,,,,jqj130030,jazmine jones
ATCM,2301,002,5,5,5,5,3,,,,,,1,,1,,,,,1,"Grasham, Morgan A",,,,,,,morgan grasham
ATCM,2301,003,2,6,7,4,2,2,4,,1,,,,,,,,,1,"Grasham, Morgan A",,,,,,,morgan grasham
ATCM,2301,004,4,6,5,1,4,2,,,,2,1,1,4,,,,,0,"Monjoree, Uttamasha",,,,,,,uttamasha monjoree
ATCM,2301,005,4,4,3,3,1,2,,1,1,,,,4,,,,,2,"Trosper, Elizabeth M","Banditrat, Emily",,,,,emt130130,elizabeth trosper
ATCM,2301,006,4,8,5,2,1,,2,,,,,,4,,,,,1,"Trosper, Elizabeth M","Banditrat, Emily",,,,,emt130130,elizabeth trosper
ATCM,2301,007,19,1,2,1,,,,,,,,,4,,,,,2,"Hoggatt, Zane C",,,,,,,zane hoggatt
ATCM,2301,008,11,3,6,2,,1,1,2,,,,,4,,,,,0,"Hoggatt, Zane C",,,,,,,zane hoggatt
ATCM,2301,501,5,4,2,1,1,3,3,,,,,,7,,,,,2,"Nguyen, Tuoc K",,,,,,tkn180000,tuoc nguyen
ATCM,2301,502,5,5,5,2,2,3,1,,2,1,1,,2,,,,,1,"Nguyen, Tuoc K",,,,,,tkn180000,tuoc nguyen
ATCM,2302,001,8,7,2,,1,,1,3,3,,1,,2,,,,,1,"Beverly, Diamond E",,,,,,deb180004,diamond beverly
ATCM,2302,002,4,2,5,2,3,1,3,1,,,1,,4,,,,,4,"Bagherzadeh, Elmira",,,,,,,elmira bagherzadeh
ATCM,2302,003,7,5,2,1,,3,,2,1,1,2,,6,,,,,0,"Asgharpour, Maedeh",,,,,,mxa180053,maedeh asgharpour
ATCM,2302,004,7,9,5,2,,2,,1,1,,,,3,,,,,0,"Minnish, Roxanne W","Ashkaboosi, Maryam",,,,,rwm061000,roxanne minnish
ATCM,2302,005,3,11,2,3,6,1,1,,2,,,,1,,,,,0,"Minnish, Roxanne W","Ashkaboosi, Maryam",,,,,rwm061000,roxanne minnish
ATCM,2302,006,7,10,4,3,,,1,,,2,1,1,,,,,,0,"Minnish, Roxanne W","Ashkaboosi, Maryam",,,,,rwm061000,roxanne minnish
ATCM,2302,007,10,4,2,2,,,,3,,2,1,,6,,,,,0,"Asgharpour, Maedeh",,,,,,mxa180053,maedeh asgharpour
ATCM,2302,501,6,6,5,3,1,,1,,1,,,1,3,,,,,2,"Gonzalez, Isi J",,,,,,ijg190000,isi gonzalez
ATCM,2302,502,10,1,3,5,2,,1,,1,1,,2,2,,,,,0,"Gonzalez, Isi J",,,,,,ijg190000,isi gonzalez
ATCM,2303,002,25,27,31,25,14,12,8,3,2,,,,4,,,,,1,"Boyd, Elizabeth","Wu, Benjamin","Denner, Grace A",,,,esp041000,elizabeth boyd
ATCM,2310,001,86,42,35,17,15,15,3,3,8,,4,3,19,,,,,17,"Salter, Monika M","Lewis, Timothy M","Caldwell, Bryon A","McCord, Peter A","Camacho, Christopher J",,mxs176131,monika salter
ATCM,2315,001,11,11,29,13,7,8,2,6,1,2,1,,5,,,,,2,"Veras de Souza, Christine","Mcclanahan, Sara",,,,,,christine veras de souza
ATCM,2320,001,,2,6,6,6,1,1,1,,2,,,1,,,,,2,"Imaoka, Laura",,,,,,lxi170030,laura imaoka
ATCM,2321,001,,8,13,2,3,,1,,1,,1,,,,,,,1,"Mulla, Ayesha",,,,,,axm190114,ayesha mulla
ATCM,2321,002,,5,6,5,1,6,,1,,,1,,4,,,,,0,"Llamas Rodriguez, Juan A",,,,,,jal171330,juan llamas rodriguez
ATCM,2322,001,1,21,11,7,10,2,5,5,1,1,1,1,10,,,,,1,"Bell, Elizabeth A","Shukla, Nishanshi A","Simsek, Cansu Nur",,,,,elizabeth bell
