Subject,Catalog Number,Section,A+,A,A-,B+,B,B-,C+,C,C-,D+,D,D-,F,W Total,CR,I,NC,P,Instructor 1,Instructor 2,Instructor 3,Instructor 4,Instructor 5,Instructor 6,instructor_id,instructor_name_normalized
GEOS,3470,001,4,,2,2,1,1,,,1,,,,,0,,,,,"Pirouz, Mortaza","Johnson, Samuel P",,,,,mxp180004,mortaza pirouz
ENGY,3340,001,3,3,4,1,,,,,,,,,,0,,,,,"Molina, Stephen",,,,,,sxm163630,stephen molina
JAPN,3312,001,1,3,2,1,,1,,1,,,,1,1,0,,,,,"Kroska, Nami",,,,,,nxk167330,nami kroska
SE,4348,001,,,,4,1,2,,2,1,,,,1,0,,,,,"Ozbirn, Greg A","Mi, Feng",,,,,ozbirn,greg ozbirn
EE,3101,104,,4,2,,1,,2,1,,,,1,,0,,,,,"Heins, Matthew S","Thakur, Sneha",,,,,msh130130,matthew heins
CS,6301,003,,11,,,,,,,,,,,,0,,,,,"Thuraisingham, Bhavani",,,,,,bxt043000,bhavani thuraisingham
RMIS,3370,002,,1,1,1,2,1,2,1,,,1,,1,0,,,,,"Kaplan, Larry S",,,,,,lsk140130,larry kaplan
COMD,7V82,0W1,,10,1,,,,,,,,,,,0,,,,,"Walsh, Diane G",,,,,,dxg022000,diane walsh
PA,6344,501,,11,,,,,,,,,,,,0,,,,,"Benavides, Teodoro J",,,,,,tjb051000,teodoro benavides
ATCM,3381,001,,4,2,,1,1,,1,,1,,,1,0,,,,,"Drogos, Kristin L",,,,,,kld140230,kristin drogos
CE,6304,001,,,4,4,3,,,,,,,,,0,,,,,"Shakhakarmi, Niraj","Goswami, Pingakshya","Kong, Zelun",,,,,niraj shakhakarmi
FIN,4307,001,,11,,,,,,,,,,,,0,,,,,"Furst, Jack D",,,,,,jdf170030,jack furst
ACTS,6305,501,,2,3,2,4,,,,,,,,,0,,,,,"Lu, Wenyi",,,,,,wxl153330,wenyi lu
OBHR,4336,001,3,2,3,,,1,,1,,,1,,,0,,,,,"Campbell, Michael",,,,,,,michael campbell
CE,3345,003,1,,4,3,1,1,,,,,,,1,0,,,,,"Chida, Anjum",,,,,,axc157030,anjum chida
COMD,7384,501,,11,,,,,,,,,,,,0,,,,,"Lombardi, Christina L",,,,,,tinalee,christina lombardi
CE,3301,001,,3,1,,2,,1,2,,,1,,1,0,,,,,"Helms, Robert","Palit, Prithviraj",,,,,rxh033000,robert helms
BIOL,6344,001,,5,3,3,,,,,,,,,,0,,,,,"Du, Heng","Srikanth, Uma","Tian, Jing",,,,hxd131030,heng du
ISIS,3309,001,1,2,2,1,1,,1,2,,,1,,,0,,,,,"Salter, Elizabeth",,,,,,emsalter,elizabeth salter
HONS,3112,HN1,6,3,,,,1,,,,,,,1,0,,,,,"Kaplan, Marilyn R",,,,,,mkaplan,marilyn kaplan
BIS,3320,005,,1,2,2,5,,,,,,,,1,0,,,,,"Pogue, Neall W",,,,,,nxp174730,neall pogue
EE,3120,101,,7,,,2,,,1,,,,,1,0,,,,,"Zhou, Dian","Wang, Xianan",,,,,zhoud,dian zhou
SCI,5338,5H1,,11,,,,,,,,,,,,0,,,,,"Taylor, Stephanie M",,,,,,smt031000,stephanie taylor
REAL,3305,002,,1,,,3,2,,2,,,3,,,0,,,,,"Guttery, Randall",,,,,,rxg112530,randall guttery
FIN,6323,501,,3,3,2,3,,,,,,,,,0,,,,,"Crumpecker, Brad",,,,,,bxc122130,brad crumpecker
SE,6361,001,,3,4,1,3,,,,,,,,,0,,,,,"Chung, Lawrence","Ahn, Sung Soo",,,,,chung,lawrence chung
CHEM,4473,001,,1,1,1,2,1,,3,2,,,,,0,,,,,"Goux, Warren J","Welch, Raymond P","Calubaquib, Erika Joy",,,,wgoux,warren goux
OPRE,6368,PW1,,8,,,3,,,,,,,,,0,,,,,"Szot, James","Rajamani, Divakar",,,,,,james szot
MKT,4336,501,6,1,2,2,,,,,,,,,,0,,,,,"Schofield, Joyce",,,,,,jxs170002,joyce schofield
HIST,6365,001,,5,1,1,4,,,,,,,,,0,,,,,"Rankin, Monica A",,,,,,mar046000,monica rankin
COMD,7V86,001,,10,,,1,,,,,,,,,0,,,,,"Evans, Julia L",,,,,,jle130030,julia evans
RHET,4302,001,3,2,3,2,1,,,,,,,,,0,,,,,"King, Carie S",,,,,,cxl085200,carie king
DANC,2336,001,8,1,,,,,,,,,,,2,0,,,,,"Owens, Misty",,,,,,mxo122530,misty owens
CE,2305,501,,3,1,,4,,,2,,1,,,,0,,,,,"Farage, Timothy P",,,,,,tfarage,timothy farage
CE,3354,003,2,,1,,,1,1,4,,1,,,1,0,,,,,"Paulk, Mark C","Mousavi, Pooneh",,,,,mcp130030,mark paulk
THEA,3342,501,,10,,,1,,,,,,,,,0,,,,,"Lingo, Kathy A",,,,,,klingo,kathy lingo
BA,4V00,001,,9,2,,,,,,,,,,,0,,,,,"Lewin, Peter",,,,,,plewin,peter lewin
SE,3345,501,,2,,,4,1,1,1,1,,,,1,0,,,,,"Khan, Ziaullah",,,,,,kkhan,ziaullah khan
ARTS,3371,002,1,2,4,,,1,1,1,,,1,,,0,,,,,"Durant, Stephanie D",,,,,,ddm043000,stephanie durant
