Subject,Catalog Number,Section,A+,A,A-,B+,B,B-,C+,C,C-,D+,D,D-,F,W Total,CR,I,NC,P,Instructor 1,Instructor 2,Instructor 3,Instructor 4,Instructor 5,Instructor 6,instructor_id,instructor_name_normalized
BIS,3190,0W2,13,6,5,,,2,1,,2,,,,,1,,,,,"Edwards, Christopher W","Robinson, Katie L",,,,,cwe011000,christopher edwards
PHYS,2126,106,14,13,,,,,,,,,,,2,1,,,,,"Macalevey, Paul J","Frazier, Gary A","Koirala, Pawan",,,,paulmac,paul macalevey
PHYS,2125,107,7,18,2,1,,,,1,,,,,,1,,,,,"Sun, Kuei","Wang, Qing",,,,,kxs147030,kuei sun
CHEM,1112,120,4,11,3,5,4,1,,,1,,,,,1,,,,,"Abeykoon, Nimali C","Abeyrathna, Nisansala S",,,,,nxa124430,nimali abeykoon
ATCM,2302,003,9,6,5,,,3,2,1,1,,,,2,1,,,,,"Minnish, Roxanne W","Brtis, Chelsea L",,,,,rwm061000,roxanne minnish
MKT,3330,006,14,6,3,2,2,1,1,,,1,,,,0,,,,,"Amirpour, Semiramis",,,,,,sxa130731,semiramis amirpour
PHYS,2126,117,12,14,2,1,,,,,,,,,1,0,,,,,"Macalevey, Paul J","Frazier, Gary A","Wang, Qiyue",,,,paulmac,paul macalevey
PHYS,2126,101,5,20,3,2,,,,,,,,,,0,,,,,"Macalevey, Paul J","Frazier, Gary A","Mueller, David H",,,,paulmac,paul macalevey
CHEM,2125,116,12,14,2,1,,,,,,,,1,,0,,,,,"Shah, Shailesh N","Ji, Ke",,,,,sns170230,shailesh shah
CHEM,1112,112,10,16,2,,1,,,,,,,,1,0,,,,,"Abeykoon, Nimali C","Faisal, Tahmid",,,,,nxa124430,nimali abeykoon
PSY,4324,001,2,10,8,3,1,5,1,,,,,,,0,,,,,"Brody, Salena M",,,,,,smb051000,salena brody
ED,4372,5H1,13,7,5,,2,2,,1,,,,,,0,,,,,"Mahmoud, Ramy A",,,,,,mahmoudr,ramy mahmoud
PHYS,2125,112,14,15,,,,,,,1,,,,,0,,,,,"Sun, Kuei","Talebi, Shawhin",,,,,kxs147030,kuei sun
PHYS,2125,603,8,17,2,1,2,,,,,,,,,0,,,,,"Sun, Kuei","Hathurusinghe Dewage, Prabuddha Madusanka",,,,,kxs147030,kuei sun
AMS,2300,001,1,5,4,6,3,1,4,3,1,,1,1,,0,,,,,"Pogue, Neall W",,,,,,nxp174730,neall pogue
CHEM,2123,101,10,14,6,,,,,,,,,,,0,,,,,"Shah, Shailesh N","Ma, Ziyuan",,,,,sns170230,shailesh shah
PHYS,2126,104,11,13,5,,,1,,,,,,,,0,,,,,"Macalevey, Paul J","Frazier, Gary A","Parajuli, Santosh",,,,paulmac,paul macalevey
PHYS,2125,601,5,21,2,1,1,,,,,,,,,0,,,,,"Sun, Kuei","Wang, Qing",,,,,kxs147030,kuei sun
PHYS,2125,115,2,27,,,1,,,,,,,,,0,,,,,"Sun, Kuei","Fernando, Bharana A",,,,,kxs147030,kuei sun
PHYS,2125,101,13,16,,,,1,,,,,,,,0,,,,,"Sun, Kuei","Ali, Saif",,,,,kxs147030,kuei sun
PHYS,2126,109,19,7,2,1,,,,,,,,,1,0,,,,,"Macalevey, Paul J","Frazier, Gary A","Parajuli, Santosh",,,,paulmac,paul macalevey
FIN,6301,CW1,,11,8,8,3,,,,,,,,,0,,,,,"Ghai, Rajesh",,,,,,rxg170730,rajesh ghai
PHYS,2125,604,12,16,1,1,,,,,,,,,,0,,,,,"Sun, Kuei","Sharon Felix, .",,,,,kxs147030,kuei sun
DANC,1310,0H1,1,19,4,2,2,2,,,,,,,,0,,,,,"Owens, Misty",,,,,,mxo122530,misty owens
PHYS,2125,127,11,17,1,,,1,,,,,,,,0,,,,,"Sun, Kuei","Khashami, Fatemeh",,,,,kxs147030,kuei sun
CHEM,1112,127,3,13,3,4,3,2,,,1,,1,,,0,,,,,"Tran, Daniel N","Youn, Jonghae",,,,,dnt019000,daniel tran
ATCM,3340,003,,12,9,2,5,1,,1,,,,,,0,,,,,"Wood, Harold G",,,,,,hgw021000,harold wood
HIST,3392,001,1,2,5,2,4,6,2,2,3,,1,1,1,0,,,,,"Schulze, Jeffrey",,,,,,jxs072200,jeffrey schulze
ATCM,3365,001,,1,9,6,9,3,,1,,1,,,,0,,,,,"Christopher, Daedra",,,,,,dxe093020,daedra christopher
ED,3315,002,,14,5,1,6,3,,1,,,,,,0,,,,,"Leek, Patricia A",,,,,,santine,patricia leek
PHYS,2126,115,17,9,2,1,,,,1,,,,,,0,,,,,"Macalevey, Paul J","Frazier, Gary A","Bukowski, Aaron",,,,paulmac,paul macalevey
ATCM,3301,503,1,7,4,3,1,2,2,1,3,1,1,1,3,0,,,,,"Keralis, Spencer D",,,,,,,spencer keralis
BA,3100,002,,26,1,1,,1,,,,,1,,,0,,,,,"Berardi, Caryn S",,,,,,cds110030,caryn berardi
EE,1202,002,2,6,5,2,2,1,2,1,3,,,1,5,0,,,,,"Cogan, Diana L",,,,,,dcc095020,diana cogan
CHEM,1112,117,11,12,3,2,,,,,1,,,,1,0,,,,,"Abeykoon, Nimali C","Abeyrathna, Nisansala S",,,,,nxa124430,nimali abeykoon
PHYS,2125,122,4,22,1,1,,2,,,,,,,,0,,,,,"Sun, Kuei","Agashe, Anish N",,,,,kxs147030,kuei sun
FIN,4313,001,11,9,7,2,1,,,,,,,,,0,,,,,"Molina, Stephen",,,,,,sxm163630,stephen molina
HMGT,3100,001,14,5,4,1,3,1,,,,,,1,1,0,,,,,"Newcomb, Rebecca G",,,,,,rgn100020,rebecca newcomb
FIN,6352,501,,10,3,4,7,3,,2,,,,,1,0,,,,,"Springate, David J",,,,,,spring8,david springate
ISIS,4V89,001,6,15,6,2,1,,,,,,,,,0,,,,,"Aubrey, Lea E",,,,,,lec110030,lea aubrey
PHYS,2125,102,14,14,2,,,,,,,,,,,0,,,,,"Sun, Kuei","Rahmanian Koshkaki, Saeed",,,,,kxs147030,kuei sun
HLTH,4108,001,20,7,2,,,,,,,,,,1,0,,,,,"Rainey, Anthony D",,,,,,doyen,anthony rainey
ATCM,2301,001,1,4,8,7,4,2,2,,1,,,1,,0,,,,,"Christopher, Daedra","Alzate, Catalina",,,,,dxe093020,daedra christopher
PHYS,2126,110,21,7,1,,,1,,,,,,,,0,,,,,"Macalevey, Paul J","Frazier, Gary A","Cailide, Christopher G",,,,paulmac,paul macalevey
BIOL,4350,001,,3,3,7,6,3,3,1,1,1,,1,1,0,,,,,"Ramirez, Ruben D",,,,,,rdr092000,ruben ramirez
CHEM,1112,106,3,14,5,3,2,2,,,1,,,,,0,,,,,"Tran, Daniel N","Namal Arachchilage, Chamni U",,,,,dnt019000,daniel tran
ATCM,3366,002,,16,3,,1,4,,,2,1,,1,2,0,,,,,"Wu, Hong An",,,,,,hxw173930,hong an wu
PHYS,2125,129,6,20,1,2,1,,,,,,,,,0,,,,,"Sun, Kuei","Zheng, Peng Peng",,,,,kxs147030,kuei sun
ATCM,2301,501,,1,12,5,3,4,2,1,1,,,,1,0,,,,,"Veras de Souza, Christine","Alzate, Catalina",,,,,,christine veras de souza
PHYS,2125,605,12,17,,,,,,,,,1,,,0,,,,,"Sun, Kuei","Javed, Umar",,,,,kxs147030,kuei sun
ATCM,3307,002,,2,4,6,7,5,1,1,1,,,,3,0,,,,,"McCord, Peter A",,,,,,pam062000,peter mccord
MIS,6323,001,,16,4,8,2,,,,,,,,,0,,,,,"Tang, Shaojie","Choudhary, Aarzoo",,,,,sxt146930,shaojie tang
CHEM,2125,104,17,12,1,,,,,,,,,,,0,,,,,"Cortes, Sergio J","Siddiki, A K M Nur Alam",,,,,scortes,sergio cortes
OBHR,3310,5E1,,1,9,3,9,4,2,,2,,,,,0,,,,,"Ritchey, Kemberly A",,,,,,kar014400,kemberly ritchey
CHEM,1112,109,7,12,,7,2,1,,1,,,,,,0,,,,,"Qin, Yanping","Morakabi, Katayoun",,,,,yxq083000,yanping qin
HUMA,3351,001,7,22,,,,,,1,,,,,,0,,,,,"Anjum, Zafar",,,,,,zxa110730,zafar anjum
CHEM,2123,104,16,11,3,,,,,,,,,,,0,,,,,"Cortes, Sergio J","Tague, Daniel W",,,,,scortes,sergio cortes
CHEM,2125,601,12,11,7,,,,,,,,,,,0,,,,,"Cortes, Sergio J","Bhadran, Abhi",,,,,scortes,sergio cortes
ATCM,3340,001,2,19,4,2,2,1,,,,,,,,0,,,,,"Wood, Harold G",,,,,,hgw021000,harold wood
CHEM,1112,133,7,18,5,,,,,,,,,,,0,,,,,"Tran, Daniel N","Mills, Kira R",,,,,dnt019000,daniel tran
PHYS,2126,108,10,16,4,,,,,,,,,,,0,,,,,"Macalevey, Paul J","Frazier, Gary A","Solanki, Rahulkumar",,,,paulmac,paul macalevey
ATCM,4330,002,,3,6,4,7,3,3,1,1,,,,2,0,,,,,"Burrough, Xtine","Asgharpour, Maedeh",,,,,cxb153930,xtine burrough
PHYS,2125,118,10,16,1,1,,1,,1,,,,,,0,,,,,"Sun, Kuei","Zhao, Xinyu",,,,,kxs147030,kuei sun
ATCM,3365,003,,2,14,7,1,1,1,2,2,,,,,0,,,,,"Christopher, Daedra",,,,,,dxe093020,daedra christopher
BIS,4306,0W2,1,6,3,2,3,,2,1,3,,,,9,0,,,,,"Simpson, Carrie M",,,,,,cms131030,carrie simpson
CHEM,1112,126,9,19,,1,1,,,,,,,,,0,,,,,"Huang, Yu","Faisal, Tahmid",,,,,yxh091220,yu huang
ATCM,2302,004,,1,8,6,6,1,1,,1,1,1,,4,0,,,,,"Veras de Souza, Christine","Brtis, Chelsea L",,,,,,christine veras de souza
CHEM,2125,117,19,6,5,,,,,,,,,,,0,,,,,"Wijenayake, Sumudu N","Diwakara Mohottalalage, Shashini Devika D",,,,,snw081000,sumudu wijenayake
CHEM,1112,113,4,14,5,2,1,1,,,1,,,,2,0,,,,,"Hashami, Zohreh","Page, Kierstin",,,,,zxh088000,zohreh hashami
CHEM,2125,605,13,11,6,,,,,,,,,,,0,,,,,"Cortes, Sergio J","Bhadran, Abhi",,,,,scortes,sergio cortes
COMD,6320,001,,29,,,1,,,,,,,,,0,,,,,"Smith, Irma E","Dean, Lucinda L",,,,,ieg011000,irma smith
PHYS,2125,123,16,12,2,,,,,,,,,,,0,,,,,"Sun, Kuei","Javed, Umar",,,,,kxs147030,kuei sun
HMGT,6331,CH1,,26,1,3,,,,,,,,,,0,,,,,"Jacob, Stephen",,,,,,,stephen jacob
EE,4389,001,,18,5,3,3,,,,,,,,1,0,,,,,"Skinner, Neal G",,,,,,skinner,neal skinner
CHEM,2125,106,7,14,8,1,,,,,,,,,,0,,,,,"Shah, Shailesh N","Hernandez, Jayoh A",,,,,sns170230,shailesh shah
CHEM,1112,108,1,16,6,2,3,1,,,,,,,1,0,,,,,"Abeykoon, Nimali C","Franciskovich, Matthew R",,,,,nxa124430,nimali abeykoon
MUSI,3322,001,2,10,3,1,6,1,1,5,1,,,,,0,,,,,"Evans, Kathryn C",,,,,,kcevans,kathryn evans
CHEM,1112,134,7,17,5,,,,,,,,,,1,0,,,,,"Dissanayake, Dushanthi S","Pope, Mitchell A",,,,,dxd122030,dushanthi dissanayake
FIN,6356,501,,6,8,6,3,2,4,1,,,,,,0,,,,,"Davis, Richard L",,,,,,rld170030,richard davis
ATCM,2321,001,,2,4,9,8,4,2,,1,,,,,0,,,,,"Imaoka, Laura",,,,,,lxi170030,laura imaoka
CHEM,2125,113,10,13,4,2,,1,,,,,,,,0,,,,,"Shah, Shailesh N","Diwakara Mohottalalage, Shashini Devika D",,,,,sns170230,shailesh shah
PHYS,2125,119,8,22,,,,,,,,,,,,0,,,,,"Sun, Kuei","Mahmud, Mohammad M",,,,,kxs147030,kuei sun
MKT,3300,5E1,2,7,7,5,5,3,,,1,,,,,0,,,,,"Meda, Edward","Tsai, Lin",,,,,exm150330,edward meda
MKT,6309,501,,17,5,6,2,,,,,,,,,0,,,,,"Li, Xiaolin","Kasaian, Keyvan",,,,,xxl157230,xiaolin li
PHYS,2125,602,2,22,2,1,1,,,,,1,,,1,0,,,,,"Sun, Kuei","Mishra, Aditya K",,,,,kxs147030,kuei sun
CHEM,2125,109,10,15,3,1,1,,,,,,,,,0,,,,,"Wijenayake, Sumudu N","Tajik Asl, Masoumeh",,,,,snw081000,sumudu wijenayake
MKT,3330,502,4,7,7,2,5,1,1,1,,,,1,1,0,,,,,"Gafford, Jerome M",,,,,,jmg171130,jerome gafford
LIT,2350,001,2,5,10,3,1,2,1,1,1,1,,,3,0,,,,,"Barnes, Ashley",,,,,,axb162631,ashley barnes
COMD,6377,001,,28,,,2,,,,,,,,,0,,,,,"Kenedi, Helen","Sale, Felicity F",,,,,kenedi,helen kenedi
ATCM,3350,501,5,9,6,4,2,2,,1,1,,,,,0,,,,,"Hewitt, Sharon","Mejia, Paulina M",,,,,sxh090220,sharon hewitt
CHEM,1112,123,14,14,,1,,1,,,,,,,,0,,,,,"Qin, Yanping","Faisal, Tahmid",,,,,yxq083000,yanping qin
ATCM,3337,001,1,14,5,4,2,4,,,,,,,,0,,,,,"Nazir, Cassini",,,,,,cassini,cassini nazir
CHEM,2125,103,18,10,2,,,,,,,,,,,0,,,,,"Cortes, Sergio J","Siddiki, A K M Nur Alam",,,,,scortes,sergio cortes
DANC,1310,0H2,1,16,5,1,3,1,,2,,,,,1,0,,,,,"Saba, Monica",,,,,,msaba,monica saba
CRIM,4322,5H1,,8,7,6,4,2,,1,1,,,,1,0,,,,,"Worrall, John L","Riddell, Jordan R",,,,,jlw064000,john worrall
CHEM,2125,602,2,17,8,2,1,,,,,,,,,0,,,,,"Panapitiya, Nimanka P","Bhadran, Abhi",,,,,npp081000,nimanka panapitiya
PHYS,2125,136,6,11,5,1,,3,1,1,,,,,2,0,,,,,"Sun, Kuei","Zanders, Alan P",,,,,kxs147030,kuei sun
ATCM,4380,001,1,6,9,8,1,2,1,,2,,,,,0,,,,,"Lee, Angela M",,,,,,aml140530,angela lee
CHEM,1112,135,14,9,4,,1,,,1,,,,,1,0,,,,,"Abeykoon, Nimali C","Youn, Jonghae",,,,,nxa124430,nimali abeykoon
COMD,7207,001,,19,,,1,,,,,,,,,0,,,,11,"Kenedi, Helen",,,,,,kenedi,helen kenedi
MATH,2418,308,,,,,,,,,,,,,,0,,,,,"Arnold, Maxim",,,,,,mxa149530,maxim arnold
MATH,2415,305,,,,,,,,,,,,,,0,,,,,"Makhijani, Neha",,,,,,nxm165130,neha makhijani
MATH,2418,313,,,,,,,,,,,,,,0,,,,,"Zhang, Yi",,,,,,,yi zhang
MATH,2415,301,,,,,,,,,,,,,,0,,,,,"Makhijani, Neha",,,,,,nxm165130,neha makhijani
MATH,2418,309,,,,,,,,,,,,,,0,,,,,"Pereira, Luis Felipe F",,,,,,lfp140030,luis felipe pereira
MATH,2415,306,,,,,,,,,,,,,,0,,,,,"Zweck, John W",,,,,,jwz120030,john zweck
MATH,2418,305,,,,,,,,,,,,,,0,,,,,"Arnold, Maxim",,,,,,mxa149530,maxim arnold
BIOL,3161,008,,8,2,1,4,3,,3,1,1,1,1,2,3,,1,,,"Taylor, Stephanie M",,,,,,smt031000,stephanie taylor
ACN,6373,001,,6,6,9,6,,,,,,,,,3,,,,,"Moller, Aage R",,,,,,amoller,aage moller
ACN,6338,001,,6,,,18,,,3,,,,,1,3,,,,,"Kennedy, Kristen M","Miranda, Giuseppe G",,,,,kmk082000,kristen kennedy
BIOL,2111,003,3,1,2,3,5,1,4,5,3,,1,,,2,,1,,,"Srikanth, Uma",,,,,,ukrish,uma srikanth
CS,4386,001,3,4,3,3,4,4,1,1,,,2,,3,3,,,,,"Gupta, Neeraj K","Fisher, Dakota J",,,,,nkg140130,neeraj gupta
BIOL,3455,306,,1,5,3,1,1,,4,,2,1,3,7,3,,,,,"Ramirez, Ruben D","Sarcar, Subha N","Karkar, Akash V","Ma, Timothy",,,rdr092000,ruben ramirez
EE,3102,103,12,5,3,3,2,,1,1,,,,,2,2,,,,,"Webb, Jennifer H","Azarang, Arian","Chandra Shekar, Ram Charan M",,,,jhw170130,jennifer webb
PHYS,3427,001,11,11,2,,3,1,1,,,,,,,2,,,,,"Frazier, Gary A",,,,,,gaf012000,gary frazier
IMS,6365,0W1,,15,2,7,4,1,,1,,,,,,1,,,,,"Woldu, Habte G","Dakshinamoorthy, Sowmika",,,,,wolduh,habte woldu
CS,3354,007,2,2,2,2,6,4,1,5,1,,1,2,2,1,,,,,"Marcus, Andrian","Mousavi, Pooneh",,,,,axm141731,andrian marcus
LIT,3330,001,4,7,5,4,3,4,1,1,,,,,1,1,,,,,"Lambert, Thomas M",,,,,,tml017100,thomas lambert
ACCT,4342,501,4,3,4,6,4,3,2,2,1,,,,1,1,,,,,"Hagen, John C","Farooqi, Shan A",,,,,jch013200,john hagen
ENTP,3320,001,,7,1,6,11,4,,1,,,,,,1,,,,,"Wright, Robert G",,,,,,rgw091000,robert wright
ATCM,2302,501,10,4,2,2,2,,3,1,2,,1,,3,1,,,,,"Li, Mary A","Brtis, Chelsea L",,,,,mae057000,mary li
ATCM,2301,003,5,7,10,2,4,,,1,1,,,,,1,,,,,"Christopher, Daedra","Alzate, Catalina",,,,,dxe093020,daedra christopher
BUAN,6337,0W1,,6,7,7,8,1,,1,,,,,,1,,,,,"Subramanian, Upender","Bhave, Ashutosh C",,,,,uxs092000,upender subramanian
ISIS,3335,001,5,6,6,6,1,4,,,,,,,3,0,,,,,"Rosa, Jonathan",,,,,,jxr172530,jonathan rosa
BCOM,4350,501,,6,5,8,8,4,,,,,,,,0,,,,,"Lookadoo, Kathryn","Tanabe, Takuma",,,,,kxl164330,kathryn lookadoo
OB,6301,PS1,,9,14,2,4,,1,1,,,,,,0,,,,,"Hicks, Jeffrey N",,,,,,jnh061000,jeffrey hicks
ATCM,3301,501,4,11,9,2,2,,,2,1,,,,,0,,,,,"Patino, Stephen D",,,,,,,stephen patino
CS,6301,503,,10,5,5,4,3,3,,,,,,1,0,,,,,"Redfern, Arthur","Mohammadpour, Somayeh",,,,,axr180074,arthur redfern
BIOL,2350,001,8,14,,1,6,,1,1,,,,,,0,,,,,"Sapozhnikov, Ilya",,,,,,isapoz,ilya sapozhnikov
OPRE,6355,001,,8,7,13,3,,,,,,,,,0,,,,,"Bolton, Gary","Katok, Elena M",,,,,gxb122130,gary bolton
NSC,4351,002,3,13,5,2,3,2,1,1,,,1,,,0,,,,,"Miller, Van S",,,,,,vxm077000,van miller
ACCT,6332,001,,13,,,6,,,9,,,,,3,0,,,,,"Zolton, Kathy","Anwer, Jordan J",,,,,kxz121730,kathy zolton
ITSS,4300,002,2,2,4,4,7,6,2,1,2,1,,,,0,,,,,"Calisir, Engin","Velugati, Jayanth Reddy",,,,,exc030100,engin calisir
ATCM,3301,002,10,11,8,,2,,,,,,,,,0,,,,,"Patino, Stephen D",,,,,,,stephen patino
OPRE,6301,SS1,,25,5,1,,,,,,,,,,0,,,,,"Sethi, Awanti",,,,,,asethi,awanti sethi
ATCM,2302,006,10,12,1,1,4,1,,1,1,,,,,0,,,,,"Minnish, Roxanne W","Brtis, Chelsea L",,,,,rwm061000,roxanne minnish
PHYS,4328,001,1,4,5,5,3,4,3,4,,,2,,,0,,,,,"Malko, Anton V","Stoikos, Evangelos",,,,,avm074000,anton malko
ATCM,2321,002,,2,5,7,9,4,2,2,,,,,,0,,,,,"Imaoka, Laura","Barr, Ivey B",,,,,lxi170030,laura imaoka
ATCM,4338,001,4,7,4,4,4,5,,1,,,,,2,0,,,,,"Farrar, Eric T",,,,,,etf091000,eric farrar
EE,3310,001,8,13,7,3,,,,,,,,,,0,,,,,"Frensley, William",,,,,,frensley,william frensley
BIOL,3456,301,2,10,2,1,3,3,5,1,1,3,,,,0,,,,,"Yu, Wen H",,,,,,why061000,wen yu
MATH,1314,001,1,2,1,2,2,3,3,2,2,2,1,,10,0,,,,,"McCary, Brady C",,,,,,bcm052000,brady mccary
MATH,2418,304,,,,,,,,,,,,,,0,,,,,"Dahal, Rabin",,,,,,rxd153030,rabin dahal
MATH,2418,306,,,,,,,,,,,,,,0,,,,,"Arnold, Maxim",,,,,,mxa149530,maxim arnold
MATH,2418,314,,,,,,,,,,,,,,0,,,,,"Zhang, Yi",,,,,,,yi zhang
MATH,2418,311,,,,,,,,,,,,,,0,,,,,"Pereira, Luis Felipe F",,,,,,lfp140030,luis felipe pereira
MATH,2418,312,,,,,,,,,,,,,,0,,,,,"Pereira, Luis Felipe F",,,,,,lfp140030,luis felipe pereira
MATH,2418,307,,,,,,,,,,,,,,0,,,,,"Arnold, Maxim",,,,,,mxa149530,maxim arnold
MATH,2414,019,1,3,,,1,1,8,3,2,,2,,8,3,,,,,"Westbury, Bruce W",,,,,,,bruce westbury
BMEN,2320,001,1,3,4,2,6,3,1,4,,,,,5,3,,,,,"Ren, Yao","Li, Wentao",,,,,,yao ren
HLTH,3305,002,,5,7,2,6,4,1,3,1,,,,1,2,,,,,"Stark, Azadeh T",,,,,,ats160030,azadeh stark
CS,4347,002,4,4,6,5,5,1,1,2,2,,,,,2,,,,,"Christiansen, Michael G","Chen, Simin",,,,,mgc013000,michael christiansen
BIOL,3455,304,3,6,2,3,2,4,,1,4,4,,1,,2,,,,,"Maitra, Meenakshi","Ramirez, Ruben D",,,,,mxm172731,meenakshi maitra
ITSS,4380,501,3,11,3,2,6,2,3,,,,,,1,1,,,,,"Owens, Dawn M","Singh, Tajinder",,,,,dmo130130,dawn owens
MATH,3312,001,4,4,2,3,3,2,2,4,3,2,2,,,1,,,,,"Arreche, Carlos","Goodson, Scott W",,,,,cxa171230,carlos arreche
BUAN,6346,501,,2,10,3,8,1,6,,,,,,1,1,,,,,"Cankaya, Hakki C","Tripathi, Aarohi",,,,,,hakki cankaya
OBHR,3310,003,2,2,4,7,7,3,2,2,1,,,,1,1,,,,,"Jun, Sora","Kim, Kyun",,,,,sxj177030,sora jun
MIS,6356,004,,5,19,3,4,,,,,,,,,1,,,,,"Thouin, Mark","Singh, Tajinder",,,,,mxt083000,mark thouin
BIOL,3456,303,2,5,4,10,2,1,3,1,,,1,,2,0,1,,,,"Yu, Wen H",,,,,,why061000,wen yu
BIOL,5440,001,,11,10,5,4,,,1,,,,,,1,,,,,"Delk, Nikki A",,,,,,nad140230,nikki delk
PSY,3338,001,,13,4,3,2,3,2,,3,,,,1,1,,,,,"Santrock, John W","Spence, Melanie",,,,,santrock,john santrock
BIOL,3456,304,,11,10,3,4,,2,,,,,1,,1,,,,,"Hill, Brenna R","Yu, Wen H","Dagupati, Venkatesh",,,,brh140230,brenna hill
BIOL,3456,302,3,6,8,4,3,2,1,1,2,,,1,,0,,1,,,"Yu, Wen H",,,,,,why061000,wen yu
BIOL,3456,801,3,8,4,2,5,5,,3,,1,,,1,0,,,,,"Sarcar, Subha N","Yu, Wen H","Venkitapathi, Sundharamani","Li, Yibo",,,sns064000,subha sarcar
EE,3350,002,,10,4,2,2,8,1,2,1,,1,1,,0,,,,,"Torlak, Murat","Baral, Ashwin Bhobani",,,,,torlak,murat torlak
MIS,6334,001,,10,6,5,7,4,,,,,,,,0,,,,,"Menon, Syam","Kumar, Jitendra",,,,,sxm021300,syam menon
BIS,3190,0W1,12,10,5,2,,,,,2,,1,,,0,,,,,"Edwards, Christopher W","Robinson, Katie L",,,,,cwe011000,christopher edwards
CS,1337,001,,6,,1,4,4,2,5,,1,4,1,4,0,,,,,"Arnold, Gordon L",,,,,,gxa120930,gordon arnold
PSY,3332,501,,3,3,2,9,5,,5,1,1,1,,2,0,,,,,"Shoaib, Amber","Smith, Olivia",,,,,,amber shoaib
BIOL,3162,007,2,7,2,3,2,5,1,3,3,2,1,,1,0,,,,,"Candas, Mehmet",,,,,,candas,mehmet candas
HIST,3387,501,4,11,,2,7,,,1,,,2,,5,0,,,,,"Bocchine, Kristin",,,,,,,kristin bocchine
GST,2300,001,,12,1,4,5,2,1,4,,,1,,2,0,,,,,"Werhnyak, Larissa",,,,,,lxw163630,larissa werhnyak
ACCT,3341,501,5,7,4,6,2,4,,3,1,,,,,0,,,,,"Sadka, Gil","Fan, Zhongwen","Chu, Yu Fang",,,,gxs143630,gil sadka
NSC,4366,002,3,5,10,4,3,4,1,,,1,1,,,0,,,,,"McWilliams, Steven P",,,,,,sxm127330,steven mcwilliams
PA,4345,001,,2,5,9,5,1,2,,,3,1,1,3,0,,,,,"Cohen, Galia",,,,,,gxc097120,galia cohen
ACCT,6343,0W1,,15,,,15,,,2,,,,,,0,,,,,"Johnson, Jennifer","Farooqi, Shan A",,,,,jxj091000,jennifer johnson
MIS,6337,501,,10,9,5,5,2,,1,,,,,,0,,,,,"Mauriello, Joseph A","Braughton, Caleb M",,,,,jam151430,joseph mauriello
MUSI,4118,501,,32,,,,,,,,,,,,0,,,,,"Ming, Adron",,,,,,axm167231,adron ming
ACCT,6305,501,,24,,2,6,,,,,,,,,0,,,,,"Loumioti, Maria","Hou, Liya",,,,,mxl175830,maria loumioti
MKT,4380,002,,11,9,5,6,,1,,,,,,,0,,,,,"Wu, Fang","Qian, Kun",,,,,fxw052000,fang wu
ATCM,2302,502,6,10,6,1,2,1,1,,,,2,,3,0,,,,,"Li, Mary A","Brtis, Chelsea L",,,,,mae057000,mary li
CS,6301,002,,9,11,7,3,1,,,,,,,1,0,,,,,"Raichel, Benjamin A",,,,,,bar150630,benjamin raichel
ATCM,2301,004,,6,4,4,5,3,3,3,,,1,1,2,0,,,,,"Nielsen, Christina R","Alzate, Catalina",,,,,crn022000,christina nielsen
BIOL,3161,007,3,,1,3,6,3,,3,2,3,2,,2,4,,1,,,"Taylor, Stephanie M",,,,,,smt031000,stephanie taylor
CS,4348,002,,2,4,3,3,3,4,3,1,,2,2,3,3,,,,,"Ozbirn, Greg A",,,,,,ozbirn,greg ozbirn
SOC,2305,0W1,8,14,,,7,,,,,,,,1,3,,,,,"Malek-Ahmadi, John H",,,,,,jhm110020,john malek ahmadi
OB,6350,CW1,,14,12,4,,,1,,,,,,,0,,2,,,"Hicks, Robert","Thomas, Pam",,,,,,robert hicks
ACCT,3332,501,,4,,3,6,,2,3,1,2,7,2,1,2,,,,,"Bortz, Tiffany A","Sarman, Patrick R",,,,,tabortz,tiffany bortz
FIN,3350,501,,8,8,4,4,,3,2,,,,2,,2,,,,,"Xia, Han (Victor)",,,,,,hxx110930,han (victor) xia
CS,3340,503,,7,9,5,3,,1,2,,,1,,3,2,,,,,"Nguyen, Nhut",,,,,,nhutnn,nhut nguyen
MECH,3105,103,7,7,3,8,2,1,,,3,,1,,,1,,,,,"Rios, Oziel","Sadeh, Sepehr",,,,,oxr106020,oziel rios
BPS,4305,008,3,1,7,8,3,3,3,,2,1,1,,,1,,,,,"Miller, Toyah L","Welbourne Eleazar, Miranda J",,,,,tlm140330,toyah miller
MATH,4302,001,4,9,1,8,2,2,1,3,,1,1,,,1,,,,,"Dabkowski, Mieczyslaw K","Rakotomalala, Diarisoa Mihaja Andriamanisa",,,,,mkd034000,mieczyslaw dabkowski
ACCT,6350,501,,10,3,7,5,2,1,3,,,,,1,1,,,,,"Wilson, William H",,,,,,whw041000,william wilson
CRIM,4311,0W1,,7,4,4,7,2,6,,1,,,,1,1,,,,,"Narvey, Chelsey",,,,,,cxn151330,chelsey narvey
ITSS,4300,501,,11,4,2,4,2,2,3,3,,,,1,1,,,,,"Thomas, Sunela","Zhao, Jinglin",,,,,sxt167730,sunela thomas
ECON,3330,501,,8,9,3,3,7,1,1,,,,,,0,,,,,"Earle, Doric E",,,,,,dee011000,doric earle
ACCT,6305,001,,23,,3,4,1,,,,,,,1,1,,,,,"Loumioti, Maria","Hou, Liya",,,,,mxl175830,maria loumioti
