Subject,Catalog Nbr,Section,A+,A,A-,B+,B,B-,C+,C,C-,D+,D,D-,F,CR,I,NC,W,P,Instructor 1,Instructor 2,Instructor 3,Instructor 4,Instructor 5,Instructor 6,instructor_id,instructor_name_normalized
OPRE,6V98,001,,,,,,,,,,,,,,,,,,27,"Fierst, John","Widdifield, David S",,,,,meb049000,monica brussolo
OPRE,7051,001,,,,,,,,,,,,,,,,,,14,"Sethi, Suresh P",,,,,,sethi,
OPRE,7353,001,,6,7,4,4,,,,,,,,,,,,,,"Wang, Yining",,,,,,milind,milind dawande
PA,2325,001,,9,1,,2,1,,,,,1,,,,,,,,"Benavides, Abraham",,,,,,mxs095000,meghna sabharwal
PA,2325,HN1,2,18,1,,,,,,,,,,,,,,,,"Harrington, James","Lee, Moonsoo",,,,,jxh134630,james harrington
PA,3333,0W1,17,4,5,2,2,,,1,,,,1,3,,,,,,"Zeraatpisheh, Abdollah",,,,,,tth130030,
PA,3355,001,,7,4,1,1,,1,,,,,,,,,,,,"Russell Murray, Allison R",,,,,,axr210032,allison russell
PA,3380,0W1,,15,2,2,,,,1,3,,,,,,,,,,"Suk, Jinju",,,,,,rvc140130,rashmi chordiya
PA,3382,001,,8,,,1,,,1,,,,,,,,,,,"McCaskill, John R",,,,,,jrm094020,john mccaskill
PA,4350,001,,4,2,2,1,,,1,,,,,,,,,,,"Russell Murray, Allison R",,,,,,jrm094020,john mccaskill
PA,4386,0W1,36,14,6,3,3,1,1,1,1,,,2,3,,,,,,"Maxwell, Sarah P",,,,,,spm092000,sarah maxwell
PA,6311,501,,18,,,,,,,,,,,,,,,,,"McCaskill, John R",,,,,,jrm094020,john mccaskill
PA,6313,501,,19,,,,,,,,,,,,,,,,,"McCaskill, John R","Pavel, Md Eyasin Ul Islam",,,,,tjb051000,teodoro benavides
PA,6320,501,,10,,1,,,,,,,,,,,1,,,,"McCandless, Sean",,,,,,jrm094020,john mccaskill
PA,6321,001,,10,,,,,,,,,,,,,,,,,"Benavides, Teodoro J",,,,,,tjb051000,teodoro benavides
PA,6345,501,,9,,,,,,,,,,,,,1,,,,"McCandless, Sean",,,,,,gxc097120,galia cohen
