Subject,Catalog Number,Section,A+,A,A-,B+,B,B-,C+,C,C-,D+,D,D-,F,W,Instructor 1,Instructor 2,Instructor 3,Instructor 4,Instructor 5,Instructor 6,instructor_id,instructor_name_normalized
OPRE,3310,0U1,10,6,2,7,5,2,,1,,,,,,1,"Zhang, Wen",,,,,,,wen zhang
BIOL,2111,0U1,3,10,8,6,4,,1,1,,,,,,1,"Candas, Mehmet",,,,,,candas,mehmet candas
CS,6385,0W2,,14,9,6,4,,,2,,,,,,0,"Gupta, Neeraj K","Li, Yi",,,,,nkg140130,neeraj gupta
EE,3301,0U1,4,8,2,2,6,1,2,2,,2,2,,4,0,"Tacca, Marco","Mitra, Arkadeep","Zhang, Tianliang","Gandluru, Veerabharathchandrareddy","Gharajeh, Abouzar",,mtacca,marco tacca
ENGR,3300,0U2,,9,1,5,8,1,3,7,,,1,,,0,"Ali, Mohammed Z","Upadhyay, Bhaskar R",,,,,mohammed,mohammed ali
BLAW,2301,5U1,,4,4,6,3,7,2,3,3,,1,,2,0,"Betanzos, Christina L",,,,,,clb120030,christina betanzos
FIN,6350,0W1,,9,7,4,12,2,,,,,,,1,0,"Reichert, Carolyn A",,,,,,carolyn,carolyn reichert
HMGT,6405,AH6,,30,2,,1,,,,,,,,2,0,"Kaiser, Robert C",,,,,,,robert kaiser
MKT,4334,5U1,4,12,4,5,3,2,,4,,1,,,,0,"Pacyna, Sandra",,,,,,sxp158130,sandra pacyna
MKT,6301,0W2,,8,3,4,14,6,,,,,,,,0,"Pahwa, Parneet","Roshangarzadeh, Reza",,,,,pxp030100,parneet pahwa
OB,6331,CW2,,34,,,,,,,,,,,,1,"Ferrante, Anne M",,,,,,,anne ferrante
OPRE,6301,5U1,,10,3,5,8,5,3,1,,,,,,0,"Brussolo, Monica E","Takasi, Venkanna Dora Goutham",,,,,meb049000,monica brussolo
CS,4349,0U1,3,4,2,2,11,3,1,5,2,1,1,1,,0,"Cankaya, Ebru C","Shah, Trusit Sandipbhai","Zi, Yuxin",,,,exc067000,ebru cankaya
CS,6385,0W1,,19,9,5,3,,,,,,,,,0,"Farago, Andras","Moeini, Hessam",,,,,farago,andras farago
BPS,6310,MBP,,19,,10,7,,,,,,,,,0,"Chasteen, Larry H","Bai, Xiaoou","Balaji, Pavithra",,,,chasteen,larry chasteen
FIN,6301,CW1,,18,4,6,6,1,,1,,,,,,0,"Reichert, Carolyn A",,,,,,carolyn,carolyn reichert
IMS,6204,CW1,,20,8,5,2,1,,,,,,,,0,"Woldu, Habte G","Pradeep, Poojitha",,,,,wolduh,habte woldu
OPRE,6302,MBP,,23,8,4,1,,,,,,,,,0,"Subramoniam, Ramesh",,,,,,rxs179630,ramesh subramoniam
BIOL,3161,0U3,5,8,4,1,2,3,3,4,5,1,,,,0,"Candas, Mehmet","McDill, Parker M","Krishnamohan, Aishwarya","Ray, Ashvini","Dey, Sanchareeka","Song, Ming",candas,mehmet candas
MATH,2414,0U2,2,2,3,5,2,9,4,1,1,1,1,,5,0,"Ahsan, Mohammad K",,,,,,mka120030,mohammad ahsan
EE,4389,0U1,,21,,,9,6,1,,,,,,,0,"Bhatia, Dinesh","Nourmohamadi, Hesam","Goswami, Pingakshya",,,,dinesh,dinesh bhatia
ACCT,3332,5U1,,3,,,4,,,12,,,4,,7,7,"Karnuta, Daniel","Tatiparti, Venu Madhav",,,,,dxk173030,daniel karnuta
ACCT,6335,5U1,,5,5,6,7,6,3,2,,,,,2,1,"Swaim, Stephanie R",,,,,,srp065000,stephanie swaim
BCOM,3310,0U1,8,11,5,7,4,,2,,,,,,,0,"Fry, Jennifer L",,,,,,jlf130030,jennifer fry
BIOL,3301,0U2,6,6,7,6,1,2,1,2,3,,2,,1,0,"Srikanth, Uma","Sankaranarayanan, Ishwarya","Nawas, Afshan Fathima","Shukla, Tarjani","Zhang, Bo","Jiang, Xianli",ukrish,uma srikanth
CS,6364,0U1,,24,7,3,2,1,1,,,,,,,0,"Schweitzer, Haim","Zhang, Shuai",,,,,haim,haim schweitzer
BCOM,3310,0U2,,9,17,1,7,2,,2,,,,,,0,"Smallwood, Margaret G","Shirvin, Mahdi",,,,,meg012400,margaret smallwood
OBHR,3330,0U1,5,7,8,2,4,7,4,,,,1,,,0,"Ritchey, David B",,,,,,davidr,david ritchey
OPRE,6301,5U3,,18,,7,12,,,,,,,,,1,"Ahadi, Khatereh","Chen, Yuhang",,,,,kxa180010,khatereh ahadi
COMD,7V89,0U1,,31,,2,4,,,,,,,,,0,"Walsh, Diane G","Scheppele, Meredith A",,,,,dxg022000,diane walsh
CS,6350,0U1,,20,14,5,,,,,,,,,,0,"Nagar, Anurag","Chung, Yu-Yen",,,,,axn112530,anurag nagar
AMS,3350,0W1,15,9,4,1,1,2,,,2,,,,4,1,"Winstead, Elizabeth L",,,,,,lwm061000,elizabeth winstead
ACCT,6333,5U1,,20,,,10,,,8,,,,,1,0,"Zolton, Kathy","Chu, Yu Fang",,,,,kxz121730,kathy zolton
FIN,3320,5U1,6,3,,5,6,7,3,3,3,1,1,,1,0,"Han, Munhee",,,,,,mxh142730,munhee han
ITSS,3311,5U1,2,14,6,13,3,,1,,,,,,,0,"Hosseini, Leila",,,,,,lxh132430,leila hosseini
ITSS,4300,5U1,,5,2,8,5,4,4,3,3,,3,,2,0,"Owens, Dawn M","Bhansali, Akanksha",,,,,dmo130130,dawn owens
OPRE,6302,0W1,,11,12,12,2,,,,,,,,,2,"Dawande, Milind","Takasi, Venkanna Dora Goutham",,,,,milind,milind dawande
STAT,2332,0U1,8,5,4,5,3,1,4,2,3,2,,2,,0,"Whalen, Tristan G","Langford, John","Roy, Akash",,,,tgw100020,tristan whalen
EE,3311,5U1,,5,3,7,8,6,7,2,,,,,1,1,"Sechen, Carl","Hu, Bo","Xu, Xiangyu",,,,cms057000,carl sechen
ENGR,3300,0U1,4,10,3,2,10,3,,6,1,,,,1,0,"Ali, Mohammed Z","Marzban, Mohamed F",,,,,mohammed,mohammed ali
GOVT,2305,0U2,,9,5,6,3,7,4,,,1,,1,2,2,"Lux, Ryan J",,,,,,rjl140330,ryan lux
FIN,3330,0U1,3,13,4,6,11,,,1,,,,,,2,"Peabody, Stephen D",,,,,,sdp093020,stephen peabody
ITSS,3312,5U1,5,8,7,6,4,5,4,,1,,,,,0,"Sun, Geng",,,,,,gxs122530,geng sun
OBHR,3310,0U1,4,13,5,,8,3,1,4,,,1,,1,0,"Ritchey, David B",,,,,,davidr,david ritchey
OPRE,3360,0U2,5,5,6,4,6,,4,8,,,,,,2,"Ahadi, Khatereh","Chen, Yuhang",,,,,kxa180010,khatereh ahadi
BCOM,4350,0U1,11,11,8,4,,3,,1,2,,1,,,0,"de los Santos, Veronica",,,,,,vxd171930,veronica de los santos
BCOM,4350,0U2,,21,15,2,2,1,,,,,,,,0,"Smallwood, Margaret G","Shirvin, Mahdi",,,,,meg012400,margaret smallwood
FIN,3390,5U1,3,10,,3,6,5,4,,4,,,4,1,1,"El-Ashmawi, Amal H",,,,,,ahe013000,amal el ashmawi
IMS,3310,0U2,,5,6,5,6,5,3,6,,1,1,,2,1,"Henderson, Tom",,,,,,txh093000,tom henderson
OBHR,3310,5U1,1,7,19,6,4,,1,1,,,,,1,1,"Meda, Edward","Boncoeur, Olivier D",,,,,exm150330,edward meda
ECS,3361,5U1,,3,16,7,5,3,5,3,,,,,,0,"Ibrahim, Yaser M",,,,,,ymi140030,yaser ibrahim
MECH,4380,0U1,1,8,6,5,10,3,6,2,1,,,,,0,"Fadda, Dani Z","Azarnoosh, Jamasp",,,,,dzf091000,dani fadda
GOVT,2305,0U1,13,8,6,5,2,4,,,3,1,,,,0,"Hoffman, Blake M",,,,,,,blake hoffman
BCOM,4350,5U1,25,5,5,1,4,,2,,,,,,,0,"de los Santos, Veronica",,,,,,vxd171930,veronica de los santos
MKT,6301,0W1,,13,5,6,10,8,,,,,,,,0,"Pahwa, Parneet","Roshangarzadeh, Reza",,,,,pxp030100,parneet pahwa
NSC,3361,0U1,6,6,10,,1,4,4,1,3,1,,2,5,0,"McWilliams, Steven P","Abdelkarim, Dema H",,,,,sxm127330,steven mcwilliams
GOVT,2306,0U1,2,7,7,5,3,9,2,4,1,1,,,2,0,"Carr, Cory K",,,,,,,cory carr
ACCT,6373,5U1,,16,,5,21,,,1,,,,,,0,"Karnuta, Daniel","Tatiparti, Venu Madhav",,,,,dxk173030,daniel karnuta
IMS,6204,0W1,,13,14,12,1,2,,,,,,,,1,"Woldu, Habte G","Pradeep, Poojitha",,,,,wolduh,habte woldu
BIOL,3161,0U2,3,14,6,3,4,3,5,3,1,,,,,1,"Candas, Mehmet","Krishnamohan, Aishwarya","Ray, Ashvini","McDill, Parker M","Dey, Sanchareeka","Song, Ming",candas,mehmet candas
HLTH,3300,0U1,,9,11,7,3,7,,1,3,,3,,,0,"Byrnes, Kathleen A",,,,,,kab019000,kathleen byrnes
BCOM,3200,0U1,,35,1,5,1,,2,,,,,,,0,"Berardi, Caryn S",,,,,,cds110030,caryn berardi
BUAN,6337,5U1,,7,11,10,13,3,,,,,,,,0,"Chatterjee, Sourav","Kamatham, Sriharsha",,,,,sxc180075,sourav chatterjee
BUAN,6340,5U1,,40,,,2,,,1,,,,,,1,"Parker, Jason A","Zhu, Wangsheng",,,,,jap090020,jason parker
BUAN,6346,5U1,,31,9,3,,,,,,,,,,1,"Perez, Jerry","Tang, Ping",,,,,jxp180019,jerry perez
MKT,6332,0W1,,12,11,13,6,2,,,,,,,,0,"Biswas, Abhijit","Kasaian, Keyvan",,,,,axb019100,abhijit biswas
MATH,2420,0U1,16,5,4,1,4,2,1,2,,1,3,,4,1,"Ramakrishna, Viswanath","Thompson, Patrick A","Adabrah, Anani Komla",,,,vish,viswanath ramakrishna
HIST,2301,591,,12,,,12,,,10,,1,6,2,2,0,"Volanto, Keith J","Varghese, Shawn",,,,,kjv062000,keith volanto
PSY,3331,0U1,,12,2,2,6,4,2,5,2,,4,,6,0,"Huxtable-Jester, Karen J","Knoch, Desiree'",,,,,kxh014900,karen huxtable jester
PSY,3360,5U1,4,2,2,5,6,3,6,3,,6,,,6,2,"Assmann, Peter","Gryder, Kieth",,,,,assmann,peter assmann
ACCT,6344,0W1,,15,12,8,5,3,1,,,,,,,1,"Gurun, Umit","Gencer, Nur Pinar",,,,,ugg041000,umit gurun
HMGT,6403,AS1,,43,,2,,,,,,,,,,0,"McCracken, John","Barden, John P",,,,,,john mccracken
MECO,6303,0W2,,8,1,5,13,,6,12,,,,,,0,"Lewin, Peter","Zhao, Yabo",,,,,plewin,peter lewin
OPRE,6332,5U1,,23,9,8,1,2,2,,,,,,,0,"Ramanathan, Kannan","Li, Yining",,,,,kxr087000,kannan ramanathan
HMGT,6404,AS1,,46,,,,,,,,,,,,0,"McCracken, John","Convery, Paul",,,,,,john mccracken
BIOL,3161,0U1,1,11,5,5,7,6,3,4,,1,2,,1,0,"Candas, Mehmet","Dey, Sanchareeka","McDill, Parker M","Krishnamohan, Aishwarya","Ray, Ashvini","Song, Ming",candas,mehmet candas
CS,3341,0U1,12,4,1,2,6,2,3,5,2,2,,3,5,0,"Whalen, Tristan G","Chen, Ying","Dey, Asim K",,,,tgw100020,tristan whalen
ECS,3361,0U1,3,18,10,6,6,4,,,,,,,,0,"McCaskill, John R","Johnson, Sara K",,,,,jrm094020,john mccaskill
OB,6307,0W1,,38,1,,7,,,1,,,,,,0,"Richard, Orlando","Boncoeur, Olivier D",,,,,pretty,orlando richard
ACCT,6202,0W2,,6,11,15,10,3,,1,,,,,,1,"Janakiraman, Surya","Kale, Devendra",,,,,suryaj,surya janakiraman
AMS,4385,0W1,18,11,8,1,3,,1,2,,,,,2,2,"Winstead, Elizabeth L",,,,,,lwm061000,elizabeth winstead
MKT,3300,0W1,,22,6,2,4,6,,7,1,,,,,0,"Pahwa, Parneet","Roshangarzadeh, Reza",,,,,pxp030100,parneet pahwa
OPRE,3360,5U1,5,7,5,7,2,4,4,3,4,,,1,3,3,"Naseri Taheri, Mohammad","Li, Yining",,,,,mxn121930,mohammad naseri taheri
ISNS,2367,0W2,2,12,3,6,8,4,2,1,1,1,,1,5,2,"Pujana, Ignacio",,,,,,pujana,ignacio pujana
PHYS,2325,0U1,11,9,3,2,4,3,1,2,4,,4,1,2,2,"Ishak-Boushaki, Mustapha","Agashe, Anish N","Chinthak Murali, .",,,,mxi054000,mustapha ishak boushaki
CRIM,3301,0W1,17,21,4,1,4,,,1,,,1,,,0,"Shih, Meng Ru",,,,,,,meng ru shih
BPS,4305,0U1,17,7,10,3,5,1,1,1,4,,,,,0,"Carraher, Shawn M",,,,,,smc130730,shawn carraher
MKT,6352,0W1,,23,5,7,9,4,,1,,,,,,0,"Tirone, Guido",,,,,,gxt170001,guido tirone
MATH,2415,0U1,7,2,8,11,5,1,4,7,1,,,,2,1,"Eydelzon, Anatoly","Shen, Sijie","Soliman, Marwah M",,,,axe031000,anatoly eydelzon
PHYS,1301,0U1,7,15,3,2,4,4,,4,2,1,2,,5,0,"Slinker, Jason D","Wettasinghe, Ashan P","Asaadzade, Asiye",,,,jds107020,jason slinker
MIS,6360,0W1,,14,18,7,7,3,1,,,,,,,0,"Thouin, Mark",,,,,,mxt083000,mark thouin
PSY,3310,5U1,,10,8,9,11,4,3,1,2,,2,,1,0,"Bonner, Deborah L","Zhu, Yiyi",,,,,dbonner,deborah bonner
ACCT,6373,0W1,,25,,,25,,,1,,,,,,0,"Barden, John P","Tatiparti, Venu Madhav",,,,,jpb063000,john barden
CHEM,1311,0U1,,7,4,4,7,4,2,4,5,2,2,6,3,1,"Sra, Amandeep K","Mills, Kira R","Pope, Mitchell A",,,,aks057000,amandeep sra
BUAN,6398,5U1,,29,2,4,14,1,2,,,,,,,0,"Alimirzaei, Athena","Ho, Yi-Ju",,,,,axa134231,athena alimirzaei
FIN,3320,0U3,2,8,6,7,9,2,7,4,2,1,1,2,1,0,"Peabody, Stephen D",,,,,,sdp093020,stephen peabody
BIOL,3101,0U1,5,2,7,2,5,4,4,4,2,2,3,7,3,2,"Borovkov, Irina G","Zhou, Qin","Cao, Lian",,,,ixb053000,irina borovkov
MIS,6308,0W1,,14,13,7,13,2,,3,,,,,,1,"Raghunathan, Srinivasan","Srivastava, Smriti","Xie, Si",,,,sraghu,srinivasan raghunathan
MECH,3320,0U1,5,7,11,11,11,3,4,,1,1,,,,0,"Fadda, Dani Z","Mahmoudi, Mohammadreza",,,,,dzf091000,dani fadda
ACCT,6384,0W1,,37,9,6,,,,,,,,,1,1,"Kromer, Jeffrey",,,,,,jrk013000,jeffrey kromer
MATH,2418,0U1,5,6,4,4,9,1,6,7,1,,4,2,6,0,"Dahal, Rabin","Kravetc, Pavel","Yu, Shi",,,,rxd153030,rabin dahal
ACCT,6365,5U1,,12,11,15,10,4,4,,,,,,,0,"Cheng, Samuel","Chu, Yu Fang",,,,,sxc109021,samuel cheng
OB,6301,0W1,,48,,,7,,,1,,,,,,0,"Hasenhuttl, Maria","Kim, Dong Shin",,,,,h1562,maria hasenhuttl
OB,6301,0W2,,48,,,7,,,1,,,,,,0,"Hasenhuttl, Maria","Kim, Dong Shin",,,,,h1562,maria hasenhuttl
CHEM,2323,0U1,7,20,4,3,4,2,6,1,6,,,,1,2,"Cortes, Sergio J","Siddiki, A K M Nur Alam","Bhadran, Abhi",,,,scortes,sergio cortes
MECO,6303,0W1,,12,10,7,9,3,5,11,,,,,,0,"Lewin, Peter","Zhao, Yabo",,,,,plewin,peter lewin
ITSS,3300,5U1,,38,10,1,3,3,2,1,,,,,,0,"Owens, Sean M","Luo, Ning",,,,,smo150330,sean owens
OPRE,3310,5U1,8,15,4,20,4,3,2,,,,,,,2,"Kucukgul, Can",,,,,,cxk151030,can kucukgul
FIN,6301,0W1,,49,,,7,,,2,,,,,,1,"El-Ashmawi, Amal H",,,,,,ahe013000,amal el ashmawi
IMS,6360,0W1,,53,5,,1,,,,,,,,,0,"Siklar, Kurt",,,,,,kxs014600,kurt siklar
CRIM,3324,0W1,4,11,5,18,8,3,1,2,3,1,,1,2,0,"Hayslip, Melissa P",,,,,,mpb150030,melissa hayslip
BIOL,2312,0U1,5,13,6,8,10,4,4,3,1,2,1,2,1,0,"Candas, Mehmet","Soladogun, Adedamola S","Daescu, Kelly J",,,,candas,mehmet candas
COMD,7345,0U1,,45,,,5,,,,,,,,,0,"Cook, Lori G","Berglund, Amy",,,,,lgc011100,lori cook
OPRE,3310,0U2,9,20,11,9,8,3,1,,,,,,,0,"Chen, Jiayu",,,,,,jxc144030,jiayu chen
BIOL,2311,0U1,3,16,15,10,6,2,1,2,1,1,1,2,,1,"Candas, Mehmet","Yetkin, Celal E","Ratna, Tahira Amdid",,,,candas,mehmet candas
BIOL,3101,0U2,6,11,7,6,4,10,3,6,1,2,,2,2,3,"Borovkov, Irina G","Chen, Xingyu","Upreti, Chahat",,,,ixb053000,irina borovkov
PHYS,2326,0U1,2,19,23,11,7,2,1,,,1,,,3,0,"Gartstein, Yuri","Fox, Logan K","Zhou, Xiaohe",,,,yxg037000,yuri gartstein
CRIM,4396,0W1,27,21,8,4,4,6,,,,,1,,2,1,"Polk, Elmer O",,,,,,peo091000,elmer polk
CHEM,1312,0U1,3,4,6,6,9,10,7,6,10,,10,3,4,1,"Sibert, John W",,,,,,sibertj,john sibert
CHEM,2325,0U1,12,19,4,17,8,7,2,5,7,,3,,4,0,"Cortes, Sergio J","Siddiki, A K M Nur Alam","Bhadran, Abhi",,,,scortes,sergio cortes
ISNS,2359,0W1,27,24,11,7,11,2,,4,2,2,,1,4,1,"Pujana, Ignacio",,,,,,pujana,ignacio pujana
ISNS,2367,0W1,10,17,13,13,13,3,3,8,6,,2,,6,4,"Pujana, Ignacio",,,,,,pujana,ignacio pujana
BIOL,3361,0U1,6,29,11,8,11,11,7,11,3,2,1,,1,1,"Candas, Mehmet","McDill, Parker M","Krishnamohan, Aishwarya","Song, Ming","Ray, Ashvini","Dey, Sanchareeka",candas,mehmet candas
BIOL,3301,0U1,11,14,13,8,9,14,6,11,3,4,3,9,5,5,"Borovkov, Irina G","Zhou, Qin","Upreti, Chahat","Chen, Xingyu","Cao, Lian",,ixb053000,irina borovkov
COMD,7303,0U1,,94,,,27,,,1,,,,,,0,"Dean, Lucinda L","Kenedi, Helen","Boone, Melissa N",,,,lxl018300,lucinda dean
