Subject,Catalog Number,Section,A+,A,A-,B+,B,B-,C+,C,C-,D+,D,D-,F,W,Instructor 1,Instructor 2,Instructor 3,Instructor 4,Instructor 5,Instructor 6,instructor_id,instructor_name_normalized
LIT,2331,091,,6,4,1,1,,,,,,,,,0,"Stout, Patricia J",,,,,,pjs140230,patricia stout
AUD,6352,5U1,,3,8,1,,,,,,,,,,0,"Golboro, Andrew",,,,,,axg165431,andrew golboro
CLDP,3310,5U1,,3,2,2,2,2,,1,,,,,,0,"Bonner, Deborah L","Zhu, Yiyi",,,,,dbonner,deborah bonner
PSY,3338,0U1,,3,1,2,,2,,1,,1,1,,,1,"Burnell, Kaitlyn P",,,,,,,kaitlyn burnell
SPAU,3342,0U1,2,4,3,2,,,1,,,,,,,0,"Barfoot, John W","Peskova, Olga",,,,,jwb043000,john barfoot
BMEN,3150,001,,4,2,4,,2,,,,,,,,0,"Ali, Tariq M","Abraham, Alejandro",,,,,tma051000,tariq ali
CE,4389,0U1,1,7,,,1,1,,1,1,,,,,0,"Bhatia, Dinesh","Nourmohamadi, Hesam","Goswami, Pingakshya",,,,dinesh,dinesh bhatia
CS,6359,0U1,,4,2,2,3,1,,,,,,,,0,"Zhang, Kang","Shahbazi, Nima",,,,,kzhang,kang zhang
EEOP,6314,0H1,,11,,,,,,,,,,,,1,"Tamil, Lakshman",,,,,,laxman,lakshman tamil
BUAN,6320,0U1,,3,4,,2,2,,,,,,,,1,"Narayan, Ravishankar L","Srivastava, Smriti",,,,,rln130030,ravishankar narayan
FIN,3395,5U1,,4,2,1,5,,,,,,,,,0,"Noland, Jeff",,,,,,jxn125330,jeff noland
MIS,6344,0U1,,11,1,,,,,,,,,,,0,"Beauchamp, Joe P","Singh, Ayush K",,,,,jpb016300,joe beauchamp
SYSM,6335,SS1,,12,,,,,,,,,,,,0,"Narayan, Ravishankar L",,,,,,rln130030,ravishankar narayan
BIOL,4380,1U1,,1,2,,3,2,1,2,,1,,,,0,"Borovkov, Irina G",,,,,,ixb053000,irina borovkov
CHEM,1112,1U1,1,5,2,1,,,1,1,,,,1,,0,"Qin, Yanping","Abeyrathna, Nisansala S","Morakabi, Katayoun",,,,yxq083000,yanping qin
