Subject,Catalog Number,Section,A+,A,A-,B+,B,B-,C+,C,C-,D+,D,D-,F,W,Instructor 1,Instructor 2,Instructor 3,Instructor 4,Instructor 5,Instructor 6,instructor_id,instructor_name_normalized
HMGT,6324,0W1,,10,,1,,,,,,,,,,,"Ziegler, Laurie","Lu, Xi",,,,,ziegler,laurie ziegler
GEOS,5315,001,,4,5,1,1,,,,,,,,,,"Manton, William I",,,,,,manton,william manton
NATS,3343,001,,6,,1,2,,,1,,,,,1,,"Dorsey, Floyd Z",,,,,,fzd110020,floyd dorsey
NATS,3343,002,,3,4,,,2,,,,,,1,1,,"McConnell, James S","Kirkland, Pamela I",,,,,jsm019600,james mcconnell
PHYS,2126,117,2,7,1,,,,,,,,,,1,,"Sun, Kuei","Koirala, Pawan",,,,,kxs147030,kuei sun
MECO,7312,001,,,,,,,,,,,,,,,"Chiong, Khai X",,,,,,kxc173030,khai chiong
BIS,3320,005,,2,2,2,3,,1,1,,,,,,,"Pogue, Neall W",,,,,,nxp174730,neall pogue
ECON,5397,501,,10,1,,,,,,,,,,,,"Valcarcel, Victor J",,,,,,vjv150130,victor valcarcel
MIS,6363,001,,5,4,,2,,,,,,,,,,"Ahluwalia, Gurvinder S","Dandra, Pravin Basanna",,,,,gsa021000,gurvinder ahluwalia
HUSL,7372,001,,5,2,4,,,,,,,,,,,"Hatfield, Charles D",,,,,,cxh074100,charles hatfield
GISC,4380,001,,3,,1,3,3,,,,,1,,,,"Yuan, May","Karale, Yogita Y",,,,,mxy141230,may yuan
DANC,3340,001,,3,5,1,1,1,,1,,,,,,,"Hanlon, Michele J",,,,,,mhanlon,michele hanlon
ATCM,4319,002,3,5,1,,2,1,,,,,,,,,"Kitagawa, Midori",,,,,,mxk047100,midori kitagawa
CS,7301,004,,11,1,,,,,,,,,,,,"Wu, Wei L","Li, Yi",,,,,wxw020100,wei wu
EE,3101,102,,6,,1,2,1,1,,,,,,1,,"Friedman, Joseph S","Bo, Yu","Thakur, Sneha","Nahar, Lubaba M",,,jsf160330,joseph friedman
GEOG,3304,001,2,4,3,,1,,1,,,,,,1,,"Shah, Muna",,,,,,,muna shah
AMS,4304,001,,3,2,2,2,,,,1,1,,,1,,"Naqvi, Syed K",,,,,,skn180000,syed naqvi
ED,4352,501,,4,3,1,1,2,1,,,,,,,,"McNulty, Angela B",,,,,,mcnulty,angela mcnulty
BUAN,6340,003,,4,3,3,2,,,,,,,,,,"Ge, Ling","Shankar, Santhosh",,,,,,ling ge
FIN,4337,501,1,2,3,3,,,,2,1,,,,,,"Richards, James R",,,,,,jrr013500,james richards
IMS,6365,001,,8,2,2,,,,,,,,,,,"Woldu, Habte G","Dakshinamoorthy, Sowmika",,,,,wolduh,habte woldu
MIS,6378,001,,4,2,1,1,4,,,,,,,,,"Bradbury, Judd D","Sharma, Aman",,,,,jdb101000,judd bradbury
MATH,6324,001,,5,3,4,,,,,,,,,,,"Rachinskiy, Dmitry",,,,,,dxr124030,dmitry rachinskiy
CE,3345,003,1,6,,2,2,1,,,,,,,,,"Chida, Anjum","Mousavi, Pooneh",,,,,axc157030,anjum chida
ECON,5321,001,,3,1,2,3,,,3,,,,,,,"Hedlund, Jonas","Zhang, Jinglun",,,,,jxh180030,jonas hedlund
EPPS,7313,501,,4,3,2,1,1,,1,,,,,,,"Kim, Dohyeong","Zaychik, Danielle",,,,,dxk132530,dohyeong kim
MECO,6312,0W1,,1,1,3,2,4,1,,,,,,,,"Blueshtein, Moran","Oyima-Antseleve, Ndackyssa",,,,,mxb135230,moran blueshtein
OPRE,6367,001,,12,,,,,,,,,,,,,"Parks, David","Seripalli, Dilip Kumar",,,,,dxp153830,david parks
BIOL,4356,001,4,3,,2,2,1,,,,,,,,,"Du, Heng","Srikanth, Uma","Gauba, Esha",,,,hxd131030,heng du
HONS,3112,HN1,4,2,1,3,1,,1,,,,,,,,"Kaplan, Marilyn R",,,,,,mkaplan,marilyn kaplan
ACCT,6370,501,,6,4,1,1,,,,,,,,,,"Betanzos, Christina L",,,,,,clb120030,christina betanzos
ENTP,6380,501,,3,,3,3,1,,2,,,,,,,"Picken, Joseph C",,,,,,jcp016300,joseph picken
MIS,6320,501,,6,1,1,2,1,1,,,,,,,,"Cavusoglu, Huseyin","Pham, Trang T",,,,,huseyin,huseyin cavusoglu
FIN,6315,501,,,4,3,5,,,,,,,,,,"Pedigo, Madison F",,,,,,mfp013000,madison pedigo
MIS,6369,501,,6,,,6,,,,,,,,,,"Deluke, Eugene","Gaglani, Kajal M",,,,,gxd052000,eugene deluke
HUHI,6351,001,,5,3,3,1,,,,,,,,,,"Gossin, Pamela",,,,,,psgossin,pamela gossin
HCS,7351,001,,12,,,,,,,,,,,,,"Thompson, Lucien",,,,,,tres,lucien thompson
BMEN,3120,101,,2,2,2,4,,2,,,,,,,,"Winter, Patrick M","Atmaramani, Rahul","Lam, Kevin Hao Su","Abbott, Justin","Ganguly, Antra",,pxw151030,patrick winter
BMEN,3120,106,,5,1,3,2,,,,,,,,1,,"Ali, Tariq M","Atmaramani, Rahul",,,,,tma051000,tariq ali
BMEN,3120,108,4,2,3,3,,,,,,,,,,,"Ali, Tariq M","Lam, Kevin Hao Su",,,,,tma051000,tariq ali
EE,3101,105,,10,,1,,,,,,,,,1,,"Friedman, Joseph S","Li, Chen","Nahar, Lubaba M",,,,jsf160330,joseph friedman
EE,3110,104,2,6,,,1,,,,2,,,,1,,"Lee, Jeong-Bong","Wang, Zhengyang",,,,,jblee,jeong bong lee
EE,3120,101,,11,,,,,,1,,,,,,,"Zhou, Dian","Ren, Jiajun",,,,,zhoud,dian zhou
EEPE,7356,001,,11,1,,,,,,,,,,,,"Fahimi, Babak",,,,,,bxf102000,babak fahimi
MECH,4382,002,,2,5,2,1,2,,,,,,,,,"Hart, Robert A","Gravell, Jamie D",,,,,rxh124630,robert hart
SE,4347,502,,8,2,2,,,,,,,,,,,"Culver, Timothy L","Torabi, Behnam",,,,,tlc130230,timothy culver
CRIM,6313,001,,2,4,3,3,,,,,,,,,,"Vieraitis, Lynne M",,,,,,lmv071000,lynne vieraitis
PSCI,4V67,HN1,10,2,,,,,,,,,,,,,"Kirby, Barbara E",,,,,,,barbara kirby
ED,3342,501,,8,3,,,,1,,,,,,,,"Parker, Teresa L",,,,,,tparker,teresa parker
ED,4345,001,,5,4,1,1,1,,,,,,,,,"Haun, Julia T",,,,,,jlb018300,julia haun
ED,4345,501,,9,2,,,,,1,,,,,,,"Weiner, Michelle L",,,,,,mxw051000,michelle weiner
OB,6303,501,,7,4,1,,,,,,,,,,,"Olsztynska, Agnieszka",,,,,,axo027000,agnieszka olsztynska
SCI,5340,0W1,,12,,,,,,,,,,,,,"Stuart, Georgia K",,,,,,,georgia stuart
HCS,7121,001,,,,,,,,,,,,,,,"Kroener, Sven",,,,,,sxk101000,sven kroener
BUAN,6V99,004,,10,,,,,,,,,,,,,"Jilani, Shakoor A","Dheram, Geyasruti",,,,,,shakoor jilani
HIST,3302,001,,1,5,4,,1,1,1,,,,,,,"Jakobsson, Pia K",,,,,,pkj010100,pia jakobsson
LIT,2329,501,3,2,1,1,1,2,2,1,,,,,,,"Starnaman, Sabrina",,,,,,sxs090100,sabrina starnaman
CLDP,3339,002,,7,,1,1,,,2,1,,1,,,,"Santrock, John W",,,,,,santrock,john santrock
CE,3120,104,,12,,,,,,,,,,,1,,"Zhou, Dian","Ren, Jiajun",,,,,zhoud,dian zhou
EE,3110,102,2,5,,4,1,,1,,,,,,,,"Lee, Jeong-Bong","Chen, Ziyu",,,,,jblee,jeong bong lee
PA,6348,0W1,,13,,,,,,,,,,,,,"Benavides, Teodoro J",,,,,,tjb051000,teodoro benavides
MATH,6346,001,,2,5,,6,,,,,,,,,,"Cao, Yan",,,,,,yxc069200,yan cao
NATS,4141,501,,10,1,1,,1,,,,,,,,,"Gammons Jr, Billy G","McConnell, James S",,,,,bgg021000,billy gammons jr
ACCT,6349,0W1,,12,1,,,,,,,,,,,,"Majumdar, Sumit K","Sun, Geng",,,,,skm021100,sumit majumdar
HONS,3113,HN1,8,5,,,,,,,,,,,,,"Page, Ivor",,,,,,ivor,ivor page
MIS,6319,501,,9,,,4,,,,,,,,,,"Thompson, Luell O","Pearam, Swetha S",,,,,lot013000,luell thompson
PSY,3100,501,8,4,1,,,,,,,,,,,,"Choate, Michael J",,,,,,mchoate,michael choate
CS,6301,002,,8,2,3,,,,,,,,,,,"Chandrasekaran, Ramaswamy",,,,,,chandra,ramaswamy chandrasekaran
ARTS,4368,001,7,6,,,,,,,,,,,,,"Pomara, John",,,,,,pomara,john pomara
BMEN,3120,107,2,3,2,3,2,,,1,,,,,,,"Ali, Tariq M","Ganguly, Antra",,,,,tma051000,tariq ali
CE,3101,101,,6,3,,1,,1,,,,,,2,,"Friedman, Joseph S","Thakur, Sneha","Nahar, Lubaba M",,,,jsf160330,joseph friedman
