Subject,Catalog Nbr,Section,A+,A,A-,B+,B,B-,C+,C,C-,D+,D,D-,F,CR,I,NC,W,P,Instructor 1,Instructor 2,Instructor 3,Instructor 4,Instructor 5,Instructor 6,instructor_id,instructor_name_normalized
BUAN,6009,SU1,,,,,,,,,,,,,2,,,,,19,"Hefley, William E",,,,,,weh150130,william hefley
BUAN,6312,0W1,,3,2,2,2,1,,2,,,,,1,,,,,,"Blueshtein, Moran","Zhang, Qiyan",,,,,mxb135230,moran blueshtein
BUAN,6312,SW1,,5,2,1,2,,,,,,,,,,,,,,"Blueshtein, Moran",,,,,,mxb135230,moran blueshtein
BUAN,6320,5U1,,12,7,3,4,,,,,,,,,,,,,,"El-khodari, Gasan E","Pujari, Shrutika",,,,,kxs018700,
BUAN,6337,0W1,,2,2,2,3,3,,,,,,,,,,,,,"Subramanian, Upender","Ding, Yuchen","Saremi, Ehsan",,,,uxs092000,upender subramanian
BUAN,6340,SW1,,5,4,1,,,,,,,,,,,,,,,"Koju, Vijay",,,,,,vxk220074,vijay koju
BUAN,6341,SW1,,7,,2,,3,,1,,,,,2,,,,,,"Smashnov, Uri",,,,,,uxs051000,uri smashnov
BUAN,6344,0W1,,4,1,1,4,,,,,,,,,,,,,,"Mehra, Amit","Chen, Luoying",,,,,axm078200,amit mehra
BUAN,6359,5U1,,4,,1,2,2,1,1,,,,,1,,,,,,"Ramezani, Rasoul","Kurucak, Abdurrahman",,,,,rxr145930,rasoul ramezani
BUAN,6398,5U1,,6,3,3,5,3,,,,,,,,,,,,,"Nguyen, Hien T","Tahergandomabadi, Mohammadmahdi",,,,,axa134231,athena alimirzaei
BUAN,6398,SU1,,8,2,3,2,3,,2,,,,,,,,,,,"Nguyen, Hien T",,,,,,htn170130,hien nguyen
BUAN,6398,SW1,,3,2,4,1,,,,,,,,,,,,,,"Sethi, Avanti P",,,,,,,avanti sethi
BUAN,6V98,0U1,,,,,,,,,,,,,,,,,,23,"Shekhar, Gaurav",,,,,,gxs150130,gaurav shekhar
CE,2301,0U1,6,,1,2,2,,2,1,,,,,,,,,,,"Fahimi, Babak","Koech, Mercy C",,,,,bxf102000,babak fahimi
CE,3161,0W1,,3,2,4,1,,,,,,,,,,,,,,"Mezenner, Rabah","Islam, Farzana",,,,,rxm129730,rabah mezenner
CE,3201,0U1,1,5,,1,,,,1,,,2,,,,,,,,"Nikoubin Boroujeni, Tooraj","Khalesidoost, Sina","Datta, Rajesh K",,,,kamran,kamran kiasaleh
CE,3303,0H1,2,1,1,1,2,1,,1,1,,,,2,,,,,,"Kehtarnavaz, Nasser","Dai, Jiazhi",,,,,nxk019000,nasser kehtarnavaz
CE,3311,5U1,,,2,3,2,,5,1,,,,,,,,,,,"Lee, Hoi","Yao, Yifan","Ghosh, Prosenjit Kumar",,,,cms057000,carl sechen
CE,4389,0U1,,7,,4,,,,,,,,,,,,,,,"Tacca, Marco",,,,,,dinesh,dinesh bhatia
CHEM,1111,1U2,3,2,3,1,1,,,1,,,,,4,,,,,,"Cortes, Sergio","Brown, Monet R","Budhathoki, Prakriti","Borah, Kongkona","Ullah, Najeeb","Mazhar, Noreen",aks057000,amandeep sra
CHEM,1112,1U1,5,4,3,,,1,1,1,1,1,,,1,,,,,,"Abeykoon, Nimali C","Gaspar, Miguel A","Ghafari, Mozhdeh","Igie, Nosakhare F","Iqbal, Nafees","Umer, Arslan",sgavva,sandhya gavva
CHEM,1112,1U2,5,5,,2,2,1,,1,,1,,,,,,,,,"Abeykoon, Nimali C","Koirala, Shailendra","Mir Sharifian, Arefehsadat","Najjari, Aryan","Qasimi, Nazer Hossain","Odeyemi, Isaiah O",sgavva,sandhya gavva
